osmid,oneway,name,highway,width,reversed,length,geometry,maxspeed,lanes,ref,bridge
30648414,False,Oberstadt,living_street,3.7,True,51.679,"LINESTRING (8.8228455 50.5208301, 8.8227345 50.5207746, 8.8226067 50.5207281, 8.8224695 50.5206943, 8.8223259 50.5206739, 8.822179 50.5206612)",,,,
"[30677577, 85435031]",False,Am Schwanensee,residential,,False,183.565,"LINESTRING (8.8228455 50.5208301, 8.8228975 50.5207975, 8.8229368 50.5207584, 8.8229615 50.5207147, 8.8229702 50.5206686, 8.8229661 50.5205732, 8.8229153 50.5196862, 8.8229105 50.5195929, 8.8229033 50.5195391, 8.8228851 50.5194939, 8.8228566 50.5194435, 8.8228215 50.5194026, 8.8227725 50.5193549, 8.822713 50.5193107, 8.8226296 50.5192608)","['50', '30']",,,
91759780,False,Am Wall,residential,5.1,True,46.778999999999996,"LINESTRING (8.8228455 50.5208301, 8.8228095 50.520855, 8.8225379 50.521075, 8.8224965 50.5211037, 8.8224445 50.5211293, 8.8224084 50.5211424)",30,,,
"[87194195, 25411916]",False,Braugasse,residential,,"[False, True]",107.524,"LINESTRING (8.8164431 50.5201292, 8.8166034 50.5200524, 8.8166208 50.5200439, 8.8166398 50.5200323, 8.8166816 50.520014, 8.8167776 50.5199734, 8.816869 50.5199364, 8.8169486 50.5199101, 8.8170554 50.519881, 8.8171599 50.5198606, 8.8178252 50.5197644)","['50', '20']",2,,
194649016,False,Kolnhäuser Straße,secondary,7.5,True,170.53299999999996,"LINESTRING (8.8164431 50.5201292, 8.8164043 50.5200782, 8.8163568 50.5200299, 8.8163307 50.5200142, 8.8163001 50.5200015, 8.8162264 50.5199853, 8.8161339 50.5199739, 8.816032 50.5199613, 8.8158289 50.5199416, 8.8154126 50.5199061, 8.8149419 50.5198714, 8.8146446 50.5198469, 8.8144947 50.5198316, 8.8143416 50.5198113, 8.8142298 50.5197933, 8.8141699 50.5197825)",50,,L 3053,
207312799,False,Gießener Straße,secondary,,True,25.043,"LINESTRING (8.8164431 50.5201292, 8.8164745 50.5201903, 8.8165004 50.5202623, 8.8165074 50.5202924, 8.8165172 50.5203487)",50,3,L 3053,
488841484,False,Garbenteicher Straße,secondary,,True,24.469,"LINESTRING (8.8164431 50.5201292, 8.8163243 50.5201963, 8.8162873 50.5202173, 8.8161844 50.5202754)",50,3,L 3358,
"[252429253, 129517125, 472341422, 472341421]",False,Kirchhofsgasse,secondary,5.9,False,200.652,"LINESTRING (8.8193624 50.5236881, 8.8199277 50.5235455, 8.8204592 50.5234159, 8.8206605 50.523366, 8.8211375 50.5232476, 8.8212413 50.5232255, 8.8220261 50.5230673)",50,2,,
"[148769070, 15719967]",False,Kirchhofsgasse,secondary,,True,152.059,"LINESTRING (8.8193624 50.5236881, 8.8191483 50.5237452, 8.8187193 50.5238596, 8.8185313 50.5239058, 8.8183277 50.5239472, 8.8179241 50.5239968, 8.8177519 50.5240149, 8.8175591 50.5240338, 8.817302 50.5240438)",50,2,,
557913994,False,Dietrich-Bonhoeffer-Straße,residential,,False,24.866,"LINESTRING (8.8193624 50.5236881, 8.8193045 50.5235369, 8.8193283 50.5234706)",,,,
30649551,False,Neuwiesenweg,residential,5.8,False,72.65299999999999,"LINESTRING (8.8106465 50.5206242, 8.8107614 50.520342, 8.8109688 50.520005)",30,,,
