osmid,lanes,name,highway,maxspeed,access,oneway,reversed,length,geometry,bridge,ref,junction
11646007,2,Harztorwall,residential,30,yes,False,False,167.87400000000002,"LINESTRING (10.5342371 52.1604204, 10.5343689 52.1603396, 10.5348461 52.1600293, 10.5356847 52.1593721, 10.535856 52.1592886)",,,
"[29086835, 625282951]",2,Bahnhofstraße,tertiary,50,yes,False,True,86.155,"LINESTRING (10.5342371 52.1604204, 10.5341801 52.1602715, 10.5341198 52.1601518, 10.5339598 52.1599202, 10.5338168 52.1596914)",,,
"[44630303, 162362196, 44630299, 44630300, 675381662, 44630302]",2,Schulwall,tertiary,30,,False,True,269.534,"LINESTRING (10.5342371 52.1604204, 10.5341199 52.1604696, 10.5340447 52.1604882, 10.5338549 52.1605437, 10.533631 52.1606092, 10.5332869 52.1607298, 10.5331039 52.1608021, 10.5329221 52.1608922, 10.5328222 52.1609519, 10.5327384 52.1610115, 10.5327023 52.1610498, 10.5325958 52.1612025, 10.532552 52.1612925, 10.5325158 52.1613805, 10.5324849 52.1614821, 10.5324695 52.1615652, 10.5324615 52.1616495, 10.5324597 52.1617465, 10.5324489 52.1618961, 10.5324143 52.1620729, 10.5323574 52.162219, 10.5323018 52.1622916)",yes,,
151060096,2,Bahnhofstraße,residential,30,yes,False,False,59.737,"LINESTRING (10.5342371 52.1604204, 10.5342894 52.1605233, 10.5343776 52.1606872, 10.5343965 52.1607237, 10.5344218 52.1607647, 10.5344644 52.1608297, 10.5345211 52.1609284)",,,
172098736,,Harztorwall,residential,30,,False,True,206.41199999999998,"LINESTRING (10.5387852 52.1594147, 10.537063 52.1591765, 10.5366405 52.1591353, 10.5363605 52.1591596, 10.5359842 52.1592379, 10.535856 52.1592886)",,,
"[769451954, 23058479]",,Robert-Everlien-Platz,residential,30,,False,False,58.956,"LINESTRING (10.5387852 52.1594147, 10.5388783 52.1594178, 10.5392724 52.1594169, 10.539526 52.1594023, 10.5396477 52.1593954)",,,
"[769451954, 23058479]",,Robert-Everlien-Platz,residential,30,,False,True,58.956,"LINESTRING (10.5396477 52.1593954, 10.539526 52.1594023, 10.5392724 52.1594169, 10.5388783 52.1594178, 10.5387852 52.1594147)",,,
201284807,2,Lange Straße,tertiary,30,,False,False,99.25200000000001,"LINESTRING (10.5396477 52.1593954, 10.5396707 52.1595507, 10.5396749 52.1595788, 10.5397044 52.1597773, 10.5398004 52.160194, 10.5398205 52.1602814)",,K 88,
23345899,,Leibnizstraße,residential,30,,False,True,200.621,"LINESTRING (10.5324224 52.1639037, 10.5323861 52.1642665, 10.5322284 52.165704)",,,
28245116,,Schiffwall,tertiary,50,,False,False,91.98299999999999,"LINESTRING (10.5324224 52.1639037, 10.532544 52.1639158, 10.5326908 52.1639152, 10.5332398 52.1638743, 10.53349 52.1638557, 10.5337633 52.1638627)",,,
660427896,,Schloßplatz,tertiary,50,,False,True,24.273,"LINESTRING (10.5324224 52.1639037, 10.5322942 52.1638766, 10.5321066 52.1638058)",,,
"[23344456, 23344462, 23344463]",,Stobenstraße,residential,,,False,False,33.746,"LINESTRING (10.5339283 52.1639296, 10.5340135 52.1639038, 10.5341592 52.1638931, 10.5342795 52.1638842, 10.534411 52.1638898)",yes,,
28245116,,Schiffwall,tertiary,50,,False,True,13.55,"LINESTRING (10.5339283 52.1639296, 10.5338568 52.1638938, 10.5337633 52.1638627)",,,
"[28383650, 28383651, 126413654]",,Rosenwall,tertiary,50,,False,False,66.19,"LINESTRING (10.5339283 52.1639296, 10.5339641 52.1639721, 10.5339905 52.1641496, 10.5339929 52.1642783, 10.5340357 52.1643999, 10.5341204 52.1645037)",yes,,
23095614,,Im Rosenwinkel,residential,,,False,False,173.25,"LINESTRING (10.5341204 52.1645037, 10.5339944 52.1645729, 10.5338067 52.1647368, 10.5337189 52.1648788, 10.5336512 52.1650412, 10.5335858 52.1652835, 10.5335931 52.1653177, 10.5336347 52.1653379, 10.5339059 52.1653895, 10.5339341 52.1654153, 10.5339429 52.1654521, 10.5338454 52.1656756, 10.5337968 52.1658207)",,,
28383651,,Rosenwall,tertiary,50,,False,False,227.30199999999996,"LINESTRING (10.5341204 52.1645037, 10.5342612 52.1645814, 10.5344354 52.1646454, 10.5347141 52.1647106, 10.5356412 52.1649277, 10.5358895 52.1649877, 10.5361457 52.1650539, 10.5363023 52.1650967, 10.5366546 52.1652333, 10.5367501 52.1652732, 10.5368672 52.1653311, 10.5370577 52.1654308)",,,
