osmid,name,highway,est_width,oneway,reversed,length,geometry,lanes,ref,maxspeed,width,bridge
26738096,In der Flain,residential,4,False,False,87.916,"LINESTRING (7.1611258 50.148567, 7.1610823 50.1485187, 7.161009 50.1484355, 7.1606311 50.1481883, 7.1602057 50.1480801)",,,,,
"[199394802, 366541135]",Endertstraße,secondary,,False,False,213.049,"LINESTRING (7.1611258 50.148567, 7.1612919 50.1485329, 7.1613622 50.1485124, 7.1615137 50.148458, 7.1616163 50.1483969, 7.1617225 50.1483126, 7.1617508 50.1482816, 7.1618615 50.1481606, 7.1619627 50.14805, 7.1620809 50.1479417, 7.1621866 50.1478447, 7.1625478 50.1476387, 7.1626314 50.1475996, 7.1627432 50.147549, 7.16287 50.1475054, 7.1630242 50.1474522, 7.1631239 50.1474287, 7.1632816 50.1473915, 7.1633496 50.1473755)",2,L 98,50,,
25548441,Endertstraße,unclassified,,False,True,39.958999999999996,"LINESTRING (7.1633496 50.1473755, 7.1634548 50.1472765, 7.1638034 50.1471899)",,,,,
"[199394802, 366541135]",Endertstraße,secondary,,False,True,213.04899999999998,"LINESTRING (7.1633496 50.1473755, 7.1632816 50.1473915, 7.1631239 50.1474287, 7.1630242 50.1474522, 7.16287 50.1475054, 7.1627432 50.147549, 7.1626314 50.1475996, 7.1625478 50.1476387, 7.1621866 50.1478447, 7.1620809 50.1479417, 7.1619627 50.14805, 7.1618615 50.1481606, 7.1617508 50.1482816, 7.1617225 50.1483126, 7.1616163 50.1483969, 7.1615137 50.148458, 7.1613622 50.1485124, 7.1612919 50.1485329, 7.1611258 50.148567)",2,L 98,50,,
"[586235816, 366541137, 586235815]",Brückenstraße,secondary,,False,False,137.574,"LINESTRING (7.1633496 50.1473755, 7.1634103 50.1473638, 7.1635406 50.1473452, 7.1637705 50.1473254, 7.1639847 50.1473071, 7.1645237 50.1473048, 7.1650785 50.1473043, 7.1652704 50.1473016)",2,L 98,50,,
24006199,,secondary,,True,False,15.951,"LINESTRING (7.1659421 50.1473991, 7.1661116 50.1473054)",1,L 98,50,3,
185528312,Ravenéstraße,primary_link,,False,True,7.042,"LINESTRING (7.1659421 50.1473991, 7.1659825 50.1474569)",3,B 49,50,,
561545039,Brückenstraße,secondary,,False,True,23.679000000000002,"LINESTRING (7.1659421 50.1473991, 7.1658513 50.1473511, 7.1657665 50.1473193, 7.1656545 50.1472991)",2,L 98,50,,
"[159281088, 185013228, 177480396, 572751359]",Ravenéstraße,primary_link,,False,"[False, True]",190.27100000000002,"LINESTRING (7.1664151 50.1491384, 7.1663886 50.1491134, 7.166367 50.1490787, 7.1663603 50.1490185, 7.1663455 50.148886, 7.1663065 50.1485318, 7.1663001 50.1484741, 7.1662929 50.1484449, 7.1662038 50.1481508, 7.1661761 50.148058, 7.1660688 50.1477209, 7.1660205 50.1475691, 7.1660065 50.1475223, 7.1659825 50.1474569)","['2', '3']",B 49,50,,
572751335,,primary_link,,False,False,54.591,"LINESTRING (7.1664151 50.1491384, 7.1664749 50.1491647, 7.166538 50.149177, 7.1670603 50.1491678, 7.1671649 50.1491607)",3,B 49,50,,
"[572872576, 572872577, 325218976, 572872574, 572872575]",Valwiger Straße,secondary,,False,"[False, True]",271.99600000000004,"LINESTRING (7.1701001 50.1473621, 7.1700389 50.1473843, 7.1700061 50.1473923, 7.1699712 50.147395, 7.1699257 50.1473944, 7.1698248 50.1473925, 7.1671272 50.1473299, 7.1668012 50.1473218, 7.166297 50.1473101)",2,L 98,50,,yes
572872578,Valwiger Straße,secondary,,False,True,17.869,"LINESTRING (7.1701001 50.1473621, 7.1701375 50.1473363, 7.1701663 50.1473138, 7.1701764 50.1472949, 7.1701975 50.1472197)",2,L 98,50,,
"[1126718694, 1126718550, 1126718552, 25357817, 1126718554]",Bergstraße,tertiary,,False,False,437.233,"LINESTRING (7.1701001 50.1473621, 7.1701847 50.1475282, 7.1702095 50.1478471, 7.1702098 50.1481321, 7.170279 50.1487373, 7.1703012 50.1489312, 7.170349 50.1490741, 7.1703636 50.1491177, 7.1704106 50.1492515, 7.1704855 50.1494645, 7.1705023 50.14951, 7.1705674 50.1496905, 7.1706595 50.1498995, 7.1706774 50.1499339, 7.1707223 50.1500205, 7.1708803 50.1503295, 7.1709387 50.1504483, 7.1711079 50.1507897, 7.1711864 50.1509338, 7.1712239 50.1510025, 7.1713022 50.1511097, 7.1713579 50.1511782)",2,K 59,50,,
25885120,Pinnerstraße,residential,,False,False,60.778,"LINESTRING (7.1674916 50.1506483, 7.1666435 50.1507069)",,,,,
"[572751337, 325764133, 325764134, 325764135]",Moselstraße,primary,,False,False,167.155,"LINESTRING (7.1674916 50.1506483, 7.1673917 50.1503138, 7.1672728 50.149834, 7.1672551 50.1497187, 7.1671895 50.1493354, 7.1671649 50.1491607)","['2', '3']",B 49,50,,
1126718547,Bergstraße,tertiary,,False,False,117.853,"LINESTRING (7.1713579 50.1511782, 7.1716606 50.1514444, 7.1718256 50.151579, 7.1719433 50.1516182, 7.1720688 50.1516397, 7.1723184 50.1516577, 7.1724162 50.1516865, 7.172581 50.1518083)",2,K 59,50,,
