osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,width,lanes,access
26538822,secondary,50,roundabout,True,False,14.805,"LINESTRING (8.5017718 48.3521116, 8.5017531 48.352088, 8.501745 48.352062, 8.5017481 48.3520354, 8.5017623 48.3520105, 8.5017863 48.3519892)",,,,,
26538821,secondary,50,,False,False,32.165,"LINESTRING (8.5020085 48.3520066, 8.5023552 48.3518317)",L 412,Freudenstädter Straße,,,
26538822,secondary,50,roundabout,True,False,15.602,"LINESTRING (8.5020085 48.3520066, 8.502025 48.3520324, 8.5020293 48.3520603, 8.5020212 48.3520879, 8.5020013 48.3521126, 8.5019713 48.3521324)",,,,,
26538821,secondary,50,,False,False,35.553,"LINESTRING (8.5064244 48.3503438, 8.506863 48.3502124)",L 412,Freudenstädter Straße,,,
26538821,secondary,50,,False,True,33.838,"LINESTRING (8.5064244 48.3503438, 8.5060141 48.3504789)",L 412,Freudenstädter Straße,,,
36129046,residential,50,,False,False,138.121,"LINESTRING (8.5064244 48.3503438, 8.5065829 48.3507377, 8.5065722 48.3508768, 8.5064702 48.3510087, 8.5057357 48.3512552)",,Uhlandstraße,4.5,,
"[39041088, 39041085]",residential,,,False,False,224.43099999999998,"LINESTRING (8.5108479 48.3473246, 8.510394 48.3470979, 8.5099646 48.3468236, 8.5092814 48.34626, 8.5092047 48.3462387, 8.5091109 48.3462489, 8.5086441 48.3465061)",,"['Wasenstraße', 'Schießrain']",4,,
357813954,secondary,50,,False,False,132.106,"LINESTRING (8.5108479 48.3473246, 8.51088 48.3473158, 8.511192 48.3471911, 8.5114109 48.3470585, 8.5117015 48.3468496, 8.5121807 48.3465436)",L 412,Rottweiler Straße,,,
"[357813954, 1254392645]",secondary,50,,False,True,60.474000000000004,"LINESTRING (8.5108479 48.3473246, 8.5104404 48.3474629, 8.5104176 48.3474707, 8.5101421 48.3475975)",L 412,Rottweiler Straße,,,
1020834968,secondary,50,,False,True,25.16,"LINESTRING (8.5082293 48.3497454, 8.5079464 48.3498713)",L 412,Freudenstädter Straße,,3,
24917883,secondary,,,False,False,48.66,"LINESTRING (8.5082293 48.3497454, 8.5083668 48.3498441, 8.5086675 48.350072)",L 410,Neuhäuserstraße,,,
"[357813955, 26540668]",secondary,50,,False,False,213.611,"LINESTRING (8.5082293 48.3497454, 8.5085111 48.3495259, 8.5093808 48.3484238, 8.5096649 48.3480848)",L 412,"['Wagnerplatz', 'Roßgartenstraße']",,,
24917883,secondary,,,False,True,48.66,"LINESTRING (8.5086675 48.350072, 8.5083668 48.3498441, 8.5082293 48.3497454)",L 410,Neuhäuserstraße,,,
38552305,residential,,,False,False,60.743,"LINESTRING (8.5086675 48.350072, 8.5087607 48.3500067, 8.5090399 48.349938, 8.5093242 48.3498762, 8.509412 48.349864)",,Obere Torstraße,2.5,,
38890853,residential,,,False,False,89.864,"LINESTRING (8.5086675 48.350072, 8.5084241 48.3502969, 8.5079798 48.3507384)",,Betzweiler Straße,,,
251653234,secondary,,,False,False,159.40300000000002,"LINESTRING (8.5086675 48.350072, 8.5089061 48.3502399, 8.5091323 48.3503605, 8.5094777 48.3504922, 8.5103027 48.3508066, 8.5104505 48.3508629)",L 410,Neuhäuserstraße,,,
26540669,secondary,,,False,False,80.154,"LINESTRING (8.5104505 48.3508629, 8.5110463 48.3511121, 8.5113626 48.3512529)",L 410,Marktplatz,,,
38255836,tertiary,,,False,False,38.695,"LINESTRING (8.5104505 48.3508629, 8.5103061 48.351026, 8.5101972 48.3511673)",K 5518,Fürnsaler Straße,4.5,,
247753001,residential,,,False,True,61.697,"LINESTRING (8.5104505 48.3508629, 8.5106222 48.3506242, 8.5108567 48.3503793)",,Fürnsaler Straße,4.5,,
251653234,secondary,,,False,True,159.40300000000002,"LINESTRING (8.5104505 48.3508629, 8.5103027 48.3508066, 8.5094777 48.3504922, 8.5091323 48.3503605, 8.5089061 48.3502399, 8.5086675 48.350072)",L 410,Neuhäuserstraße,,,
26444839,residential,,,False,False,40.925,"LINESTRING (8.5096649 48.3480848, 8.5092185 48.347867)",,Mühlweg,,,
"[38890851, 1254392644]",residential,,,False,False,28.135,"LINESTRING (8.5096649 48.3480848, 8.509784 48.3481659, 8.5098301 48.3482188, 8.5098893 48.3482868)",,Wagnerplatz,4,,
"[357813955, 26540668]",secondary,50,,False,True,213.611,"LINESTRING (8.5096649 48.3480848, 8.5093808 48.3484238, 8.5085111 48.3495259, 8.5082293 48.3497454)",L 412,"['Wagnerplatz', 'Roßgartenstraße']",,,
