osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,access,tunnel,junction
35818183,An der Alten Post,residential,False,True,12.833,,,"LINESTRING (6.5134774 51.1918307, 6.5133055 51.1917893)",,,,
919184573,Hindenburgstraße,residential,False,False,42.43900000000001,L 382,50,"LINESTRING (6.5134774 51.1918307, 6.5134988 51.1917693, 6.5135145 51.1917375, 6.5135341 51.1917068, 6.5136697 51.1915418, 6.513719 51.1914825)",,,,
"[919184572, 919184573, 37567629]",Hindenburgstraße,residential,False,True,117.499,L 382,50,"LINESTRING (6.5134774 51.1918307, 6.5134671 51.1918699, 6.5134621 51.1918949, 6.5134587 51.1919115, 6.5134519 51.1919764, 6.5134178 51.1923247, 6.5134067 51.1924468, 6.5133815 51.1926365, 6.5133667 51.1928847)",,,,
"[917784800, 917784801, 917784802, 10363644, 10363645]",Sebastianusstraße,living_street,False,False,163.37400000000002,,7,"LINESTRING (6.5137228 51.1907984, 6.513343 51.1906758, 6.5132733 51.1906509, 6.5132244 51.1906309, 6.5132087 51.1906245, 6.5131683 51.1906049, 6.5131296 51.1905838, 6.5130951 51.190563, 6.5130635 51.1905415, 6.5130229 51.1905031, 6.5128279 51.1903169, 6.5127811 51.1902725, 6.5127419 51.1902371, 6.5127128 51.1902137, 6.5126908 51.190196, 6.5125709 51.1901126, 6.512258 51.1898949, 6.5121776 51.1898355, 6.5120993 51.1897734)",,,,
10363644,Sebastianusstraße,living_street,False,True,27.72,,,"LINESTRING (6.5137228 51.1907984, 6.5139741 51.1908801, 6.5140007 51.1908877, 6.5140262 51.1908932, 6.5140555 51.190897, 6.5140838 51.1908994)",,,,
36726210,Adolph-Kolping-Straße,living_street,False,False,99.621,,,"LINESTRING (6.5137228 51.1907984, 6.5139565 51.1907246, 6.5139704 51.1907197, 6.5139824 51.1907146, 6.5139923 51.1907093, 6.5140027 51.1907029, 6.5141162 51.190623, 6.5141854 51.1905817, 6.5142339 51.1905529, 6.5142735 51.1905293, 6.5144739 51.1904233, 6.514502 51.1904095, 6.5145307 51.1903954, 6.5146543 51.1903347, 6.5147358 51.1902946, 6.5147699 51.1902803, 6.5147882 51.1902735, 6.5148078 51.1902683, 6.5148264 51.190265, 6.5148505 51.1902642)",,,,
37567610,Rheydter Straße,residential,False,True,129.525,,30,"LINESTRING (6.5076069 51.1870675, 6.5077333 51.1871068, 6.507806 51.1871322, 6.5078788 51.1871586, 6.5080034 51.1872088, 6.5080712 51.1872383, 6.5081154 51.1872602, 6.508317 51.1873657, 6.5083925 51.1874087, 6.5085978 51.1875199, 6.5089376 51.187704, 6.5090749 51.1877749)",,,,
"[1105537761, 1105537759]",Gustav-Heinemann-Straße,residential,False,False,69.298,,30,"LINESTRING (6.5076069 51.1870675, 6.50765 51.187021, 6.5076932 51.1869709, 6.5077328 51.1869204, 6.5077944 51.1868357, 6.507823 51.1867951, 6.508028 51.1865034)",,,,
10363639,Hindenburgstraße,residential,False,True,7.511,,,"LINESTRING (6.5130955 51.1946338, 6.5130733 51.1946999)",3,,,
"[766205324, 24505253]",,primary,False,False,565.4770000000001,L 381,50,"LINESTRING (6.5130955 51.1946338, 6.5131606 51.194637, 6.5132342 51.1946389, 6.5133056 51.1946393, 6.5133761 51.1946373, 6.51343 51.1946356, 6.5134869 51.1946315, 6.5135838 51.194623, 6.5136812 51.1946142, 6.5156086 51.1944027, 6.5186817 51.1940619, 6.5200074 51.1939135, 6.5201486 51.1938972, 6.5202897 51.1938825, 6.5205497 51.1938584, 6.5206809 51.1938463, 6.5208122 51.1938358, 6.5209516 51.1938257, 6.5210981 51.1938153)","['2', '3']",,,
31742829,Hindenburgstraße,residential,False,False,9.879000000000001,L 382,50,"LINESTRING (6.5130955 51.1946338, 6.5131111 51.1945842, 6.5131242 51.1945468)",,,,
"[206767001, 1128023130]",Rochusstraße,primary,False,True,194.84599999999998,L 381,50,"LINESTRING (6.5130955 51.1946338, 6.5130385 51.1946311, 6.5129811 51.1946278, 6.5129192 51.1946229, 6.5128593 51.1946174, 6.5127877 51.1946095, 6.512719 51.1946011, 6.5126463 51.1945902, 6.512575 51.1945778, 6.5125139 51.1945665, 6.5124519 51.1945527, 6.512389 51.194538, 6.5123151 51.1945195, 6.5122601 51.1945034, 6.5121923 51.1944835, 6.5121785 51.1944793, 6.5120541 51.1944411, 6.5119787 51.1944171, 6.5113692 51.1942229, 6.5113365 51.1942128, 6.5113066 51.1942035, 6.5105325 51.1939642)",2,,,
24561042,Regentenstraße,tertiary,False,False,9.824,,,"LINESTRING (6.5210981 51.1938153, 6.5212029 51.1938744)",2,,,
"[24548998, 542934222]",Regentenstraße,residential,False,True,22.607,,30,"LINESTRING (6.5210981 51.1938153, 6.5209644 51.1937406, 6.5208561 51.1936799)",,,,
"[766205324, 24505253]",,primary,False,True,565.4769999999999,L 381,50,"LINESTRING (6.5210981 51.1938153, 6.5209516 51.1938257, 6.5208122 51.1938358, 6.5206809 51.1938463, 6.5205497 51.1938584, 6.5202897 51.1938825, 6.5201486 51.1938972, 6.5200074 51.1939135, 6.5186817 51.1940619, 6.5156086 51.1944027, 6.5136812 51.1946142, 6.5135838 51.194623, 6.5134869 51.1946315, 6.51343 51.1946356, 6.5133761 51.1946373, 6.5133056 51.1946393, 6.5132342 51.1946389, 6.5131606 51.194637, 6.5130955 51.1946338)","['2', '3']",,,
24548999,Regentenstraße,residential,False,False,69.421,,30,"LINESTRING (6.5183974 51.193238, 6.5189575 51.1927217)",,,,
24548999,Regentenstraße,residential,False,True,69.421,,30,"LINESTRING (6.5189575 51.1927217, 6.5183974 51.193238)",,,,
24548998,Regentenstraße,residential,False,False,42.524,,30,"LINESTRING (6.5189575 51.1927217, 6.519232 51.1928406, 6.5194537 51.1929442)",,,,
"[299211937, 24548998]",Regentenstraße,residential,False,True,118.46099999999998,,30,"LINESTRING (6.5189575 51.1927217, 6.5188679 51.1926854, 6.5187409 51.1926313, 6.5182721 51.1924343, 6.5178882 51.1922695, 6.5176806 51.1921803, 6.5176159 51.1921506, 6.5175556 51.1921196)",,,,
299211937,Regentenstraße,residential,False,False,7.124,,30,"LINESTRING (6.5174784 51.1920776, 6.5175556 51.1921196)",,,,
299211937,Regentenstraße,residential,False,True,143.86599999999999,,30,"LINESTRING (6.5174784 51.1920776, 6.516369 51.1914099, 6.5163218 51.1913815, 6.5160244 51.1912025, 6.5159877 51.1911826)",,,,
1128012505,Freiheitsstraße,residential,False,True,56.953,,30,"LINESTRING (6.5174784 51.1920776, 6.5169538 51.192457, 6.5169436 51.1924649)",,,,
24573059,Am Kirsmichhof,residential,False,False,92.76500000000001,L 382,,"LINESTRING (6.5159877 51.1911826, 6.5156913 51.1914211, 6.5155288 51.1915523, 6.5154368 51.1916223, 6.5152793 51.1917397, 6.5152517 51.1917598, 6.5152304 51.1917716, 6.5152104 51.1917814, 6.5151829 51.1917918, 6.5151532 51.1918012, 6.5151227 51.1918088)",,,,
24576279,Regentenstraße,residential,False,True,23.046,L 382,30,"LINESTRING (6.5159877 51.1911826, 6.515863 51.1911029, 6.5158376 51.1910843, 6.5158111 51.1910616, 6.5157985 51.1910441, 6.5157892 51.191021)",,,,
299211937,Regentenstraße,residential,False,False,143.86599999999999,,30,"LINESTRING (6.5159877 51.1911826, 6.5160244 51.1912025, 6.5163218 51.1913815, 6.516369 51.1914099, 6.5174784 51.1920776)",,,,
10363641,Hindenburgstraße,living_street,False,True,60.467999999999996,,,"LINESTRING (6.5140838 51.1908994, 6.5140778 51.190976, 6.5140742 51.1909962, 6.5140693 51.19101, 6.5140621 51.1910235, 6.5140533 51.1910375, 6.5137797 51.1914026)",,,,
10363644,Sebastianusstraße,living_street,False,False,27.72,,,"LINESTRING (6.5140838 51.1908994, 6.5140555 51.190897, 6.5140262 51.1908932, 6.5140007 51.1908877, 6.5139741 51.1908801, 6.5137228 51.1907984)",,,,
24552263,Steinstraße,living_street,False,False,138.34599999999998,,,"LINESTRING (6.5140838 51.1908994, 6.5141111 51.1908988, 6.514139 51.1908966, 6.5141668 51.1908931, 6.5141936 51.1908877, 6.5142206 51.1908814, 6.5142495 51.1908739, 6.5143072 51.1908573, 6.5149416 51.1906758, 6.5149666 51.19067, 6.5149942 51.1906653, 6.5150196 51.1906626, 6.5150458 51.1906631, 6.51507 51.1906671, 6.5150947 51.1906755, 6.5151174 51.190686, 6.5151423 51.1906987, 6.5152184 51.1907407, 6.5154254 51.1908546, 6.515518 51.1909055, 6.5156216 51.190964, 6.5156783 51.1909914, 6.5157892 51.191021)",,,,
24552263,Steinstraße,living_street,False,True,138.34600000000003,,,"LINESTRING (6.5157892 51.191021, 6.5156783 51.1909914, 6.5156216 51.190964, 6.515518 51.1909055, 6.5154254 51.1908546, 6.5152184 51.1907407, 6.5151423 51.1906987, 6.5151174 51.190686, 6.5150947 51.1906755, 6.51507 51.1906671, 6.5150458 51.1906631, 6.5150196 51.1906626, 6.5149942 51.1906653, 6.5149666 51.19067, 6.5149416 51.1906758, 6.5143072 51.1908573, 6.5142495 51.1908739, 6.5142206 51.1908814, 6.5141936 51.1908877, 6.5141668 51.1908931, 6.514139 51.1908966, 6.5141111 51.1908988, 6.5140838 51.1908994)",,,,
24576279,Regentenstraße,residential,False,False,23.046,L 382,30,"LINESTRING (6.5157892 51.191021, 6.5157985 51.1910441, 6.5158111 51.1910616, 6.5158376 51.1910843, 6.515863 51.1911029, 6.5159877 51.1911826)",,,,
24581129,Pescher Straße,residential,False,False,127.316,L 382,30,"LINESTRING (6.5157892 51.191021, 6.5157865 51.1910041, 6.5157882 51.1909844, 6.5157984 51.1909607, 6.5158152 51.1909371, 6.5158331 51.1909196, 6.5158643 51.1908967, 6.5160609 51.1907613, 6.5162337 51.1906423, 6.5162497 51.1906307, 6.5162717 51.1906148, 6.516295 51.1905964, 6.516312 51.1905831, 6.5163484 51.1905538, 6.5163826 51.1905245, 6.5164251 51.1904866, 6.5164621 51.1904507, 6.5165316 51.1903804, 6.5167671 51.1901282, 6.5168052 51.1900858)",,,,
24576280,Engbrück,residential,False,True,222.22099999999995,,30,"LINESTRING (6.5186762 51.1886466, 6.5190186 51.1889118, 6.5190794 51.1889589, 6.5192444 51.189089, 6.5194094 51.1892232, 6.5194705 51.1892751, 6.519486 51.1892883, 6.5197139 51.1894849, 6.5197588 51.1895198, 6.519801 51.1895504, 6.519845 51.18958, 6.5198959 51.1896105, 6.5200658 51.189707, 6.5201022 51.1897289, 6.5201378 51.1897519, 6.520171 51.1897759, 6.520205 51.1898032, 6.5206415 51.190192, 6.5206582 51.1902069)",,,,
952276698,Pescher Straße,residential,False,False,20.787,L 382,50,"LINESTRING (6.5186762 51.1886466, 6.5186956 51.1886241, 6.5187106 51.188598, 6.5187172 51.1885729, 6.5187195 51.1885477, 6.5187232 51.1884648)",,,,
"[24581129, 952276698]",Pescher Straße,residential,False,True,206.72400000000002,L 382,"['50', '30']","LINESTRING (6.5186762 51.1886466, 6.5183214 51.1888943, 6.5181589 51.1890078, 6.5181437 51.1890186, 6.5181114 51.1890417, 6.5179059 51.1891884, 6.5178833 51.1892051, 6.5177773 51.1892836, 6.5176643 51.1893672, 6.5175431 51.189463, 6.5174894 51.189505, 6.517366 51.1896016, 6.5172759 51.1896719, 6.5172108 51.1897227, 6.5170906 51.1898193, 6.5170277 51.1898711, 6.5169704 51.1899194, 6.5169492 51.1899368, 6.5169438 51.1899413, 6.5168773 51.190007, 6.5168052 51.1900858)",,,,
24560053,Friedrich-Ebert-Straße,residential,True,False,174.49699999999999,,30,"LINESTRING (6.5131242 51.1945468, 6.5132582 51.194553, 6.5133263 51.1945537, 6.5133923 51.1945519, 6.5134588 51.1945471, 6.5136474 51.1945279, 6.5146544 51.1944183, 6.5151623 51.194363, 6.5155965 51.1943184)",,destination,,
31742829,Hindenburgstraße,residential,False,False,178.18,L 382,50,"LINESTRING (6.5131242 51.1945468, 6.5132398 51.194208, 6.5132907 51.1940588, 6.5133 51.1940243, 6.5133071 51.1939911, 6.513317 51.1939151, 6.5133221 51.1938516, 6.5133274 51.1937317, 6.5133333 51.1935941, 6.5133619 51.1929569)",,,,
31742829,Hindenburgstraße,residential,False,True,9.879000000000001,L 382,50,"LINESTRING (6.5131242 51.1945468, 6.5131111 51.1945842, 6.5130955 51.1946338)",,,,
24560053,Friedrich-Ebert-Straße,residential,True,False,130.703,,30,"LINESTRING (6.5173187 51.1941194, 6.5191654 51.1939137)",,destination,,
"[1128012508, 24573060]",Schillerstraße,residential,False,False,185.82,,30,"LINESTRING (6.5173187 51.1941194, 6.5170389 51.1928718, 6.5169436 51.1924649)",,,,
"[542934222, 24548998]",Regentenstraße,residential,False,False,22.607,,30,"LINESTRING (6.5208561 51.1936799, 6.5209644 51.1937406, 6.5210981 51.1938153)",,,,
24548998,Regentenstraße,residential,False,True,127.465,,30,"LINESTRING (6.5208561 51.1936799, 6.520253 51.1933594, 6.519644 51.1930357, 6.5195781 51.1930038, 6.5194537 51.1929442)",,,,
24561042,Regentenstraße,tertiary,False,True,9.824,,,"LINESTRING (6.5212029 51.1938744, 6.5210981 51.1938153)",2,,,
24560054,Friedrich-Ebert-Straße,residential,True,False,574.3940000000001,,,"LINESTRING (6.5212029 51.1938744, 6.5209209 51.1938952, 6.5207082 51.1939118, 6.5204576 51.1939341, 6.5202014 51.1939591, 6.5193503 51.1940557, 6.5190808 51.1940863, 6.5187403 51.1941249, 6.5183511 51.1941691, 6.5175755 51.1942571, 6.51732 51.1942854, 6.5161201 51.1944199, 6.5155751 51.1944782, 6.5150412 51.1945354, 6.5140616 51.1946455, 6.5137154 51.1946818, 6.5136201 51.1946901, 6.5135262 51.194696, 6.5134297 51.1947015, 6.5133371 51.194705, 6.5132698 51.1947061, 6.5132052 51.1947052, 6.5130733 51.1946999)",,,,
10363639,Hindenburgstraße,residential,False,False,7.511,,,"LINESTRING (6.5130733 51.1946999, 6.5130955 51.1946338)",3,,,
"[37605474, 24560053]",Friedrich-Ebert-Straße,residential,True,False,121.328,,30,"LINESTRING (6.5191654 51.1939137, 6.5195692 51.1938673, 6.5200126 51.1938173, 6.5200833 51.1938082, 6.5203515 51.1937723, 6.5204367 51.1937604, 6.5205208 51.193749, 6.5205626 51.193744, 6.5206052 51.1937396, 6.5206975 51.1937304, 6.5207199 51.1937279, 6.5207429 51.1937242, 6.5207651 51.1937194, 6.5207883 51.193712, 6.5208196 51.1936989, 6.5208561 51.1936799)",,destination,,
24560055,Josef-Thelen-Straße,residential,True,False,118.72699999999999,,30,"LINESTRING (6.5191654 51.1939137, 6.5190111 51.1933562, 6.51901 51.1933462, 6.5190115 51.1933368, 6.5190147 51.1933257, 6.5190217 51.193313, 6.5190351 51.1932971, 6.5190531 51.1932805, 6.5194537 51.1929442)",,,,
24548998,Regentenstraße,residential,False,False,127.465,,30,"LINESTRING (6.5194537 51.1929442, 6.5195781 51.1930038, 6.519644 51.1930357, 6.520253 51.1933594, 6.5208561 51.1936799)",,,,
24548998,Regentenstraße,residential,False,True,42.524,,30,"LINESTRING (6.5194537 51.1929442, 6.519232 51.1928406, 6.5189575 51.1927217)",,,,
24576282,Peter-Irmen-Straße,residential,False,False,133.109,,30,"LINESTRING (6.5198237 51.1906113, 6.5196023 51.1904832, 6.5195489 51.1904534, 6.5194319 51.1903846, 6.5193185 51.1903245, 6.5192229 51.1902789, 6.5191232 51.1902357, 6.5184494 51.189953, 6.5183088 51.1898866)",,,,
173269800,St.-Andreas-Straße,residential,False,False,73.522,,30,"LINESTRING (6.5198237 51.1906113, 6.519953 51.1905438, 6.5206582 51.1902069)",,,,
