osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,width,junction
421599514,True,L 219,Breite Straße,secondary,50,False,13.485,"LINESTRING (10.7322336 53.2915377, 10.7322607 53.2914735, 10.7322845 53.2914203)",,,
"[25651100, 549797132]",False,L 223,Elbstraße,secondary,50,True,71.888,"LINESTRING (10.7333402 53.2918896, 10.7331802 53.2916858, 10.7330371 53.2915229, 10.7328828 53.2913854, 10.732856 53.291362, 10.732815 53.2913261)",,,
27732904,False,,Am Hafen,residential,30,False,149.81900000000002,"LINESTRING (10.7333402 53.2918896, 10.7334575 53.2918638, 10.7342086 53.291835, 10.7344374 53.2918357, 10.7346618 53.2918406, 10.7348724 53.291858, 10.7350491 53.2918882, 10.735537 53.2920068)",,,
171465685,False,L 221,Lüneburger Straße,secondary,50,False,110.673,"LINESTRING (10.7323008 53.2910693, 10.7322672 53.2910151, 10.7321938 53.2909341, 10.7320629 53.2908046, 10.7319075 53.2906529, 10.7318319 53.2905799, 10.7316431 53.2903976, 10.7315766 53.2903334, 10.7314415 53.2902185)",2,,
421599516,True,L 221,Lüneburger Straße,secondary,50,False,22.971000000000004,"LINESTRING (10.7323008 53.2910693, 10.7323428 53.2911594, 10.7323644 53.2912006, 10.732371 53.2912111, 10.7323839 53.2912317, 10.7324164 53.2912628)",1,,
29200509,False,,Ernst-August-Straße,residential,50,True,136.999,"LINESTRING (10.7309821 53.2897771, 10.7315394 53.2895734, 10.7317372 53.2895044, 10.7318588 53.2895003, 10.7319758 53.2895161, 10.7320784 53.2895504, 10.7327732 53.2898102)",,,
240158064,False,L 221,Lüneburger Straße,secondary,50,False,173.082,"LINESTRING (10.7309821 53.2897771, 10.7306145 53.2894484, 10.7305093 53.2893612, 10.7303624 53.2892485, 10.7300921 53.2890311, 10.7299781 53.2889564, 10.7293213 53.2885874)",2,,
240158064,False,L 221,Lüneburger Straße,secondary,50,True,57.805,"LINESTRING (10.7309821 53.2897771, 10.7311876 53.2899746, 10.7314415 53.2902185)",2,,
26298195,False,K 35,Breetzer Straße,tertiary,50,False,161.161,"LINESTRING (10.7261827 53.2868407, 10.7262855 53.2867127, 10.7263439 53.2866028, 10.7263745 53.286484, 10.7263806 53.2864342, 10.7263869 53.2863212, 10.7264013 53.2858399, 10.7263923 53.2857167, 10.7263619 53.2855993, 10.7263238 53.2855182, 10.726261 53.2854243)",2,,
273431765,False,L 221,Lüneburger Straße,secondary,50,True,285.045,"LINESTRING (10.7261827 53.2868407, 10.7264595 53.2869934, 10.7266413 53.2870937, 10.7270242 53.2873078, 10.7277189 53.2876962, 10.7278934 53.2877937, 10.7286158 53.2881976, 10.7288074 53.2883035, 10.7289009 53.2883551, 10.7293213 53.2885874)",2,,
436321181,False,L 221,Lüneburger Straße,secondary,50,False,113.21799999999999,"LINESTRING (10.7261827 53.2868407, 10.7251089 53.2862483, 10.7249198 53.286158)",2,,
295080715,False,,Moorweg,unclassified,30,True,126.32499999999999,"LINESTRING (10.7249198 53.286158, 10.7248466 53.2862234, 10.7243809 53.2866637, 10.7239013 53.2871171)",,3,
436321181,False,L 221,Lüneburger Straße,secondary,50,True,113.21799999999999,"LINESTRING (10.7249198 53.286158, 10.7251089 53.2862483, 10.7261827 53.2868407)",2,,
29175211,False,,Gartenstraße,residential,50,False,137.285,"LINESTRING (10.729004 53.2908928, 10.729174 53.290992, 10.7298048 53.2912303, 10.7300377 53.2913039, 10.7303882 53.2914006, 10.730787 53.2915002)",,,
328227057,False,,Bahnhofstraße,residential,30,False,178.69,"LINESTRING (10.729004 53.2908928, 10.7300076 53.2905787, 10.7303186 53.2904948, 10.7306425 53.2904151, 10.7309776 53.2903326, 10.7314415 53.2902185)",,,
171465685,False,L 221,Lüneburger Straße,secondary,50,True,110.673,"LINESTRING (10.7314415 53.2902185, 10.7315766 53.2903334, 10.7316431 53.2903976, 10.7318319 53.2905799, 10.7319075 53.2906529, 10.7320629 53.2908046, 10.7321938 53.2909341, 10.7322672 53.2910151, 10.7323008 53.2910693)",2,,
240158064,False,L 221,Lüneburger Straße,secondary,50,False,57.805,"LINESTRING (10.7314415 53.2902185, 10.7311876 53.2899746, 10.7309821 53.2897771)",2,,
328227057,False,,Bahnhofstraße,residential,30,True,178.69,"LINESTRING (10.7314415 53.2902185, 10.7309776 53.2903326, 10.7306425 53.2904151, 10.7303186 53.2904948, 10.7300076 53.2905787, 10.729004 53.2908928)",,,
25306538,False,L 222,Fritz-von-dem-Berge-Straße,secondary,50,True,149.605,"LINESTRING (10.7366916 53.2889813, 10.7365411 53.2890813, 10.7355795 53.28972, 10.7351827 53.2899796)",,,
29200118,False,,Auf dem Kamp,residential,,True,228.839,"LINESTRING (10.7366916 53.2889813, 10.7362199 53.2886917, 10.7361271 53.2886182, 10.7360471 53.2885492, 10.7359656 53.2884723, 10.7358812 53.2883715, 10.7357006 53.288135, 10.7354679 53.2878439, 10.7354052 53.2877739, 10.7348752 53.2872503)",,,
27732904,False,,Am Hafen,residential,30,True,149.819,"LINESTRING (10.735537 53.2920068, 10.7350491 53.2918882, 10.7348724 53.291858, 10.7346618 53.2918406, 10.7344374 53.2918357, 10.7342086 53.291835, 10.7334575 53.2918638, 10.7333402 53.2918896)",,,
239079021,False,,Sanddeich,residential,30,True,70.518,"LINESTRING (10.735537 53.2920068, 10.7359129 53.2916052, 10.7360398 53.2914486)",,,
26298195,False,K 35,Breetzer Straße,tertiary,50,False,46.150999999999996,"LINESTRING (10.7256875 53.2846998, 10.7256295 53.2845964, 10.725567 53.2844753, 10.7254923 53.2843017)",2,,
26298195,False,K 35,Breetzer Straße,tertiary,50,True,25.231,"LINESTRING (10.7256875 53.2846998, 10.7257636 53.2848157, 10.7258381 53.2849079)",2,,
29086907,False,,An der Trift,residential,30,False,379.56,"LINESTRING (10.7256875 53.2846998, 10.7258869 53.2846809, 10.726917 53.2846753, 10.7281973 53.2846682, 10.7288791 53.2846539, 10.7294 53.2846419, 10.7297712 53.284623, 10.7301024 53.2845954, 10.7304251 53.2845616, 10.7311496 53.2844832, 10.731371 53.2844677)",,,
26298195,False,K 35,Breetzer Straße,tertiary,50,False,25.513,"LINESTRING (10.7251005 53.2833915, 10.7250048 53.2831693)",2,,
26298195,False,K 35,Breetzer Straße,tertiary,50,True,104.508,"LINESTRING (10.7251005 53.2833915, 10.7253719 53.2840221, 10.7254923 53.2843017)",2,,
29087071,False,,Sonnenweg,residential,30,False,151.554,"LINESTRING (10.7251005 53.2833915, 10.7253347 53.2833844, 10.7264914 53.2834745, 10.7266197 53.2834845, 10.7270047 53.2835145, 10.7273628 53.2835424)",,,
29087639,False,,Industriestraße,residential,50,True,242.684,"LINESTRING (10.7310631 53.2872097, 10.7313055 53.2872043, 10.7316075 53.2871806, 10.7318223 53.2871439, 10.732025 53.2870972, 10.7321925 53.2870491, 10.7323027 53.2870121, 10.7323844 53.2869803, 10.7328022 53.2868, 10.733213 53.286623, 10.7332829 53.2865929, 10.7335184 53.2864915, 10.734219 53.2861982)",,,
273431764,False,,Nindorfer Moorweg,residential,50,False,180.87699999999998,"LINESTRING (10.7310631 53.2872097, 10.7310989 53.2870956, 10.7311158 53.2869852, 10.731118 53.2868117, 10.7311225 53.2866559, 10.7311197 53.2863548, 10.7311239 53.2861424, 10.7311422 53.2859793, 10.7311904 53.2857565, 10.7312202 53.2855887)",,,
