osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,width
312636471,2,Friedrich-König-Straße,unclassified,False,True,13.022,,,"LINESTRING (10.6920544 50.6116164, 10.6920565 50.6114993)",,
32301021,2,Dr.-Theodor-Neubauer-Straße,secondary,True,False,248.636,L 3247,60,"LINESTRING (10.6920544 50.6116164, 10.691658 50.6116054, 10.6901966 50.6116656, 10.6895928 50.6116604, 10.6890643 50.6116054, 10.6885637 50.6115093)",,
45985845,2,Werner-Seelenbinder-Straße,tertiary,False,True,31.415999999999997,,50,"LINESTRING (10.6873549 50.6111071, 10.6872245 50.6111809, 10.6870903 50.6112154, 10.6869656 50.6112255)",,
312636467,2,Dr.-Theodor-Neubauer-Straße,secondary,True,False,26.057,L 3247,60,"LINESTRING (10.6873549 50.6111071, 10.687187 50.6110235, 10.6870662 50.610961)",,
312636489,2,Werner-Seelenbinder-Straße,tertiary,False,False,12.052,,60,"LINESTRING (10.6873549 50.6111071, 10.6873903 50.6110839, 10.6874124 50.6110693, 10.6874735 50.6110291)",,
70993260,,Bahnhofstraße,residential,True,False,21.472,,50,"LINESTRING (10.6875119 50.6076419, 10.6877739 50.6077401)",,
"[23376181, 575605598]",,Schleusinger Straße,residential,True,False,40.413,,,"LINESTRING (10.6896766 50.6082995, 10.6897656 50.6082577, 10.689826 50.6081547, 10.6899249 50.6079825)",,
38807294,,Bahnhofstraße,unclassified,False,False,49.805,,20,"LINESTRING (10.6896766 50.6082995, 10.6897556 50.6083776, 10.6898211 50.6084038, 10.6901192 50.6084677, 10.6902753 50.6085062)",,
24927854,,Senfte,tertiary,False,False,11.158,,50,"LINESTRING (10.6871748 50.6055738, 10.6872648 50.6056563)",,
"[45552417, 45552419, 32301407]",2,"['Schleusinger Straße', 'Dr.-Theodor-Neubauer-Straße']",secondary,True,False,259.09799999999996,L 3247,60,"LINESTRING (10.6871748 50.6055738, 10.6873631 50.6054932, 10.6875622 50.6054039, 10.6887129 50.6049046, 10.689042 50.6047736, 10.6894042 50.6046608, 10.6899023 50.60451, 10.6900683 50.6044337, 10.690269 50.604331)",yes,
297411679,3,Blücherstraße,residential,False,True,35.603,,50,"LINESTRING (10.6871748 50.6055738, 10.6870486 50.6054359, 10.6869254 50.6052955)",,
126550139,,Senfte,residential,False,False,43.168,,30,"LINESTRING (10.6888704 50.606215, 10.6888957 50.6060286, 10.6889076 50.6059521, 10.6889313 50.6058907, 10.688973 50.6058357)",,
297411680,,Senfte,residential,False,False,29.528,,,"LINESTRING (10.6888704 50.606215, 10.6889535 50.6062406, 10.6890253 50.6062716, 10.6891025 50.6063147, 10.6891789 50.6063864)",,
