osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,tunnel,access
51155955,2,Von-und-zu-Franckenstein-Straße,residential,False,True,26.879,,,"LINESTRING (10.4664374 49.663352, 10.4668045 49.6633964)",,,
"[235142629, 235142626, 46886261]","['2', '3']",Südring,secondary,False,False,126.739,St 2261,50,"LINESTRING (10.4664374 49.663352, 10.4664404 49.6636556, 10.466442 49.6638388, 10.4664466 49.6639376, 10.466428 49.664093, 10.4664174 49.664182, 10.4663789 49.66449)",,,
26030727,2,Hauptstraße,tertiary,False,False,40.194,,,"LINESTRING (10.4655523 49.6660016, 10.465407 49.6659588, 10.4650304 49.6658738)",,,
26206439,2,Schwarzenberger Straße,secondary,False,False,56.173,St 2261,50,"LINESTRING (10.4655523 49.6660016, 10.4655817 49.6661047, 10.4657002 49.6662157, 10.4659777 49.6664111)",,,
315261301,2,Südring,secondary,False,True,18.036,St 2261,50,"LINESTRING (10.4655523 49.6660016, 10.4655675 49.6659332, 10.4656426 49.6658538)",,,
1106757502,,Adi-Dassler-Straße,residential,False,True,64.69,,,"LINESTRING (10.4655523 49.6660016, 10.4658364 49.6660578, 10.4661444 49.6661187, 10.4664201 49.6661493)",,,
24263854,2,Kirchstraße,tertiary,False,True,41.064,,,"LINESTRING (10.4626078 49.6680464, 10.4626073 49.6676771)",,,
43134205,2,Kirchstraße,tertiary,False,False,12.214,,,"LINESTRING (10.4626078 49.6680464, 10.4625472 49.668149)",,,
28798910,,Bergstraße,residential,False,False,47.958,,,"LINESTRING (10.4626078 49.6680464, 10.4626828 49.668125, 10.4629581 49.6684133)",,,
158521524,2,Schwarzenberger Straße,secondary,False,True,78.591,St 2261,50,"LINESTRING (10.4671796 49.6672781, 10.4664589 49.6667471)",,,
158521524,2,Schwarzenberger Straße,secondary,False,False,20.835,St 2261,50,"LINESTRING (10.4671796 49.6672781, 10.4672537 49.6673311, 10.4673739 49.667417)",,,
35697231,2,Würzburger Straße,residential,False,False,116.62799999999999,,,"LINESTRING (10.4598542 49.6634803, 10.4593657 49.6633341, 10.4592061 49.6632924, 10.4588684 49.6632264, 10.4587798 49.663209, 10.4583304 49.6631323)",,,
37761371,2,Nürnberger Straße,secondary,False,False,89.00200000000001,St 2421,50,"LINESTRING (10.4598542 49.6634803, 10.4599277 49.663358, 10.460011 49.6632211, 10.4603051 49.662735)",,,
