osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,access,bridge
"[263672609, 62203602]",True,3,L 569,Bürgerstraße,secondary,50,False,87.842,"LINESTRING (9.9310961 51.529643, 9.9307066 51.5297352, 9.9305867 51.5297644, 9.9299326 51.5299141, 9.9299069 51.52992)",,,
49428466,True,3,L 569,Bürgerstraße,secondary,50,False,48.73,"LINESTRING (9.9318933 51.5293299, 9.9320494 51.5292856, 9.9325414 51.5291583)",,,
28778673,True,2,L 569,Bürgerstraße,secondary,50,False,23.48,"LINESTRING (9.9314045 51.5295548, 9.9310961 51.529643)",,,
49428460,True,1,,Wiesenstraße,secondary_link,50,False,16.954,"LINESTRING (9.9314045 51.5295548, 9.9313033 51.5295504, 9.9312343 51.5295416, 9.931164 51.5295289)",,,
263672617,True,4,L 569,Bürgerstraße,secondary,50,False,24.016,"LINESTRING (9.9325414 51.5291583, 9.9328822 51.5291171)",,,
28681309,False,4,L 569,Bürgerstraße,secondary,50,False,21.302999999999997,"LINESTRING (9.9342066 51.5289884, 9.9344363 51.5290036, 9.9345127 51.5290094)",,,
"[263672611, 406258087, 406258091, 322767795, 28681310]",False,"['6', '5']",L 569,Bürgerstraße,secondary,50,True,93.31700000000001,"LINESTRING (9.9342066 51.5289884, 9.9339165 51.5289894, 9.9336944 51.5290031, 9.9335102 51.5290153, 9.9334664 51.5290182, 9.9333921 51.5290279, 9.933227 51.5290517, 9.9330666 51.5290758, 9.9328822 51.5291171)",,,
"[28681312, 405981355]",False,4,L 569,Bürgerstraße,secondary,50,True,33.48,"LINESTRING (9.9349941 51.5290404, 9.9348716 51.5290323, 9.9345127 51.5290094)",,,
"[28456129, 318976275, 434993140, 434993141, 318976276, 439107641, 205507964]",False,"['6', '4', '5']",L 569,Bürgerstraße,secondary,50,False,196.47400000000002,"LINESTRING (9.9349941 51.5290404, 9.9351691 51.5290526, 9.9355682 51.5290808, 9.9357418 51.5290935, 9.9361951 51.5291265, 9.936202 51.529127, 9.9366047 51.5291566, 9.9367196 51.5291654, 9.937024 51.5291886, 9.9374015 51.5292224, 9.9375979 51.5292465, 9.9378104 51.5292658)",,,
49428474,True,4,L 569,Bürgerstraße,secondary,50,False,18.364,"LINESTRING (9.9378104 51.5292658, 9.9378742 51.529269, 9.9380756 51.529272)",,,
