osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,width,access,junction
28991744,Hauptstraße,residential,30,False,False,48.492,"LINESTRING (7.9424648 48.4679417, 7.9424992 48.4679699, 7.9425578 48.4680179, 7.9426321 48.4680837, 7.9426765 48.4681502, 7.9427095 48.4682393, 7.9427271 48.4683079, 7.9427326 48.4683294)",,,,,,
"[114227622, 114227625, 33067565, 978659445, 871585502]",Hauptstraße,secondary,50,False,False,74.75,"LINESTRING (7.9424648 48.4679417, 7.9424028 48.4679487, 7.9423548 48.467946, 7.942297 48.4679342, 7.9421295 48.4678713, 7.9420534 48.4678404, 7.9418231 48.467753, 7.9415638 48.4676594)",3,L 99,yes,,,
314860234,Grabenallee,secondary,50,False,True,2.632,"LINESTRING (7.9491137 48.4678762, 7.9490812 48.4678664)",4,L 99,,,,
4437772,Grabenallee,secondary,50,False,False,31.798,"LINESTRING (7.9491137 48.4678762, 7.9492121 48.467908, 7.9492851 48.4679314, 7.9495016 48.4680012)",4,L 99,,,,
578128115,Wilhelmstraße,residential,30,True,False,21.332,"LINESTRING (7.9491137 48.4678762, 7.9491631 48.4677982, 7.9492324 48.4677013)",,,,,,
4437768,Wilhelmstraße,tertiary,50,False,False,40.675,"LINESTRING (7.9495016 48.4680012, 7.9492833 48.4680872, 7.9492358 48.4681069, 7.9490318 48.4681929)",3,,,,,
4437772,Grabenallee,secondary,50,False,True,31.797999999999995,"LINESTRING (7.9495016 48.4680012, 7.9492851 48.4679314, 7.9492121 48.467908, 7.9491137 48.4678762)",4,L 99,,,,
24458630,Weingartenstraße,tertiary,,False,False,110.386,"LINESTRING (7.9495016 48.4680012, 7.9496755 48.46806, 7.9498704 48.4681065, 7.9509273 48.4682961)",3,,,,,
24734010,Friedenstraße,residential,30,True,False,133.695,"LINESTRING (7.9477946 48.4701852, 7.9478877 48.4701921, 7.9485885 48.4703794, 7.9487945 48.4704355, 7.9491625 48.4705396, 7.9493236 48.4705822, 7.9494803 48.4706223)",,,,,,
314860243,Wilhelmstraße,tertiary,50,False,True,130.555,"LINESTRING (7.9477946 48.4701852, 7.9479257 48.4699624, 7.9479452 48.469931, 7.948462 48.4690977)",2,,,,,
620651718,Wilhelmstraße,tertiary,50,False,False,129.314,"LINESTRING (7.9477946 48.4701852, 7.9473672 48.4709052, 7.94713 48.4712612)",2,,,,,
"[620651721, 22920733, 22920742, 1035942177]","['Zauberflötenbrücke', 'Lindenplatz', 'Schuttergasse']",residential,"['50', '30']",False,True,216.30200000000002,"LINESTRING (7.9477946 48.4701852, 7.9477099 48.470169, 7.9471511 48.4700228, 7.9470413 48.4700071, 7.9469446 48.470012, 7.9468958 48.4700258, 7.9468473 48.4700551, 7.9467093 48.4702005, 7.9465515 48.4703751, 7.9463327 48.4704962, 7.9462462 48.4705228, 7.9461535 48.4705298, 7.9459393 48.4705269, 7.94586 48.4705152, 7.9453271 48.4703603)",2,,yes,,,
24458630,Weingartenstraße,tertiary,,False,True,110.386,"LINESTRING (7.9509273 48.4682961, 7.9498704 48.4681065, 7.9496755 48.46806, 7.9495016 48.4680012)",3,,,,,
35911857,Friedrichstraße,living_street,,False,True,150.834,"LINESTRING (7.9509273 48.4682961, 7.9506236 48.4687828, 7.9501328 48.4695461)",,,,,,
89063509,Angelgasse,living_street,,False,True,177.99099999999999,"LINESTRING (7.9398813 48.4675256, 7.9397769 48.4678768, 7.9397413 48.4679966, 7.9397041 48.4681216, 7.9396152 48.4683085, 7.9392891 48.4690759)",,,,,,
314860235,Hauptstraße,secondary,50,True,False,95.506,"LINESTRING (7.9398813 48.4675256, 7.939301 48.4675917, 7.9385957 48.46762)",3,L 99,,,,
315582898,Hauptstraße,secondary,50,True,False,48.852999999999994,"LINESTRING (7.940528 48.4674312, 7.9403372 48.4674517, 7.9398813 48.4675256)",2,L 99,,,,
"[320209339, 33067567]",Wilhelm-Bauer-Straße,living_street,,False,True,282.249,"LINESTRING (7.9415638 48.4676594, 7.9415179 48.4677001, 7.9414013 48.4677748, 7.94119 48.4678922, 7.9410262 48.4680298, 7.9409636 48.4681008, 7.9409235 48.4681463, 7.9409052 48.4681671, 7.940852 48.4682275, 7.9407646 48.468348, 7.9406507 48.4685279, 7.9405986 48.468664, 7.9403955 48.4691851, 7.9403359 48.4692363, 7.9402667 48.4692514, 7.9401538 48.4692421, 7.9395664 48.4691357, 7.9392891 48.4690759)",,,,,,
314860244,Hauptstraße,secondary,50,True,False,30.625,"LINESTRING (7.9415638 48.4676594, 7.9415108 48.4676414, 7.9411995 48.4675271)",2,L 99,,,,
"[114227622, 114227625, 33067565, 978659445, 871585502]",Hauptstraße,secondary,50,False,True,74.75000000000001,"LINESTRING (7.9415638 48.4676594, 7.9418231 48.467753, 7.9420534 48.4678404, 7.9421295 48.4678713, 7.942297 48.4679342, 7.9423548 48.467946, 7.9424028 48.4679487, 7.9424648 48.4679417)",3,L 99,yes,,,
24220535,Hauptstraße,tertiary,20,False,False,63.717,"LINESTRING (7.9434542 48.4724479, 7.9436127 48.4727358, 7.9437484 48.4729867)",2,,,,,
"[88602028, 39370829, 689322238]","['Hauptstraße', 'Gustav-Rée-Anlage', 'Lange Straße']","['living_street', 'tertiary']",20,False,"[False, True]",181.461,"LINESTRING (7.9434542 48.4724479, 7.9433506 48.4722361, 7.9437992 48.4721392, 7.9442282 48.4720546, 7.9442811 48.4718568, 7.9443241 48.4716663, 7.9443279 48.4716542, 7.9443718 48.4714081, 7.944477 48.4712798)",,,,,,
22913943,Gerberstraße,residential,,True,False,59.324,"LINESTRING (7.9427326 48.4683294, 7.9431822 48.4682513, 7.9435192 48.468222)",,,,,,
28991744,Hauptstraße,residential,30,False,False,25.945999999999998,"LINESTRING (7.9427326 48.4683294, 7.9427482 48.4683939, 7.9427706 48.4684867, 7.9427852 48.4685601)",,,,,,
28991744,Hauptstraße,residential,30,False,True,48.492,"LINESTRING (7.9427326 48.4683294, 7.9427271 48.4683079, 7.9427095 48.4682393, 7.9426765 48.4681502, 7.9426321 48.4680837, 7.9425578 48.4680179, 7.9424992 48.4679699, 7.9424648 48.4679417)",,,,,,
22920675,Philipp-Reis-Straße,tertiary,,True,False,68.038,"LINESTRING (7.9426583 48.4746513, 7.9435512 48.4744964)",2,,,,,
314682981,Okenstraße,tertiary,,True,False,28.478,"LINESTRING (7.9426583 48.4746513, 7.9425183 48.4744126)",2,,,,,
