osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,tunnel,junction
"[81945200, 1085031667, 15107509]",In der Schaf,residential,10,False,True,97.482,"LINESTRING (6.1863403 50.9054288, 6.1861714 50.9054018, 6.1860231 50.9053231, 6.1859227 50.9052663, 6.185676 50.9051268, 6.1855428 50.9050576, 6.185397 50.9049773, 6.1852511 50.9049008)",,,,,
"[76357610, 505374907]",Aachener Straße,secondary,,False,False,32.875,"LINESTRING (6.1863403 50.9054288, 6.1864759 50.9055372, 6.186596 50.9056754)",2,,,,
"[957079876, 237462151]",Aachener Straße,secondary,,False,True,183.835,"LINESTRING (6.1863403 50.9054288, 6.1864071 50.9053641, 6.1864381 50.9052895, 6.1864016 50.9051353, 6.1862965 50.9048368, 6.1861879 50.9045594, 6.1859997 50.9040956, 6.185974 50.9040494, 6.1858382 50.9038426)","['2', '3']",,,,
15107473,Kapellenstraße,tertiary,,False,False,66.89099999999999,"LINESTRING (6.1761357 50.9049374, 6.1759666 50.9053138, 6.1758343 50.9055069)",,K 27,,,
15107473,Kapellenstraße,tertiary,,False,True,145.918,"LINESTRING (6.1761357 50.9049374, 6.1762544 50.9047499, 6.1765827 50.9043591, 6.1767515 50.9041569, 6.1770866 50.9037714)",,K 27,,,
22329048,Roskaul,residential,30,False,True,97.246,"LINESTRING (6.1761357 50.9049374, 6.1771097 50.9052246, 6.1773856 50.9052788, 6.1774072 50.9052831)",,,,,
15107473,Kapellenstraße,tertiary,,False,True,66.89099999999999,"LINESTRING (6.1758343 50.9055069, 6.1759666 50.9053138, 6.1761357 50.9049374)",,K 27,,,
25811153,Buschstraße,residential,30,False,True,115.163,"LINESTRING (6.1758343 50.9055069, 6.1760253 50.9055211, 6.1763499 50.9054918, 6.1773534 50.9053236, 6.1774072 50.9052831)",,,,,
"[333920242, 15107493]",Reyplatz,living_street,7,True,False,74.80399999999999,"LINESTRING (6.1777731 50.9110564, 6.177813 50.9109902, 6.1778825 50.9109121, 6.1778992 50.9108934, 6.1780016 50.9108328, 6.1780825 50.9107976, 6.1781407 50.9107789, 6.1782682 50.910738, 6.1783714 50.9107103, 6.1785732 50.9106562)",1,,,,
38215973,Reyplatz,residential,30,False,True,42.74,"LINESTRING (6.1777731 50.9110564, 6.1777506 50.9111058, 6.1777119 50.9111906, 6.1776277 50.9114295)",,,,,
