osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,tunnel,lanes
5098072,B 20,Stadtplatz,primary,30,False,False,36.076,"LINESTRING (12.7667978 48.0628786, 12.7667382 48.0629663, 12.7666129 48.0631785)",,,,
5098072,B 20,Stadtplatz,primary,30,False,True,37.688,"LINESTRING (12.7667978 48.0628786, 12.7669126 48.0627414, 12.7670619 48.0625895)",,,,
"[32897249, 114089763]",,Stiftsgasse,residential,,False,"[False, True]",95.49,"LINESTRING (12.7667978 48.0628786, 12.7666129 48.062806, 12.7665872 48.062793, 12.7662817 48.0626726, 12.7656793 48.0624566)",,,,
5097992,St 2106,Gerberberg,secondary,50,False,True,28.185,"LINESTRING (12.7660154 48.0638474, 12.7660913 48.0638909, 12.7661951 48.0639459, 12.7662595 48.0639746, 12.7663238 48.0639921)",,,,
109698077,,Lindenweg,residential,,False,True,90.423,"LINESTRING (12.7660154 48.0638474, 12.7659427 48.0638238, 12.7654648 48.0636445, 12.7652914 48.0635634, 12.7651267 48.063483, 12.7649979 48.0634065)",2,,,
"[47445441, 710307533, 710307534, 183215196, 183215198]",B 20,Stadtplatz,primary,"['50', '30']",False,True,87.325,"LINESTRING (12.7660154 48.0638474, 12.7660883 48.0638104, 12.766152 48.0637568, 12.7662006 48.0637059, 12.7662424 48.0636622, 12.7662932 48.0636011, 12.7665817 48.063223, 12.7666129 48.0631785)",,yes,building_passage,
710315848,B 20,Burghauser Straße,primary,50,False,False,77.74300000000001,"LINESTRING (12.7660154 48.0638474, 12.7659296 48.0638656, 12.7657894 48.0638774, 12.7656308 48.0638646, 12.7654268 48.0638244, 12.7652033 48.0637466, 12.7650545 48.0636672)",,,,2
5097992,St 2106,Gerberberg,secondary,50,False,False,28.185,"LINESTRING (12.7663238 48.0639921, 12.7662595 48.0639746, 12.7661951 48.0639459, 12.7660913 48.0638909, 12.7660154 48.0638474)",,,,
37159465,,Bürgermeister-Poschacher-Straße,residential,,False,False,199.832,"LINESTRING (12.7663238 48.0639921, 12.7663104 48.0640212, 12.7663024 48.0640629, 12.7663018 48.0641758, 12.7662772 48.0642314, 12.7661935 48.0643347, 12.7661837 48.0643607, 12.7661721 48.0643915, 12.7661481 48.0644665, 12.7661019 48.0645606, 12.766033 48.0646584, 12.7659936 48.0647051, 12.765865 48.0648577, 12.7657818 48.0649563, 12.7657364 48.0649853, 12.7657165 48.0649885, 12.7656906 48.0649926, 12.7655361 48.0649995, 12.7653024 48.06501, 12.7651815 48.0650112, 12.7651357 48.0650085, 12.7651049 48.0650067, 12.7650424 48.0649961, 12.7649699 48.0649712, 12.7648127 48.0649134, 12.7647224 48.0648803)",,,,
130888199,St 2106,Gerberberg,secondary,30,False,False,120.541,"LINESTRING (12.7663238 48.0639921, 12.766639 48.0640759, 12.7668237 48.064105, 12.7670246 48.0641519, 12.7672976 48.0642468, 12.7675208 48.0643471, 12.7677377 48.0644891)",,,,
26506171,,Wasservorstadt,residential,,False,False,10.949,"LINESTRING (12.7679035 48.0645957, 12.767898 48.0646941)",,,,
130888193,St 2106,Gerberberg,secondary,50,False,True,17.101,"LINESTRING (12.7679035 48.0645957, 12.7677953 48.064524, 12.7677377 48.0644891)",,,,
"[710315848, 710315849, 49874883]",B 20,Burghauser Straße,primary,"['50', '100']",False,True,243.431,"LINESTRING (12.7618594 48.0631009, 12.7624246 48.0628857, 12.7628371 48.0627609, 12.7629957 48.0627212, 12.7631326 48.0626946, 12.7632878 48.0626801, 12.7633859 48.0626763, 12.7634965 48.0626793, 12.7635912 48.0626946, 12.7637076 48.0627258, 12.7638103 48.0627685, 12.7639472 48.0628493, 12.7641115 48.0629683, 12.7643833 48.0631886, 12.7645417 48.0633068, 12.7645827 48.0633374)",,,,2
774744915,St 2106,,secondary,100,False,True,84.565,"LINESTRING (12.7618594 48.0631009, 12.76184 48.0630529, 12.76184 48.0630041, 12.7618583 48.06295, 12.7618971 48.0628768, 12.7619507 48.0628043, 12.762042 48.0627159, 12.7622142 48.0625863, 12.7623112 48.0625062, 12.7623648 48.0624529)",,,,
24861476,,Traunsteiner Straße,tertiary,30,False,False,148.54399999999998,"LINESTRING (12.7689449 48.0604121, 12.7688258 48.060377, 12.7687199 48.0603483, 12.768192 48.0602048, 12.7679399 48.0601349, 12.7677682 48.0600946, 12.7676395 48.0600731, 12.7674825 48.0600542, 12.7673216 48.0600453, 12.7670459 48.0600385)",,,,
106144808,B 20,Laufener Straße,primary,50,False,True,46.922000000000004,"LINESTRING (12.7689449 48.0604121, 12.7689194 48.0606597, 12.7688993 48.0607374, 12.7688519 48.0608269)",,,,
