osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width
1006220347,2,L 71,Markt,secondary,50,False,True,15.614,"LINESTRING (13.2285952 51.8140686, 13.2283725 51.8140962)",
13460398,2,L 72,Herzberger Straße,secondary,50,False,False,191.686,"LINESTRING (13.2285952 51.8140686, 13.2285763 51.8139419, 13.2285641 51.8138242, 13.2284674 51.8132897, 13.2284509 51.8131982, 13.2284464 51.8130902, 13.2284649 51.8130342, 13.228686 51.8123644)",
14481635,2,L 71,Markt,secondary,50,False,False,47.031000000000006,"LINESTRING (13.2285952 51.8140686, 13.2286445 51.8140617, 13.228903 51.8140311, 13.2292721 51.8140119)",
71009116,2,L 71,Karl-Marx-Straße,secondary,50,False,False,40.721,"LINESTRING (13.2326235 51.8143042, 13.2332152 51.8143217)",
23568359,2,L 713,Weißener Straße,secondary,,False,False,291.814,"LINESTRING (13.2326235 51.8143042, 13.2326248 51.8143681, 13.2325997 51.8145172, 13.2325448 51.8147017, 13.2324401 51.8150303, 13.2322871 51.8153489, 13.2322619 51.8154081, 13.2318526 51.8163699, 13.2317994 51.8165436, 13.2317591 51.8167183, 13.2317445 51.8168647)",
"[397549369, 14481635]",2,L 71,"['Markt', 'Karl-Marx-Straße']",secondary,50,False,True,233.35,"LINESTRING (13.2326235 51.8143042, 13.2316754 51.8142747, 13.231268 51.8142331, 13.2309542 51.8141803, 13.2305393 51.8141323, 13.2301485 51.8140871, 13.2297437 51.8140415, 13.2293117 51.814007, 13.2292721 51.8140119)",
24755460,,,Grüner Weg,residential,,False,False,82.465,"LINESTRING (13.2317445 51.8168647, 13.2305752 51.8170306)",
23568359,2,L 713,Weißener Straße,secondary,,False,True,291.81399999999996,"LINESTRING (13.2317445 51.8168647, 13.2317591 51.8167183, 13.2317994 51.8165436, 13.2318526 51.8163699, 13.2322619 51.8154081, 13.2322871 51.8153489, 13.2324401 51.8150303, 13.2325448 51.8147017, 13.2325997 51.8145172, 13.2326248 51.8143681, 13.2326235 51.8143042)",
13460398,2,L 72,Herzberger Straße,secondary,50,False,True,191.686,"LINESTRING (13.228686 51.8123644, 13.2284649 51.8130342, 13.2284464 51.8130902, 13.2284509 51.8131982, 13.2284674 51.8132897, 13.2285641 51.8138242, 13.2285763 51.8139419, 13.2285952 51.8140686)",
"[23966257, 865301187]",,,"['Ernst-Thälmann-Straße', 'An den Linden']",residential,,False,False,454.701,"LINESTRING (13.228686 51.8123644, 13.2277175 51.8123978, 13.2276085 51.8124155, 13.2273213 51.8124621, 13.2271438 51.8125158, 13.2268256 51.8126641, 13.2262528 51.8129218, 13.2260077 51.8129959, 13.2258399 51.8130518, 13.2256879 51.8130979, 13.2253873 51.8132237, 13.2249494 51.8134248, 13.2239648 51.813793, 13.2239588 51.8139001, 13.224099 51.8141768, 13.2241856 51.8143191, 13.2243507 51.8145099)",
