osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,bridge,access,ref,junction,tunnel
43990495,Kiesstraße,secondary,50,6,False,False,82.8,"LINESTRING (9.1507981 49.0778377, 9.1509118 49.0777785, 9.1510871 49.0776906, 9.1512441 49.0776296, 9.1513826 49.0775789, 9.1517007 49.0774787, 9.1517694 49.0774565)",,,,,,
43990497,Eisenbahnstraße,residential,30,6,False,True,32.864,"LINESTRING (9.1507981 49.0778377, 9.1505544 49.0777505, 9.1503977 49.0777017)",,,,,,
"[388081675, 388081676, 31109724]",Kiesstraße,secondary,50,6,False,True,81.714,"LINESTRING (9.1507981 49.0778377, 9.150649 49.0780062, 9.1505594 49.0781217, 9.1505415 49.0781465, 9.1504606 49.0782642, 9.1504274 49.07836, 9.150391 49.0784359, 9.1503459 49.0785062)",2,,,,,
25398801,Brückenstraße,residential,30,3,True,False,128.388,"LINESTRING (9.1561441 49.0745544, 9.1559737 49.0746727, 9.1556695 49.0748657, 9.1555857 49.0749165, 9.155415 49.0749725, 9.1552645 49.0750116, 9.1552187 49.0750157, 9.1551394 49.0750134, 9.1550811 49.0750106, 9.1546417 49.074999)",,,,,,
138776829,Seestraße,secondary,50,7,False,False,51.480000000000004,"LINESTRING (9.1561441 49.0745544, 9.1560704 49.0744723, 9.1559793 49.0744135, 9.1558644 49.074366, 9.1557225 49.0743272, 9.1555836 49.0743028)",,,,,,
606490366,Seestraße,secondary,50,7,False,True,17.116,"LINESTRING (9.1561441 49.0745544, 9.1561834 49.0746225, 9.1562049 49.0747024)",,,,,,
24168197,Stuttgarter Straße,secondary,50,7,False,False,36.569,"LINESTRING (9.1550594 49.0741565, 9.155018 49.0740953, 9.1550098 49.073996, 9.1550651 49.0738376)",,,,,,
26970080,Seestraße,secondary,50,7,False,True,43.092,"LINESTRING (9.1550594 49.0741565, 9.1551351 49.0742095, 9.1552228 49.0742526, 9.1553326 49.0742807, 9.1555836 49.0743028)",,,,,,
37345955,Friedhofstraße,residential,30,5,False,False,99.698,"LINESTRING (9.1550651 49.0738376, 9.1537135 49.0736964)",,,,,,
24168197,Stuttgarter Straße,secondary,50,7,False,False,98.016,"LINESTRING (9.1550651 49.0738376, 9.1551344 49.0737107, 9.1552438 49.0735181, 9.1554958 49.0730897, 9.1555413 49.0730132)",,,,,,
24168197,Stuttgarter Straße,secondary,50,7,False,True,36.569,"LINESTRING (9.1550651 49.0738376, 9.1550098 49.073996, 9.155018 49.0740953, 9.1550594 49.0741565)",,,,,,
"[428177818, 23708846, 26970079]","['Uferstraße', 'Kiesstraße']",secondary,50,6,False,True,192.795,"LINESTRING (9.1552377 49.0757604, 9.1551532 49.0759276, 9.1551157 49.0760651, 9.155101 49.0761921, 9.1550924 49.0762782, 9.1550647 49.0763643, 9.1550081 49.0764556, 9.1549269 49.0765363, 9.1547961 49.0766331, 9.1546322 49.0767083, 9.1544571 49.0767699, 9.1543013 49.0768144, 9.1541761 49.0768463, 9.1539656 49.0768951, 9.1538799 49.0769163, 9.1536996 49.0769575)",,,,,,
"[138776832, 24168198]","['Uferstraße', 'Seestraße']",secondary,50,"['7', '6']",False,False,138.083,"LINESTRING (9.1552377 49.0757604, 9.1553824 49.0755763, 9.1554008 49.0755597, 9.1554545 49.0755101, 9.1554837 49.0754818, 9.1555904 49.0753743, 9.1556698 49.0753027, 9.1561477 49.0748451, 9.1561802 49.0747888, 9.1562049 49.0747024)",,,,,,
138778779,Lange Straße,residential,30,5,False,True,46.602000000000004,"LINESTRING (9.1552377 49.0757604, 9.1551026 49.0757103, 9.1547401 49.0755534, 9.1547052 49.0755299)",,,,,,
35589921,Lange Straße,residential,30,5,False,False,25.361,"LINESTRING (9.1545192 49.0753371, 9.1547052 49.0755299)",,,,,,
606490367,Stuttgarter Straße,residential,30,5,True,False,38.643,"LINESTRING (9.1545192 49.0753371, 9.1545666 49.0752157, 9.1546417 49.074999)",,,,,,
"[138776832, 24168198]","['Uferstraße', 'Seestraße']",secondary,50,"['7', '6']",False,True,138.083,"LINESTRING (9.1562049 49.0747024, 9.1561802 49.0747888, 9.1561477 49.0748451, 9.1556698 49.0753027, 9.1555904 49.0753743, 9.1554837 49.0754818, 9.1554545 49.0755101, 9.1554008 49.0755597, 9.1553824 49.0755763, 9.1552377 49.0757604)",,,,,,
606490366,Seestraße,secondary,50,7,False,False,17.116,"LINESTRING (9.1562049 49.0747024, 9.1561834 49.0746225, 9.1561441 49.0745544)",,,,,,
