osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,width
27078854,,Frauenberg,residential,30,False,True,149.736,,"LINESTRING (11.1801189 48.8916889, 11.1793397 48.8914129, 11.1792506 48.8913768, 11.1791832 48.891368, 11.1789552 48.891425, 11.1788643 48.8914184, 11.1787667 48.8913747, 11.1785723 48.8912801, 11.1784178 48.8912471, 11.1782865 48.8912552)",,
40622994,,Sebastiangasse,unclassified,30,False,True,133.02100000000002,,"LINESTRING (11.1801189 48.8916889, 11.180111 48.8915556, 11.180098 48.891438, 11.1801145 48.8913488, 11.1802344 48.8910319, 11.1803058 48.8908954, 11.180394 48.8907797, 11.180504 48.8906456, 11.1805618 48.8905505)",,
316267179,,Frauenberg,unclassified,30,False,False,32.004000000000005,,"LINESTRING (11.1801189 48.8916889, 11.180308 48.8918308, 11.1803919 48.8919132)",,
27078853,,Sebastiangasse,residential,30,True,False,96.935,,"LINESTRING (11.1805618 48.8905505, 11.1807764 48.890467, 11.1809363 48.8903464, 11.1813252 48.8899905, 11.1814728 48.8900414)",,
40622994,,Sebastiangasse,unclassified,30,False,False,133.021,,"LINESTRING (11.1805618 48.8905505, 11.180504 48.8906456, 11.180394 48.8907797, 11.1803058 48.8908954, 11.1802344 48.8910319, 11.1801145 48.8913488, 11.180098 48.891438, 11.180111 48.8915556, 11.1801189 48.8916889)",,
"[172586209, 172586210, 127908449]",B 13,Weißenburger Straße,primary,50,False,"[False, True]",125.61800000000001,3,"LINESTRING (11.1794794 48.8930384, 11.1795127 48.8929931, 11.179756 48.8926885, 11.1797866 48.892654, 11.1800092 48.8924031, 11.1801694 48.8922114, 11.1802482 48.8921058, 11.180295 48.8920445)",,
"[909697755, 27078871]",,Burgstraße,residential,30,False,False,161.66,,"LINESTRING (11.1794794 48.8930384, 11.1791028 48.892925, 11.1787571 48.8927988, 11.1786009 48.8927842, 11.1784764 48.8927886, 11.1783973 48.8928067, 11.178238 48.8927909, 11.1781232 48.8927566, 11.1775098 48.8924749)",,
"[909697755, 27078871]",,Burgstraße,residential,30,False,True,161.66000000000003,,"LINESTRING (11.1775098 48.8924749, 11.1781232 48.8927566, 11.178238 48.8927909, 11.1783973 48.8928067, 11.1784764 48.8927886, 11.1786009 48.8927842, 11.1787571 48.8927988, 11.1791028 48.892925, 11.1794794 48.8930384)",,
155953354,,Kolpingstraße,residential,30,False,False,113.062,,"LINESTRING (11.1771202 48.8919135, 11.1773359 48.8918438, 11.1777895 48.8915756, 11.1782211 48.8912949, 11.1782865 48.8912552)",,
27078854,,Frauenberg,residential,30,False,False,149.736,,"LINESTRING (11.1782865 48.8912552, 11.1784178 48.8912471, 11.1785723 48.8912801, 11.1787667 48.8913747, 11.1788643 48.8914184, 11.1789552 48.891425, 11.1791832 48.891368, 11.1792506 48.8913768, 11.1793397 48.8914129, 11.1801189 48.8916889)",,
"[185991090, 27078901]",,Auf der Alm,residential,30,False,False,245.538,,"LINESTRING (11.1782865 48.8912552, 11.1783177 48.8912392, 11.1786509 48.8910435, 11.1797009 48.8905052, 11.1806774 48.8897217)",,
155953354,,Kolpingstraße,residential,30,False,True,113.06200000000001,,"LINESTRING (11.1782865 48.8912552, 11.1782211 48.8912949, 11.1777895 48.8915756, 11.1773359 48.8918438, 11.1771202 48.8919135)",,
"[185991090, 27078901]",,Auf der Alm,residential,30,False,True,245.53799999999998,,"LINESTRING (11.1806774 48.8897217, 11.1797009 48.8905052, 11.1786509 48.8910435, 11.1783177 48.8912392, 11.1782865 48.8912552)",,
"[153030987, 137541261]",,Ostenstraße,unclassified,30,False,False,130.665,,"LINESTRING (11.1868692 48.890564, 11.1861966 48.8907851, 11.1857515 48.890908, 11.1856168 48.8909487, 11.185487 48.8909903, 11.1852505 48.8910611)",,7
"[157566389, 151659887]",,Ostenstraße,unclassified,30,False,True,85.744,,"LINESTRING (11.1868692 48.890564, 11.187153 48.890436, 11.1878817 48.8901766)",,
155953361,,Kardinal-Preysing-Platz,residential,30,False,True,34.092999999999996,,"LINESTRING (11.1868692 48.890564, 11.1869193 48.8906368, 11.1870649 48.8908423)",,
1255988174,,Luitpoldstraße,residential,30,False,False,5.183,,"LINESTRING (11.1856376 48.8930923, 11.1856549 48.8931375)",,
27396235,,Dominikanergasse,living_street,,False,False,84.605,,"LINESTRING (11.1856376 48.8930923, 11.185695 48.8930787, 11.1867172 48.8928183)",,
"[1255988174, 137536159]",,Luitpoldstraße,residential,30,False,True,75.74000000000001,,"LINESTRING (11.1856376 48.8930923, 11.1855962 48.8929022, 11.1856263 48.8927054, 11.1856739 48.8925813, 11.1857522 48.8924263)",,
27396235,,Dominikanergasse,living_street,,False,True,15.959,,"LINESTRING (11.1869327 48.8927954, 11.1867172 48.8928183)",,
27396235,,Dominikanergasse,living_street,,False,False,15.959,,"LINESTRING (11.1867172 48.8928183, 11.1869327 48.8927954)",,
27077592,,Am Salzstadel,living_street,,False,True,96.156,,"LINESTRING (11.1867172 48.8928183, 11.1866035 48.8926646, 11.1865222 48.8926175, 11.1864718 48.892577, 11.1863286 48.892411, 11.1860142 48.8924243, 11.1857522 48.8924263)",,
27396235,,Dominikanergasse,living_street,,False,True,84.605,,"LINESTRING (11.1867172 48.8928183, 11.185695 48.8930787, 11.1856376 48.8930923)",,
151936312,B 13,Ingolstädter Straße,primary,50,False,False,162.321,,"LINESTRING (11.1828177 48.8888813, 11.1824544 48.8891658, 11.1817182 48.8897971, 11.1814728 48.8900414)",,
27077581,,Rot-Kreuz-Gasse,residential,30,False,False,153.846,,"LINESTRING (11.1879487 48.8938293, 11.1880517 48.8940596, 11.1881171 48.8941726, 11.1882794 48.8943993, 11.1884498 48.894677, 11.1887904 48.8950932)",,
27077581,,Rot-Kreuz-Gasse,residential,30,False,True,48.492999999999995,,"LINESTRING (11.1879487 48.8938293, 11.1879334 48.893764, 11.1878532 48.893511, 11.1878148 48.8934023)",,
29104961,,,residential,,False,False,82.816,,"LINESTRING (11.1879487 48.8938293, 11.1875146 48.893952, 11.1871142 48.8940902, 11.1869204 48.89414)",,
27077581,,Rot-Kreuz-Gasse,residential,30,False,False,15.019,,"LINESTRING (11.1876579 48.8933169, 11.1877521 48.8933568, 11.1878148 48.8934023)",,
137536895,,Am Graben,residential,30,False,False,106.941,,"LINESTRING (11.1876579 48.8933169, 11.1875795 48.8934321, 11.1874556 48.893557, 11.1872657 48.8937371, 11.1870457 48.8939256, 11.1869204 48.89414)",,
"[137536157, 137536895]",,Am Graben,residential,30,False,True,78.791,,"LINESTRING (11.1876579 48.8933169, 11.1879001 48.8928673, 11.1879065 48.8928273, 11.1879066 48.8926359)",,
27077581,,Rot-Kreuz-Gasse,residential,30,False,False,48.493,,"LINESTRING (11.1878148 48.8934023, 11.1878532 48.893511, 11.1879334 48.893764, 11.1879487 48.8938293)",,
27077581,,Rot-Kreuz-Gasse,residential,30,False,True,15.019,,"LINESTRING (11.1878148 48.8934023, 11.1877521 48.8933568, 11.1876579 48.8933169)",,
"[496363561, 190814738, 142788796]",,"['Am Anger', 'Bahnhofplatz']",residential,30,False,False,122.039,,"LINESTRING (11.1804105 48.893348, 11.1804306 48.8933267, 11.1805051 48.8932209, 11.1805769 48.893063, 11.1805912 48.8930181, 11.1805965 48.8929525, 11.1805317 48.8928701, 11.1804785 48.8927874, 11.1804676 48.8927136, 11.1805022 48.8926399, 11.180599 48.8925547, 11.1808189 48.892364)",,
172586207,B 13,Ingolstädter Straße,primary,50,False,False,16.228,,"LINESTRING (11.1803919 48.8919132, 11.180295 48.8920445)",,
"[172586208, 151936312]",B 13,Ingolstädter Straße,primary,50,False,True,222.80100000000002,3,"LINESTRING (11.1803919 48.8919132, 11.180473 48.8918044, 11.1806064 48.8915756, 11.1812179 48.8904232, 11.1814728 48.8900414)",,
316267179,,Frauenberg,unclassified,30,False,True,32.004000000000005,,"LINESTRING (11.1803919 48.8919132, 11.180308 48.8918308, 11.1801189 48.8916889)",,
