osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,lanes
26603616,B 59,Kölner Straße,secondary,50,False,True,65.001,"LINESTRING (6.5063317 51.1005568, 6.5063966 51.1005258, 6.5064742 51.1004853, 6.506548 51.1004496, 6.5066346 51.1004106, 6.5070913 51.1002196)",,,
32922202,,In den Weiden,residential,30,False,True,274.60100000000006,"LINESTRING (6.5063317 51.1005568, 6.5070883 51.1009973, 6.5071876 51.1010521, 6.5072869 51.1011028, 6.5073818 51.101148, 6.5074814 51.1011936, 6.507618 51.1012554, 6.507753 51.1013141, 6.5079091 51.1013792, 6.5080635 51.1014412, 6.5083735 51.1015622, 6.5084485 51.1015904, 6.5085285 51.1016186, 6.50861 51.1016448, 6.5086867 51.101669, 6.508745 51.1016863, 6.5088105 51.1017037, 6.5088821 51.1017205, 6.5089706 51.1017404, 6.5091382 51.1017735, 6.5096102 51.1018604)",,,
99204299,B 59,Kölner Straße,secondary,50,False,False,72.914,"LINESTRING (6.5063317 51.1005568, 6.5062203 51.1006048, 6.5060311 51.1006867, 6.5058471 51.1007657, 6.5054697 51.1009269)",,,
8564962,B 59,Markt,secondary,50,True,False,7.5169999999999995,"LINESTRING (6.5037053 51.1007881, 6.5036946 51.1007726, 6.5036894 51.100756, 6.5036901 51.1007391, 6.5036965 51.1007227)",roundabout,,
99204295,B 59,Odenkirchener Straße,secondary,50,False,True,117.445,"LINESTRING (6.5037053 51.1007881, 6.5036245 51.1008547, 6.5029103 51.10152, 6.5027594 51.1016613)",,,
24258249,,Meisingstraße,residential,,False,False,43.43599999999999,"LINESTRING (6.4975575 51.1046338, 6.4977659 51.1045847, 6.4980491 51.1045169, 6.4981023 51.1045003, 6.4981344 51.1044887)",,,
24258250,,Fuchsberg,residential,,False,False,49.559,"LINESTRING (6.4975575 51.1046338, 6.4974139 51.1046711, 6.497335 51.1046962, 6.4972664 51.1047229, 6.4971736 51.1047663, 6.4970973 51.1048105, 6.4970681 51.1048318, 6.4970466 51.1048532, 6.497027 51.1048761, 6.4970124 51.104899)",,,
266621923,L 31,Hamscherstraße,secondary,50,False,True,93.03999999999999,"LINESTRING (6.4975575 51.1046338, 6.4975056 51.104573, 6.4974586 51.1045122, 6.4972259 51.1041931, 6.4971664 51.104107, 6.4971183 51.104033, 6.4970726 51.1039548, 6.4970248 51.1038677)",,,
24258138,,Fuchsberg,residential,,False,False,184.48399999999998,"LINESTRING (6.4970124 51.104899, 6.4976011 51.105356, 6.4978158 51.1055285, 6.4989001 51.1060414)",,,
24258250,,Fuchsberg,residential,,False,True,49.559,"LINESTRING (6.4970124 51.104899, 6.497027 51.1048761, 6.4970466 51.1048532, 6.4970681 51.1048318, 6.4970973 51.1048105, 6.4971736 51.1047663, 6.4972664 51.1047229, 6.497335 51.1046962, 6.4974139 51.1046711, 6.4975575 51.1046338)",,,
24258138,,Fuchsberg,residential,,False,False,38.044000000000004,"LINESTRING (6.4989001 51.1060414, 6.4989552 51.1060634, 6.4990143 51.1060838, 6.4991361 51.1061213, 6.4992644 51.1061579, 6.4993901 51.1061898)",,,
