osmid,name,highway,oneway,reversed,length,geometry,maxspeed,width
4911808,Kirchstraße,living_street,False,False,28.307,"LINESTRING (6.6646192 53.5892383, 6.6649908 53.5891112)",,
4911807,Hindenburgstraße,living_street,False,True,95.43499999999999,"LINESTRING (6.6646192 53.5892383, 6.6644812 53.5893804, 6.6644544 53.5894071, 6.6643084 53.5895527, 6.6640045 53.5898723, 6.6637915 53.5898811)",,
4911808,Kirchstraße,living_street,False,True,62.166999999999994,"LINESTRING (6.6646192 53.5892383, 6.6637818 53.5893289, 6.6636925 53.5893383)",,
24930256,Kaapdelle,living_street,False,True,78.91,"LINESTRING (6.6639026 53.5934252, 6.6647008 53.5934175, 6.6649948 53.5934327, 6.6650961 53.593441)",,
"[231338086, 231338087]",Kaapdelle,living_street,False,False,135.19099999999997,"LINESTRING (6.6639026 53.5934252, 6.6630704 53.5934325, 6.662554 53.5934428, 6.6622138 53.5935146, 6.6620191 53.5936098, 6.6619459 53.5936368)",,
"[277250702, 977021311]",Engel'se Pad,"['living_street', 'residential']",False,True,220.53799999999998,"LINESTRING (6.6639026 53.5934252, 6.6638092 53.5931521, 6.6632747 53.5918957, 6.6632571 53.591725, 6.6632476 53.5916323, 6.6632739 53.5914882)",30,
4913361,Alte Schulstraße,living_street,False,True,27.09,"LINESTRING (6.6653784 53.5872194, 6.6657887 53.5872134)",,2.5
39401415,Alte Schulstraße,living_street,False,False,110.47199999999998,"LINESTRING (6.6653784 53.5872194, 6.6653972 53.5873831, 6.6653869 53.5874829, 6.6652725 53.5875326, 6.6649322 53.587637, 6.6648685 53.587684, 6.6649378 53.5880392)",,6
"[39401416, 71333871]",Westerstraße,living_street,False,False,76.972,"LINESTRING (6.6653784 53.5872194, 6.665066 53.5872313, 6.6650553 53.587033, 6.6650857 53.5868263, 6.6651425 53.5867316)",,4
39401415,Alte Schulstraße,living_street,False,True,110.472,"LINESTRING (6.6649378 53.5880392, 6.6648685 53.587684, 6.6649322 53.587637, 6.6652725 53.5875326, 6.6653869 53.5874829, 6.6653972 53.5873831, 6.6653784 53.5872194)",,6
4911807,Hindenburgstraße,living_street,False,False,95.435,"LINESTRING (6.6637915 53.5898811, 6.6640045 53.5898723, 6.6643084 53.5895527, 6.6644544 53.5894071, 6.6644812 53.5893804, 6.6646192 53.5892383)",,
4913361,Alte Schulstraße,living_street,False,False,64.505,"LINESTRING (6.6667389 53.587099, 6.6664164 53.5871707, 6.6661896 53.5871967, 6.6657887 53.5872134)",,2.5
"[612158536, 121244693]",Neue Straße,living_street,True,False,141.802,"LINESTRING (6.6667389 53.587099, 6.6668665 53.5871833, 6.6669367 53.5872212, 6.6671297 53.5872398, 6.6672979 53.5872872, 6.6673829 53.5873245, 6.6674689 53.5874304, 6.6676685 53.5878514, 6.6677882 53.5881029)",,
"[4911808, 24898750]",Kirchstraße,living_street,False,False,217.93900000000002,"LINESTRING (6.6677356 53.5885001, 6.6689776 53.5884303, 6.669113 53.5884114, 6.6694041 53.5883402, 6.6695136 53.5883041, 6.6697037 53.5882294, 6.6698621 53.5881822, 6.6700171 53.5881414, 6.6703062 53.5880467, 6.6703126 53.5880171, 6.670302 53.5877874, 6.6702491 53.5877627, 6.6701896 53.5877464)",,
4911808,Kirchstraße,living_street,False,True,186.85999999999999,"LINESTRING (6.6677356 53.5885001, 6.6668429 53.5886213, 6.6661983 53.5887374, 6.6660613 53.588769, 6.6660049 53.5887796, 6.6659174 53.5887996, 6.665092 53.5890688)",,
"[4913385, 640531642]",Wilhelm-Bakker-Straße,living_street,False,True,53.559,"LINESTRING (6.6677356 53.5885001, 6.6675874 53.5881634, 6.6677882 53.5881029)",,
4913386,Riffstraße,living_street,False,False,60.741,"LINESTRING (6.6627321 53.591656, 6.6622697 53.5911837)",,
4913388,Oppermannspad,residential,False,True,40.333,"LINESTRING (6.6627321 53.591656, 6.6632739 53.5914882)",30,
"[1195984713, 638812166]",Oppermannspad,residential,False,False,100.16499999999999,"LINESTRING (6.6627321 53.591656, 6.6616027 53.5920298, 6.6614317 53.5920821, 6.6614018 53.592075)",30,5
137269159,Norderstraße,living_street,True,False,54.334,"LINESTRING (6.6649067 53.5885927, 6.665092 53.5890688)",,3
4913347,Willem-Schol-Pfad,living_street,True,False,90.248,"LINESTRING (6.6649067 53.5885927, 6.6643143 53.5886597, 6.6640391 53.5886813, 6.6635562 53.5887172)",,
518375501,Westerstraße,living_street,True,False,73.929,"LINESTRING (6.6661962 53.5865062, 6.6651425 53.5867316)",,4
612158537,Neue Straße,living_street,True,False,75.776,"LINESTRING (6.6661962 53.5865062, 6.6662728 53.5866753, 6.6664062 53.5868102, 6.6664905 53.5868799, 6.6666371 53.5870128, 6.6667389 53.587099)",,
4913353,Wilhelm-Bakker-Straße,living_street,False,True,164.27899999999997,"LINESTRING (6.6677882 53.5881029, 6.6681801 53.5880142, 6.6693367 53.5878152, 6.6697734 53.5877882, 6.6700265 53.5877802, 6.6701896 53.5877464)",,
"[4913385, 640531642]",Wilhelm-Bakker-Straße,living_street,False,False,53.559,"LINESTRING (6.6677882 53.5881029, 6.6675874 53.5881634, 6.6677356 53.5885001)",,
