osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge,tunnel
"[313579250, 25113077]","['2', '3']",Leutragraben,secondary,30,False,False,50.602,"LINESTRING (11.5839082 50.9301763, 11.5838917 50.9300956, 11.5838781 50.9300535, 11.5838342 50.9299691, 11.58372 50.9298045, 11.5836935 50.9297445)",,,,
"[167167868, 172441558]",3,Fürstengraben,primary,50,False,False,54.25,"LINESTRING (11.5839082 50.9301763, 11.5842415 50.9301651, 11.5843942 50.9301615, 11.5846816 50.9301567)",B 7,,,
"[32543515, 313579260]",2,Straße des 17. Juni,primary,50,False,"[False, True]",48.732,"LINESTRING (11.5839082 50.9301763, 11.5836354 50.9301951, 11.5833953 50.9302178, 11.5833417 50.9302248, 11.5832212 50.9302416)",B 7,,,
10213292,4,Am Anger,primary,50,False,False,11.677,"LINESTRING (11.5927789 50.9303592, 11.5926863 50.9304465)",B 88,,,
"[783868408, 26631345, 245671698]","['2', '1']",Wiesenstraße,primary,50,True,False,192.82600000000005,"LINESTRING (11.5927789 50.9303592, 11.5929966 50.930447, 11.5930599 50.9304741, 11.5934698 50.9306618, 11.5938215 50.9308308, 11.5941147 50.9309701, 11.5942636 50.9310417, 11.5944031 50.9311132, 11.5944831 50.9311635, 11.5945467 50.931214, 11.5945921 50.9312688, 11.5946252 50.9313282, 11.5946399 50.9313955, 11.5946414 50.9314551, 11.5946283 50.9315288)",B 7,,,
245671692,4,Am Anger,primary,50,False,True,47.542,"LINESTRING (11.5927789 50.9303592, 11.5929104 50.9302332, 11.5929337 50.9302078, 11.5930301 50.9300965, 11.5931162 50.9299888)",B 88,,,
35778737,2,Knebelstraße,secondary,50,False,False,82.419,"LINESTRING (11.5853057 50.9245297, 11.5850736 50.924419, 11.5849717 50.9243763, 11.5844323 50.9241744, 11.5843163 50.9241307)",,,,
"[35778737, 35778738, 1121932506]","['2', '3']",Knebelstraße,secondary,50,False,True,91.648,"LINESTRING (11.5853057 50.9245297, 11.585553 50.9246411, 11.5860264 50.9248125, 11.5862943 50.9249032, 11.5864311 50.9249472)",,,,
"[35778737, 26748956]",2,"['Knebelstraße', 'Vor dem Neutor']",secondary,50,False,True,41.462,"LINESTRING (11.5838141 50.9239347, 11.5838869 50.9239706, 11.5839574 50.9240008, 11.5840279 50.924027, 11.5843163 50.9241307)",,,,
"[254831107, 244318083, 1134219595, 1134219596, 39915632]",1,Erbertstraße,residential,50,True,False,133.657,"LINESTRING (11.5838141 50.9239347, 11.5837855 50.9239556, 11.5837695 50.9239673, 11.5837152 50.9239945, 11.5834356 50.9240855, 11.5828884 50.9242618, 11.582716 50.9243024, 11.5825147 50.9243422, 11.582474 50.9243489, 11.5823209 50.9243712, 11.5822754 50.9243778, 11.582243 50.9243826, 11.5821402 50.9243961, 11.5820808 50.9244044)",,6,,
