osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,bridge,junction,access,width,tunnel
9193174,False,Hospitalgasse,residential,20,True,40.953,"LINESTRING (9.796396 48.8026519, 9.7965119 48.8024541, 9.7965973 48.8023083)",,,,,,,
"[929921355, 115428238, 1120989877, 1090293302, 1120989879, 398645656, 345829978]",False,Remsstraße,secondary,50,False,239.41100000000003,"LINESTRING (9.796396 48.8026519, 9.7966897 48.8027333, 9.7971498 48.8028608, 9.7974105 48.802933, 9.7976513 48.8029997, 9.7978785 48.8030626, 9.798706 48.8032919, 9.7994092 48.8034867)","['2', '3']",L 1075,,,,,
"[929921352, 1120989883, 115428237]",False,Remsstraße,secondary,50,True,134.678,"LINESTRING (9.796396 48.8026519, 9.7958913 48.8025095, 9.7955348 48.8024133, 9.794701 48.8021823)",3,L 1075,,,,,
6245130,False,Fischergasse,residential,,False,38.93,"LINESTRING (9.794701 48.8021823, 9.794884 48.8018536)",,,,,,,
"[929921352, 1120989883, 115428237]",False,Remsstraße,secondary,50,False,134.678,"LINESTRING (9.794701 48.8021823, 9.7955348 48.8024133, 9.7958913 48.8025095, 9.796396 48.8026519)",3,L 1075,,,,,
"[1147760120, 929921353, 929921354, 102584963]",False,Remsstraße,secondary,50,False,237.59600000000003,"LINESTRING (9.794701 48.8021823, 9.7944008 48.8020991, 9.7940583 48.8020032, 9.7938283 48.8019388, 9.793225 48.8017695, 9.7929153 48.8016619, 9.7923226 48.8014206, 9.7920982 48.8013152, 9.7919773 48.8012454, 9.7918757 48.8011664)","['2', '3']",L 1075,,,,,
5787152,False,Untere Zeiselbergstraße,residential,30,False,35.022,"LINESTRING (9.8025349 48.7955511, 9.8025091 48.7955766, 9.802203 48.7957065, 9.8021463 48.7957306)",,,,,,,
5787152,False,Untere Zeiselbergstraße,residential,30,True,35.022,"LINESTRING (9.8021463 48.7957306, 9.802203 48.7957065, 9.8025091 48.7955766, 9.8025349 48.7955511)",,,,,,,
33048090,False,Untere Zeiselbergstraße,residential,30,False,108.923,"LINESTRING (9.8021463 48.7957306, 9.8020089 48.7957972, 9.8018059 48.7958956, 9.8016893 48.7959522, 9.8014015 48.7960916, 9.8009486 48.7963112)",,,,,,,
6937118,False,Obere Zeiselbergstraße,living_street,7,False,27.422,"LINESTRING (9.8009486 48.7963112, 9.8012614 48.7964467)",,,,,,,
