osmid,oneway,lanes,name,highway,reversed,length,ref,geometry,junction,bridge
22953448,True,1,Rue Général de Gaulle,primary,False,17.311,,"LINESTRING (6.0673036 49.3309817, 6.0671013 49.3310645)",,
181754003,False,2,Rue Général de Gaulle,primary,True,87.08,D 13,"LINESTRING (6.0673036 49.3309817, 6.0681157 49.3308409, 6.0684649 49.3307804)",,
22953442,True,1,Rue Général de Gaulle,primary,False,14.765,,"LINESTRING (6.0671013 49.3310645, 6.0670626 49.3310903, 6.0670101 49.3311019, 6.0669639 49.3310987, 6.066923 49.3310843)",roundabout,
23206953,True,,Rue Général de Gaulle,primary,False,18.859,D 952,"LINESTRING (6.066923 49.3310843, 6.0667954 49.3311032, 6.0666661 49.3311066)",,
1116987873,True,1,Rue Général de Gaulle,primary,False,9.006,,"LINESTRING (6.066923 49.3310843, 6.0668962 49.3310637, 6.0668818 49.3310384, 6.0668816 49.3310114)",roundabout,
22936780,True,,,secondary,False,17.072,D 952,"LINESTRING (6.0668955 49.3309861, 6.0668907 49.3308326)",,
516855030,True,1,Rue Général de Gaulle,primary,False,9.564,,"LINESTRING (6.0668955 49.3309861, 6.066924 49.3309642, 6.0669627 49.3309506, 6.0670063 49.330947)",roundabout,
22936773,True,1,Rue Général de Gaulle,primary,False,14.899,,"LINESTRING (6.067098 49.3309811, 6.0673036 49.3309817)",,
516855029,True,1,Rue Général de Gaulle,primary,False,9.761,,"LINESTRING (6.067098 49.3309811, 6.0671127 49.3310009, 6.0671183 49.3310225, 6.0671144 49.3310443, 6.0671013 49.3310645)",roundabout,
1116987874,False,,Rue du Maréchal Molitor,secondary,True,12.395,D 952,"LINESTRING (6.0668907 49.3308326, 6.066793 49.3307411)",,
22953445,True,,,secondary,False,15.54,D 952,"LINESTRING (6.0668907 49.3308326, 6.0669674 49.3308833, 6.0670063 49.330947)",,
516855026,True,,,secondary,False,10.31,,"LINESTRING (6.0656874 49.3293468, 6.0656713 49.3293315, 6.0656594 49.3293147, 6.065652 49.3292968, 6.0656495 49.3292783, 6.0656517 49.3292598)",roundabout,
22936781,True,,,secondary,False,23.032,,"LINESTRING (6.0657184 49.3291894, 6.065741 49.3291804, 6.0657655 49.3291738, 6.0657913 49.3291699, 6.0658177 49.3291686, 6.0658441 49.3291701, 6.0658698 49.3291742, 6.0658942 49.329181, 6.0659166 49.3291902, 6.0659365 49.3292015, 6.0659535 49.3292148, 6.065967 49.3292297, 6.0659767 49.3292457)",roundabout,
"[22936853, 22953486, 22953455]",True,2,Esplanade de la Liberté,secondary,False,65.554,D 952,"LINESTRING (6.0657184 49.3291894, 6.0658083 49.3291212, 6.0659613 49.3289557, 6.0660491 49.3288613, 6.0661044 49.3287602, 6.0661427 49.3286751)",,
22953450,True,1,,secondary,False,9.206,D 952,"LINESTRING (6.0658333 49.3295274, 6.0657558 49.3294618)",,
"[22953449, 176401412]",False,,Rue du Maréchal Molitor,secondary,False,151.85399999999998,D 952,"LINESTRING (6.0658333 49.3295274, 6.0663201 49.3301722, 6.0665386 49.3304414, 6.066793 49.3307411)",,yes
22936819,True,1,,secondary,False,16.267,D 952,"LINESTRING (6.0658631 49.3293824, 6.0658333 49.3295274)",,
516855024,True,,,secondary,False,14.099,,"LINESTRING (6.0658631 49.3293824, 6.0658359 49.3293859, 6.0658081 49.3293865, 6.0657805 49.3293841, 6.065754 49.3293787, 6.0657292 49.3293705, 6.0657068 49.3293598, 6.0656874 49.3293468)",roundabout,
22936846,True,,,secondary,False,11.174,,"LINESTRING (6.0661427 49.3286751, 6.0661207 49.3286448, 6.0661109 49.3286119, 6.0661138 49.3285785)",roundabout,
22936886,True,,,secondary,False,30.009,,"LINESTRING (6.0662782 49.3284703, 6.0664475 49.3284148, 6.0666481 49.328349)",,
1116987867,True,,,secondary,False,22.599000000000004,,"LINESTRING (6.0662782 49.3284703, 6.0663226 49.3284679, 6.0663668 49.3284718, 6.0664086 49.3284817, 6.0664463 49.3284972, 6.0664779 49.3285176, 6.0665021 49.328542, 6.0665178 49.3285692)",roundabout,
1116987866,True,,,secondary,False,7.590999999999999,,"LINESTRING (6.0665178 49.3285692, 6.0665244 49.3286031, 6.0665176 49.3286369)",roundabout,
23206989,True,2,Esplanade de la Liberté,secondary,False,66.405,D 952,"LINESTRING (6.0663855 49.3287301, 6.0663564 49.3288362, 6.0660861 49.3292014, 6.0659767 49.3292457)",,
516855023,True,,,secondary,False,20.059,,"LINESTRING (6.0663855 49.3287301, 6.0663405 49.3287368, 6.0662944 49.3287368, 6.0662494 49.3287302, 6.0662078 49.3287172, 6.0661716 49.3286985, 6.0661427 49.3286751)",roundabout,
23207006,True,,,secondary,False,26.928,,"LINESTRING (6.0666481 49.328349, 6.0665418 49.3284618, 6.0665309 49.3284734, 6.0665178 49.3285692)",,
23207044,False,,Rue de Wendel,secondary,False,148.814,D 952,"LINESTRING (6.0666481 49.328349, 6.067942 49.3278021, 6.068371 49.3276208)",,
217712403,True,,Rue de Wendel,secondary,False,28.682,D 952,"LINESTRING (6.068371 49.3276208, 6.0687012 49.3274786)",,
23207044,False,,Rue de Wendel,secondary,True,148.814,D 952,"LINESTRING (6.068371 49.3276208, 6.067942 49.3278021, 6.0666481 49.328349)",,
1180203390,True,2,,secondary,False,65.174,D 952,"LINESTRING (6.0705183 49.3275538, 6.070217 49.3275448, 6.0699852 49.3274994, 6.0696607 49.3274045)",,
162904639,True,,,secondary,False,17.182,,"LINESTRING (6.0696607 49.3274045, 6.0694822 49.3273028)",,
"[1180203387, 1180203389]",True,"['2', '1']",,secondary,False,68.643,D 952,"LINESTRING (6.0696607 49.3274045, 6.0693231 49.3273516, 6.0691769 49.3273732, 6.0687918 49.327525)",,
148295929,False,,Rue Général de Gaulle,unclassified,False,72.299,,"LINESTRING (6.0642575 49.3314017, 6.063912 49.3309617, 6.0637815 49.330831)",,
"[216215947, 216215949]",False,2,Rue Général de Gaulle,primary,True,178.892,D 952,"LINESTRING (6.0642575 49.3314017, 6.0646518 49.3313907, 6.0651122 49.3313709, 6.0654499 49.3313476, 6.0657909 49.3313008, 6.0663962 49.3311643, 6.0666661 49.3311066)",,
216215950,False,2,,primary,False,131.797,D 952,"LINESTRING (6.0642575 49.3314017, 6.0641315 49.3314507, 6.0640349 49.3315232, 6.0638212 49.3316198, 6.0633077 49.3317747, 6.0628872 49.3318601, 6.0626314 49.3318838)",,
176395442,False,2,Rue de la Marne,tertiary_link,False,454.777,,"LINESTRING (6.0626314 49.3318838, 6.0626081 49.3319227, 6.06258 49.331952, 6.0625284 49.3319745, 6.0624707 49.33199, 6.0623875 49.332004, 6.0620992 49.3320468, 6.0617888 49.3321213, 6.0605519 49.3324569, 6.0595337 49.3328228, 6.058495 49.3332406, 6.0583944 49.3332795, 6.0582707 49.333319, 6.0578821 49.3334189, 6.0574054 49.3335413, 6.0571834 49.333605, 6.0570285 49.3336529)",,
216215950,False,2,,primary,True,131.79700000000003,D 952,"LINESTRING (6.0626314 49.3318838, 6.0628872 49.3318601, 6.0633077 49.3317747, 6.0638212 49.3316198, 6.0640349 49.3315232, 6.0641315 49.3314507, 6.0642575 49.3314017)",,
"[216215944, 426103934, 426103935]",False,2,,primary,False,192.285,D 952,"LINESTRING (6.0626314 49.3318838, 6.0625438 49.3318829, 6.0624486 49.3318774, 6.0623835 49.3318711, 6.0622576 49.3318522, 6.0621803 49.3318344, 6.0621186 49.3318161, 6.0620301 49.3317863, 6.0619396 49.3317518, 6.0618443 49.3317029, 6.061786 49.3316631, 6.0617237 49.3316159, 6.0616586 49.3315578, 6.0615711 49.3314591, 6.0614353 49.3312685, 6.0611996 49.3309466, 6.0609418 49.3306946)",,yes
176407961,False,,,residential,True,221.35399999999998,,"LINESTRING (6.0609418 49.3306946, 6.061144 49.3306371, 6.0612803 49.3307747, 6.061467 49.3309373, 6.0616227 49.3310759, 6.0617592 49.3311366, 6.0619801 49.3310846, 6.0623451 49.3309499, 6.0624592 49.3309082, 6.0626415 49.3308417, 6.0627657 49.3307616, 6.0630721 49.3306177, 6.0632992 49.3304942)",,
216215944,False,,,primary,False,111.56,D 952,"LINESTRING (6.0609418 49.3306946, 6.060562 49.3305798, 6.0601295 49.3305912, 6.0594871 49.3307517)",,
"[216215944, 426103934, 426103935]",False,2,,primary,True,192.28499999999997,D 952,"LINESTRING (6.0609418 49.3306946, 6.0611996 49.3309466, 6.0614353 49.3312685, 6.0615711 49.3314591, 6.0616586 49.3315578, 6.0617237 49.3316159, 6.061786 49.3316631, 6.0618443 49.3317029, 6.0619396 49.3317518, 6.0620301 49.3317863, 6.0621186 49.3318161, 6.0621803 49.3318344, 6.0622576 49.3318522, 6.0623835 49.3318711, 6.0624486 49.3318774, 6.0625438 49.3318829, 6.0626314 49.3318838)",,yes
99408598,False,2,Rue Maréchal Foch,primary,True,133.833,D 57,"LINESTRING (6.0585117 49.3305699, 6.0591956 49.3302183, 6.0593323 49.3301581, 6.0597905 49.3299707, 6.0600382 49.329901)",,
