osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge,junction,lanes,access
24434536,Gottfried-Schneider-Straße,residential,30,False,False,52.211,,"LINESTRING (9.9301153 48.7938183, 9.9302966 48.7942724)",,,,
1108333668,Gmünder Straße,secondary,50,False,False,124.13900000000001,L 1161,"LINESTRING (9.9301153 48.7938183, 9.9307097 48.7935314, 9.931486 48.7931618)",,,,
23066855,Poststraße,tertiary,,False,True,49.189,K 3281,"LINESTRING (9.9349387 48.7925437, 9.9347805 48.7925548, 9.9346367 48.7925634, 9.9344547 48.792572, 9.9343751 48.7925744, 9.9342694 48.7925783)",,,,
23139383,Bahnhofstraße,residential,30,False,False,225.37800000000001,,"LINESTRING (9.9349387 48.7925437, 9.9350062 48.7926628, 9.935324 48.7928882, 9.9358347 48.793264, 9.9361888 48.7935344, 9.9368878 48.7941016)",,,,
23887307,Poststraße,tertiary,,False,False,55.909000000000006,K 3281,"LINESTRING (9.9349387 48.7925437, 9.9351095 48.7925228, 9.935268 48.7924824, 9.9356437 48.7923594)",,,,
23139382,Lauterner Straße,tertiary,,False,False,205.52800000000002,K 3281,"LINESTRING (9.9365169 48.7920571, 9.9367314 48.7921699, 9.9374518 48.7929514, 9.9375094 48.793017, 9.9380625 48.7935881)",,,,
23887307,Poststraße,tertiary,,False,True,72.816,K 3281,"LINESTRING (9.9365169 48.7920571, 9.9363224 48.792088, 9.9356437 48.7923594)",,,,
23887308,Helmut-Hörmann-Straße,residential,30,False,False,207.862,,"LINESTRING (9.9365169 48.7920571, 9.9359618 48.791275, 9.9354819 48.79032)",,,,
"[1097455344, 164738596]",Mögglinger Straße,secondary,50,False,True,208.117,L 1161,"LINESTRING (9.934291 48.7929371, 9.934521 48.7931403, 9.9351696 48.793942, 9.9355786 48.7944341, 9.935636 48.7945032, 9.9356736 48.7945484, 9.935687 48.7945645)",,,,
640579016,Böbinger Straße,residential,50,False,False,76.036,,"LINESTRING (9.934291 48.7929371, 9.9341246 48.7930012, 9.9340367 48.7930564, 9.9339638 48.7931481, 9.933877 48.7933026, 9.9337735 48.7934997)",,,,
