osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,width
8082149,Ludwig-Thoma-Straße,residential,30,False,False,117.846,"LINESTRING (11.5337156 48.0503738, 11.5337861 48.0503227, 11.5338279 48.0503045, 11.5344009 48.0500557, 11.5350327 48.0497877)",,,
340009045,Ebertstraße,residential,30,False,True,160.086,"LINESTRING (11.5337156 48.0503738, 11.5336325 48.050434, 11.5335835 48.0504542, 11.533218 48.0506005, 11.5331908 48.0506158, 11.5331129 48.0506466, 11.5326773 48.0508254, 11.5325833 48.0508621, 11.5325191 48.0508867, 11.53197 48.0511205, 11.5319037 48.051146)",,,
"[340009056, 474150091]",Südliche Münchner Straße,secondary,50,False,False,259.66499999999996,"LINESTRING (11.5337156 48.0503738, 11.5336067 48.0502583, 11.5333241 48.0499588, 11.5331378 48.0497601, 11.5327978 48.0494024, 11.5325873 48.0491716, 11.5325199 48.0491044, 11.5324702 48.0490525, 11.5321395 48.0487163, 11.5320089 48.0485864, 11.5319732 48.0485508, 11.5318241 48.048411)",St 2072,2,
"[26393912, 474150092]",Südliche Münchner Straße,secondary,50,False,True,149.462,"LINESTRING (11.5337156 48.0503738, 11.5338179 48.0505003, 11.5338394 48.0505238, 11.5340081 48.0507086, 11.5341221 48.0508361, 11.5342536 48.0509695, 11.5343606 48.051078, 11.534389 48.0511067, 11.5344454 48.0511639, 11.5344832 48.0512022, 11.5347872 48.0515105)",St 2072,"['2', '3']",10
5104777,Reitzensteinstraße,residential,30,False,True,51.178,"LINESTRING (11.5296912 48.0465067, 11.5296095 48.0465435, 11.5295797 48.0465565, 11.5293618 48.0466517, 11.5291193 48.0467629)",,,
30283895,Lena-Christ-Straße,residential,30,False,True,73.598,"LINESTRING (11.5296912 48.0465067, 11.5297783 48.0464675, 11.5298093 48.0464539, 11.5300512 48.0463475, 11.5305181 48.0461427)",,,
340009056,Südliche Münchner Straße,secondary,50,False,False,240.147,"LINESTRING (11.5296912 48.0465067, 11.5289509 48.0457189, 11.5288185 48.0455781, 11.5287904 48.0455471, 11.52828 48.0449838, 11.5282539 48.0449528, 11.52809 48.0447582, 11.5280087 48.0446634)",St 2072,2,
340009056,Südliche Münchner Straße,secondary,50,False,True,264.987,"LINESTRING (11.5296912 48.0465067, 11.5298489 48.0466678, 11.5301236 48.0469475, 11.5302967 48.047125, 11.5303709 48.0472011, 11.5305386 48.0473731, 11.5307373 48.0475468, 11.5307831 48.0475852, 11.5309246 48.047704, 11.5311064 48.0478461, 11.5311504 48.0478794, 11.5312577 48.0479605, 11.5313194 48.0480072, 11.5316806 48.0482896, 11.5318241 48.048411)",St 2072,2,
368361594,Perlacher Straße,residential,30,False,False,108.38999999999999,"LINESTRING (11.5331374 48.0452943, 11.5334223 48.0455092, 11.5337419 48.0457035, 11.5342092 48.0459514)",,2,
343081020,Perlacher Straße,residential,50,False,True,169.95600000000002,"LINESTRING (11.5361324 48.0467778, 11.5352594 48.0463952, 11.5342092 48.0459514)",,2,
