osmid,name,highway,maxspeed,oneway,reversed,length,width,geometry,lanes,ref,access,bridge
29432355,Kamenzer Straße,residential,50,False,False,50.576,,"LINESTRING (14.2410465 51.3842671, 14.2417202 51.3844406)",,,,
"[1268151329, 1268151330, 29432340, 1268151335]",August-Bebel-Straße,residential,,False,False,132.383,6.9,"LINESTRING (14.2410465 51.3842671, 14.2410167 51.3843241, 14.2409212 51.3845024, 14.2409001 51.3846504, 14.2408683 51.3848737, 14.2408733 51.3850253, 14.2408759 51.3851041, 14.2408823 51.3852968, 14.2408871 51.3854434)",,,,
173161046,Haschkestraße,residential,,False,True,78.13799999999999,,"LINESTRING (14.2410465 51.3842671, 14.2411124 51.3841522, 14.2415211 51.3837575, 14.2416405 51.3836756)",,,,
"[179003909, 1268151388, 1268151389]",Kamenzer Straße,residential,50,False,True,274.446,5.5,"LINESTRING (14.2410465 51.3842671, 14.2398291 51.383985, 14.2396588 51.3839455, 14.2391497 51.3838248, 14.2390093 51.3837915, 14.2388903 51.3837633, 14.2383542 51.3836501, 14.2377662 51.3835415, 14.237303 51.3834811)",,,,
179006629,Markt,tertiary,,False,True,9.965,,"LINESTRING (14.243607 51.3852654, 14.2436814 51.3852656, 14.2437506 51.3852658)",,,,
371781250,Hoyerswerdaer Straße,tertiary,50,False,True,131.167,,"LINESTRING (14.243607 51.3852654, 14.2435842 51.3853308, 14.24348 51.3855672, 14.2434583 51.3858299, 14.2435436 51.386432)",,,,
"[29432355, 485904259]","['Markt', 'Kamenzer Straße']",residential,50,False,True,160.916,,"LINESTRING (14.243607 51.3852654, 14.2435667 51.3852156, 14.2434629 51.385169, 14.2432173 51.3850589, 14.2426697 51.3848006, 14.2420199 51.3845333, 14.2417202 51.3844406)",2,,,
26429533,Hornigweg,residential,30,False,False,163.394,5.5,"LINESTRING (14.2416405 51.3836756, 14.2415874 51.3836212, 14.2415785 51.3835308, 14.242719 51.3824249)",,,,
173161046,Haschkestraße,residential,,False,False,78.138,,"LINESTRING (14.2416405 51.3836756, 14.2415211 51.3837575, 14.2411124 51.3841522, 14.2410465 51.3842671)",,,,
173161046,Haschkestraße,residential,,False,True,183.774,,"LINESTRING (14.2416405 51.3836756, 14.2417384 51.3836475, 14.2426519 51.383521, 14.2428547 51.3835122, 14.2432878 51.3834934, 14.2442527 51.3834516)",,,,
