osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width
"[1238002168, 1238002169, 31719650]",4,Wilhelmstraße,secondary,50,False,False,142.173,"LINESTRING (8.2450497 50.0793544, 8.2450354 50.0794695, 8.2449848 50.0798402, 8.2449358 50.0802692, 8.2449062 50.0805066, 8.2449027 50.0805348, 8.2449005 50.0805528, 8.244891 50.0806289)",,
492291780,5,Wilhelmstraße,secondary,50,False,True,60.995999999999995,"LINESTRING (8.2450497 50.0793544, 8.2450612 50.0792622, 8.2450647 50.0792338, 8.2451269 50.0788081)",,
"[145343152, 804700334]",3,Bierstadter Straße,secondary,50,False,False,59.388,"LINESTRING (8.2450497 50.0793544, 8.2452213 50.0793629, 8.245591 50.0793828, 8.2456676 50.0793878, 8.2457411 50.0793947, 8.2457946 50.0794027, 8.245874 50.0794181)",,
"[492291778, 492291779, 31719651, 1238328358, 1255397799]",3,Luisenstraße,residential,,False,False,203.74400000000003,"LINESTRING (8.2450497 50.0793544, 8.2448956 50.0793466, 8.2448389 50.0793437, 8.2442634 50.0793145, 8.2437862 50.0792928, 8.2432751 50.0792699, 8.242431 50.0792248, 8.2422027 50.0792154)",,
1210799886,2,Rheinstraße,secondary,50,True,False,10.408000000000001,"LINESTRING (8.2451464 50.0779076, 8.2452246 50.0779155, 8.2452887 50.0779273)",L 3037,
206825152,1,Bahnhofstraße,tertiary,,True,False,26.542,"LINESTRING (8.2424946 50.0777765, 8.2424433 50.0778554, 8.2423572 50.0779983)",,
"[1256599473, 357474894]",3,Rheinstraße,secondary,50,True,False,57.706,"LINESTRING (8.2424946 50.0777765, 8.2426293 50.0777834, 8.2433007 50.0778178)",L 3037,
"[145343152, 804700334]",3,Bierstadter Straße,secondary,50,False,True,59.388,"LINESTRING (8.245874 50.0794181, 8.2457946 50.0794027, 8.2457411 50.0793947, 8.2456676 50.0793878, 8.245591 50.0793828, 8.2452213 50.0793629, 8.2450497 50.0793544)",,
145343167,,Kleine Wilhelmstraße,residential,,True,False,114.852,"LINESTRING (8.245874 50.0794181, 8.2458674 50.0794811, 8.2457763 50.0803484, 8.2457838 50.0803738, 8.2457907 50.0803972, 8.2458292 50.0804416)",,
"[492417861, 804700333]",3,Bierstadter Straße,secondary,50,False,False,91.09,"LINESTRING (8.245874 50.0794181, 8.2460006 50.0794515, 8.2461269 50.0794912, 8.2462091 50.079523, 8.246334 50.0795767, 8.2464446 50.0796393, 8.2465519 50.0797204, 8.2467119 50.0798329, 8.2468556 50.0799241)",,
