osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,tunnel,bridge,junction,width,access
"[38998248, 429093487]",Gysnauweg,residential,False,False,159.081,"LINESTRING (7.625841 47.0603622, 7.6258902 47.0603656, 7.6259599 47.0603705, 7.6260219 47.0603786, 7.6261393 47.0604103, 7.6262349 47.060432, 7.6263295 47.0604415, 7.626431 47.0604404, 7.6265835 47.0604356, 7.6266817 47.0604176, 7.6267739 47.0603938, 7.6268666 47.0603648, 7.6269319 47.0603444, 7.6272888 47.0601767, 7.6275665 47.0600492, 7.6277182 47.0599625)",,,,,,,,
156316643,Gotthelfstrasse,primary,False,False,45.327,"LINESTRING (7.625841 47.0603622, 7.6258322 47.0602997, 7.6258107 47.0602412, 7.6257663 47.0601808, 7.6256808 47.0600727, 7.6256128 47.0600362, 7.6255722 47.0600144)",2,23,50,,,,,
"[42257516, 435669402, 429093484]","['Kirchbergstrasse', 'Gotthelfstrasse']",primary,False,True,152.877,"LINESTRING (7.625841 47.0603622, 7.6258372 47.0604251, 7.6258267 47.0604863, 7.6257937 47.0606059, 7.62577 47.060684, 7.6257454 47.0607525, 7.6257066 47.060807, 7.6256707 47.0608538, 7.6256275 47.0608985, 7.625581 47.0609407, 7.6255301 47.0609799, 7.625475 47.0610176, 7.6254185 47.0610525, 7.6253585 47.0610858, 7.6252976 47.0611164, 7.6252344 47.0611459, 7.6251688 47.0611735, 7.6251004 47.0611985, 7.6250062 47.0612259, 7.6249115 47.0612485, 7.6247721 47.0612798, 7.6246253 47.0612953)",2,23,50,yes,,,,
"[328246760, 272078603]",Metzgergasse,"['residential', 'living_street']",False,True,60.805,"LINESTRING (7.6281258 47.0578831, 7.6281032 47.057832, 7.6280648 47.0577453, 7.6279792 47.0576569, 7.6277049 47.0575214, 7.6276134 47.0574992)",,,20,,,,,
275810484,Gotthelfstrasse,primary,False,False,37.762,"LINESTRING (7.6281258 47.0578831, 7.628227 47.0578731, 7.6283272 47.0578768, 7.6284895 47.0578967, 7.6285694 47.0579097, 7.6286169 47.0579174)",2,23,50,,,,,
"[1191279328, 326428966]",Gotthelfstrasse,primary,False,True,88.066,"LINESTRING (7.6281258 47.0578831, 7.6280636 47.0578969, 7.6279744 47.0579261, 7.6279302 47.0579444, 7.6275994 47.0581515, 7.6275731 47.0581681, 7.6274275 47.05826, 7.6272347 47.0583817)",2,23,50,,,,,
"[174673133, 625043711]",Kirchbergstrasse,primary,False,False,129.097,"LINESTRING (7.6229411 47.0614512, 7.623141 47.0614054, 7.6232936 47.0613888, 7.623491 47.0613707, 7.6237078 47.0613563, 7.6238431 47.0613473, 7.6239395 47.0613409, 7.6241673 47.0613257, 7.6246253 47.0612953)",2,23,50,,,,,
"[268608314, 268605427, 27136284, 34929461]","['Hohengasse', 'Staldenstrasse']",residential,False,True,154.37,"LINESTRING (7.6254341 47.0572144, 7.6255232 47.0572161, 7.6256565 47.0571913, 7.6258279 47.0571546, 7.6260434 47.057046, 7.6261325 47.0570068, 7.6264254 47.0568781, 7.6264707 47.0568542, 7.6265936 47.0568111, 7.6267742 47.0567095, 7.6268453 47.0566471, 7.6270454 47.0564412)",,,,,yes,,,
"[27136248, 328246761, 275810486]","['Staldenstrasse', 'Metzgergasse']","['residential', 'living_street']",False,False,182.25700000000003,"LINESTRING (7.6254341 47.0572144, 7.6253217 47.0571591, 7.6252905 47.0571051, 7.6252884 47.0570368, 7.6253291 47.0569715, 7.6254042 47.0569064, 7.625522 47.0568721, 7.6259509 47.0568848, 7.6260676 47.0569079, 7.6261516 47.0569416, 7.6263515 47.0570476, 7.6265251 47.0571487, 7.6267272 47.0572427, 7.6269857 47.0573285, 7.6270448 47.0573481)",,,20,,,,,
328246776,Technikumstrasse,living_street,False,True,447.16,"LINESTRING (7.6254341 47.0572144, 7.6249855 47.0571895, 7.6247312 47.0571669, 7.6246891 47.0571636, 7.6245312 47.0571544, 7.6243743 47.0571694, 7.6242891 47.0571889, 7.6240802 47.0572287, 7.6226324 47.0575412, 7.6225385 47.057569, 7.6221811 47.0576468, 7.6214851 47.0577985, 7.6210477 47.0578823, 7.6208905 47.0579167, 7.6204846 47.0580123, 7.6198817 47.0581271, 7.6197585 47.0581512)",,,20,,,,,
