osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,tunnel,geometry,width,junction
"[10679937, 23946137, 36876699, 23979316]",True,2,B 27,"['Schlossstraße', 'Stuttgarter Straße']",primary,40,False,545.192,yes,"LINESTRING (9.1938395 48.8986226, 9.1938862 48.8984647, 9.1939103 48.8982966, 9.1939591 48.8973234, 9.1939804 48.8968603, 9.1940174 48.8961654, 9.1940598 48.8953696, 9.1941175 48.8940272, 9.1940997 48.8937257)",,
147741978,True,2,,Schlossstraße,secondary,40,False,74.91,,"LINESTRING (9.1938395 48.8986226, 9.1937897 48.8984562, 9.1938005 48.898314, 9.1938231 48.8979526)",,
10806825,False,,,Alleenstraße,residential,30,False,12.66,,"LINESTRING (9.1941176 48.8932254, 9.1942905 48.8932191)",,
"[38273609, 301827458]",True,"['4', '3']",B 27,Stuttgarter Straße,primary,40,False,144.65300000000002,,"LINESTRING (9.1941176 48.8932254, 9.1941227 48.8930984, 9.194134 48.8927739, 9.194159 48.892118, 9.194174 48.8919251)",,
"[23979315, 10679940, 23946134, 23946135]",True,2,B 27,"['Schlossstraße', 'Stuttgarter Straße']",primary,40,False,537.3399999999999,yes,"LINESTRING (9.1942603 48.8937199, 9.1942364 48.8940257, 9.1941661 48.895375, 9.1941236 48.8961565, 9.1940853 48.8968596, 9.1940684 48.8973211, 9.1940279 48.8982034, 9.1940129 48.8985495)",,
"[457758551, 10679943]",True,"['2', '3']",,Stuttgarter Straße,secondary,40,False,199.339,,"LINESTRING (9.1942603 48.8937199, 9.1943263 48.8940242, 9.1943262 48.8945526, 9.1943048 48.8950336, 9.1942699 48.8954145, 9.1942627 48.8955085)",,
10806825,False,,,Alleenstraße,residential,30,True,12.66,,"LINESTRING (9.1942905 48.8932191, 9.1941176 48.8932254)",,
387924310,True,3,B 27,Stuttgarter Straße,primary,40,False,55.742000000000004,,"LINESTRING (9.1942905 48.8932191, 9.1942868 48.8932914, 9.1942743 48.8936001, 9.1942603 48.8937199)",,
"[668095140, 350196964, 20466100, 279156151]",False,,,Mathildenstraße,residential,30,False,263.736,,"LINESTRING (9.1904224 48.8941513, 9.1913554 48.8941582, 9.1914659 48.8941591, 9.191675 48.8941605, 9.1920568 48.8941638, 9.192223 48.8941625, 9.1922951 48.8941628, 9.1929243 48.8941731, 9.1930109 48.8941734, 9.1934323 48.8941779, 9.1939393 48.8941814, 9.1940296 48.894182)","['7.8', '7.3']",
147712246,False,,,Mathildenstraße,residential,,True,145.703,,"LINESTRING (9.1904224 48.8941513, 9.1902746 48.8941515, 9.1899051 48.8941491, 9.1885129 48.8941365, 9.1884847 48.8941362, 9.1884295 48.8941363)",7,
