osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,width
1166128943,2,Kurt-Schumacher-Straße,tertiary,50,False,False,8.214,"LINESTRING (9.7320296 52.3767596, 9.7321506 52.3767586)",,
"[660484012, 4837398]",,Goseriede,tertiary,50,True,False,96.657,"LINESTRING (9.7320296 52.3767596, 9.7320299 52.3766174, 9.7320185 52.3765351, 9.7320113 52.3764962, 9.7320016 52.3764026, 9.7319787 52.3763053, 9.7319313 52.3761977, 9.7318714 52.3760878, 9.7318529 52.3760529, 9.7318256 52.3760053, 9.7317659 52.3759134)",,
1166128943,2,Kurt-Schumacher-Straße,tertiary,50,False,True,8.214,"LINESTRING (9.7321506 52.3767586, 9.7320296 52.3767596)",,
427875857,1,Goseriede,tertiary,50,True,False,15.658999999999999,"LINESTRING (9.7321506 52.3767586, 9.732076 52.3768411, 9.7320307 52.3768786)",,
1166143994,3,Kurt-Schumacher-Straße,tertiary,50,False,False,28.653000000000002,"LINESTRING (9.7321506 52.3767586, 9.7324224 52.37675, 9.7324768 52.3767485, 9.7325722 52.3767459)",,
771147156,3,Prinzenstraße,secondary,50,True,False,54.649,"LINESTRING (9.7440009 52.3715866, 9.743943 52.3710964)",,
"[610452965, 1198620721, 7996724, 7996725, 31308118, 7996727, 31308117]",2,Fernroder Straße,tertiary,50,False,False,256.23699999999997,"LINESTRING (9.7418902 52.3756688, 9.7418951 52.3756929, 9.7419105 52.3757163, 9.7419459 52.3757503, 9.7420309 52.3758101, 9.7423897 52.3760677, 9.7431353 52.3766606, 9.7435452 52.3770151, 9.7435812 52.3770483, 9.7436174 52.3770816, 9.7437362 52.3771903, 9.7440153 52.3774483, 9.7441028 52.3775284)","['yes', 'building_passage']",
24036994,2,Joachimstraße,tertiary,50,False,False,169.872,"LINESTRING (9.7418902 52.3756688, 9.7418998 52.3756311, 9.7419346 52.3755974, 9.7419983 52.3755535, 9.7429415 52.3750956, 9.7437815 52.3746875)",,
8095903,,Augustenstraße,residential,30,False,False,46.838,"LINESTRING (9.7441028 52.3775284, 9.7442284 52.3774456, 9.7443265 52.3773573, 9.7444876 52.377205, 9.7445036 52.3771871)",,
"[957198883, 28963459, 691626345]","['2', '3']",Fernroder Straße,tertiary,50,False,False,167.13,"LINESTRING (9.7441028 52.3775284, 9.7441546 52.3775741, 9.7445852 52.3779539, 9.7446584 52.3780185, 9.7448812 52.378215, 9.744925 52.3782537, 9.7450213 52.3783387, 9.7453767 52.3786523, 9.7454327 52.3786998, 9.7454986 52.3787664)",,
"[610452965, 1198620721, 7996724, 7996725, 31308117, 31308118, 7996727]",2,Fernroder Straße,tertiary,50,False,True,256.23699999999997,"LINESTRING (9.7441028 52.3775284, 9.7440153 52.3774483, 9.7437362 52.3771903, 9.7436174 52.3770816, 9.7435812 52.3770483, 9.7435452 52.3770151, 9.7431353 52.3766606, 9.7423897 52.3760677, 9.7420309 52.3758101, 9.7419459 52.3757503, 9.7419105 52.3757163, 9.7418951 52.3756929, 9.7418902 52.3756688)","['yes', 'building_passage']",
"[1210695841, 487923934, 48766063]",2,Rundestraße,unclassified,50,False,True,189.54399999999998,"LINESTRING (9.7441028 52.3775284, 9.7439872 52.3775888, 9.7437013 52.3777196, 9.7433001 52.37791, 9.7431122 52.3779953, 9.7431043 52.3780005, 9.7429061 52.378096, 9.7428643 52.3781161, 9.7428295 52.3781309, 9.7427174 52.378182, 9.7424999 52.3782851, 9.7421578 52.3784551, 9.7420401 52.3785071, 9.7420015 52.3785242, 9.7418898 52.3785665)",,
8151204,2,Schiffgraben,secondary,50,True,False,64.319,"LINESTRING (9.7445364 52.3720637, 9.7443448 52.3718976, 9.7441911 52.3717543, 9.7440009 52.3715866)",,
36874866,2,Schiffgraben,secondary,50,False,True,59.51100000000001,"LINESTRING (9.7445364 52.3720637, 9.7446721 52.3722039, 9.7447129 52.3722472, 9.7448917 52.3723857, 9.7450588 52.3724902)",,
1155845706,2,Schiffgraben,secondary,50,False,False,54.167,"LINESTRING (9.7456282 52.3728311, 9.7452782 52.3726323, 9.7450588 52.3724902)",,
"[5058912, 23917677]",2,"['Georgstraße', 'Goethestraße']",residential,30,False,True,115.40100000000001,"LINESTRING (9.7317121 52.3754342, 9.7317853 52.3754128, 9.7318068 52.375407, 9.731847 52.375401, 9.7318812 52.3753981, 9.7322294 52.3753887, 9.7324379 52.3754363, 9.732628 52.375499, 9.7327401 52.3755534, 9.7328531 52.3756255, 9.7329364 52.3756485, 9.7330087 52.3756448, 9.7332544 52.37559)",,
"[31783552, 1041998426, 136809771, 1174272356]",2,"['Goseriede', 'Münzstraße']",tertiary,50,True,False,132.534,"LINESTRING (9.7317121 52.3754342, 9.7318823 52.3756618, 9.7319533 52.3757698, 9.7319745 52.375802, 9.732017 52.3758639, 9.7320647 52.3759487, 9.7321106 52.3760255, 9.7321592 52.3761404, 9.7322041 52.3762714, 9.732232 52.3763919, 9.7322501 52.3764844, 9.7322541 52.3765224, 9.7322582 52.376569)",,
42985204,1,Kurt-Schumacher-Straße,tertiary,20,True,False,92.323,"LINESTRING (9.736791 52.3768595, 9.7369843 52.3768241, 9.7376743 52.3768828, 9.7381304 52.3769262)",,
