osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,tunnel,width,junction
28264139,True,Kleinträgerstraße,living_street,False,88.641,"LINESTRING (12.7253702 54.3672639, 12.7240045 54.3672146)",,,,,
8084612,True,Lange Straße,living_street,False,171.212,"LINESTRING (12.7253702 54.3672639, 12.7253927 54.3667533, 12.7254093 54.3663961, 12.7254336 54.3657246)",,,,,
8084612,True,Lange Straße,living_street,False,151.115,"LINESTRING (12.7252404 54.3687845, 12.7253608 54.3674273)",,,,,
24655936,False,Markt,living_street,True,73.776,"LINESTRING (12.7252404 54.3687845, 12.72529 54.3688509, 12.7256854 54.3688568, 12.7263044 54.3688619)",,,,,
28264075,False,Reifergang,tertiary,True,112.965,"LINESTRING (12.7285251 54.3661441, 12.7290115 54.3671197)",2,50,,,
253197113,False,August-Bebel-Straße,residential,False,47.652,"LINESTRING (12.7285251 54.3661441, 12.7291551 54.3659229)",,,,,
"[314267736, 24654428, 314267735]",False,Reifergang,tertiary,True,228.288,"LINESTRING (12.7285251 54.3661441, 12.7281361 54.3658672, 12.7279558 54.3657507, 12.7278553 54.3656841, 12.7277494 54.3656173, 12.7273529 54.3653958, 12.7273267 54.3653826, 12.7266367 54.3650336, 12.7265143 54.3649717, 12.7260931 54.3647518, 12.726026 54.3647034)","['2', '3']",50,,,
"[1119844186, 24654431]",False,Stadtwall,residential,"[False, True]",143.17699999999996,"LINESTRING (12.7284229 54.3661633, 12.7280476 54.3662687, 12.7279497 54.3663004, 12.7280816 54.3664356, 12.7282859 54.3666916, 12.7283599 54.3668115, 12.7285217 54.3670735, 12.7286059 54.3672003)",,,,,
24654434,False,Teergang,residential,False,73.60300000000001,"LINESTRING (12.7317753 54.3652737, 12.7319891 54.3654429, 12.7320045 54.3654566, 12.7321122 54.3655529, 12.7323711 54.3657675, 12.732425 54.3658165)",,30,,,
"[28264088, 1119874008]",False,,residential,False,108.60499999999999,"LINESTRING (12.7317753 54.3652737, 12.7318569 54.3652389, 12.731877 54.3652303, 12.7319024 54.3652195, 12.7324591 54.3649822, 12.7327024 54.3648796, 12.7328131 54.3648329, 12.7329658 54.3647685, 12.7331308 54.364699)",,30,,,
253197113,False,August-Bebel-Straße,residential,True,157.816,"LINESTRING (12.7317753 54.3652737, 12.7316903 54.3652718, 12.7309291 54.3653439, 12.7306643 54.3653831, 12.7301066 54.3655842, 12.7295534 54.3657838)",,,,,
24654436,False,Goethestraße,residential,False,83.451,"LINESTRING (12.7329644 54.367487, 12.732816 54.3675068, 12.7317088 54.3676548)",,30,,,
267295051,False,Teergang,residential,True,132.08,"LINESTRING (12.7329644 54.367487, 12.7329153 54.36756, 12.7329176 54.3675723, 12.7329602 54.3677969, 12.7330955 54.3685095, 12.7331139 54.3686066, 12.733115 54.3686123, 12.7331162 54.3686186, 12.7331245 54.3686627)",,30,,,
24654436,False,Goethestraße,residential,False,14.595,"LINESTRING (12.7306202 54.3677963, 12.7304011 54.3678269)",,30,,,
24654436,False,Goethestraße,residential,True,72.254,"LINESTRING (12.7306202 54.3677963, 12.7317088 54.3676548)",,30,,,
24654437,False,Trebin,residential,True,70.748,"LINESTRING (12.7310337 54.3687953, 12.7321235 54.3687536)",2,50,,,
"[24654437, 369372310]",False,Trebin,residential,False,73.14099999999999,"LINESTRING (12.7310337 54.3687953, 12.7304701 54.3688279, 12.7299179 54.368891)","['2', '3']",50,,,
31529941,True,Burgstraße,residential,False,114.268,"LINESTRING (12.7310337 54.3687953, 12.7310075 54.3687321, 12.7306202 54.3677963)",,30,,,
"[314267734, 24654438]",False,Platz der Freiheit,tertiary,False,40.974000000000004,"LINESTRING (12.7299179 54.368891, 12.729886 54.3689883, 12.7298318 54.3690764, 12.7297104 54.3692374)",3,50,,,
"[24654437, 369372310]",False,Trebin,residential,True,73.14099999999999,"LINESTRING (12.7299179 54.368891, 12.7304701 54.3688279, 12.7310337 54.3687953)","['2', '3']",50,,,
1050786697,False,Reifergang,tertiary,False,109.50999999999999,"LINESTRING (12.7299179 54.368891, 12.7298828 54.3688142, 12.7298373 54.3687047, 12.7295836 54.3682291, 12.7294335 54.3679477)",2,50,,,
24655932,False,Hafenstraße,tertiary,False,80.247,"LINESTRING (12.7280467 54.3702658, 12.7276498 54.3703422, 12.7268394 54.3704182)",2,50,,,
24655932,False,Hafenstraße,tertiary,True,129.897,"LINESTRING (12.7280467 54.3702658, 12.7284243 54.370114, 12.7285497 54.3700581, 12.7288481 54.3699101, 12.7289812 54.3698312, 12.7291307 54.3697262, 12.7293593 54.3695593, 12.7294865 54.3694648)",2,50,,,
28244073,False,Am Osthafen,living_street,False,168.791,"LINESTRING (12.7280467 54.3702658, 12.7280833 54.3703169, 12.7281122 54.3703585, 12.7282538 54.3705523, 12.7283306 54.3706598, 12.7286277 54.3705856, 12.7300495 54.3702275)",,,,,
8084612,True,Lange Straße,living_street,False,18.179,"LINESTRING (12.7253608 54.3674273, 12.7253702 54.3672639)",,,,,
24655941,False,Gartenstraße,living_street,False,47.564,"LINESTRING (12.7267501 54.3700515, 12.7261595 54.3700676, 12.7260167 54.3700628)",,,,,
"[28264152, 1113073817, 212679331, 30319173]",True,"['Mauerstraße', 'Hunnenstraße']",living_street,False,224.55599999999998,"LINESTRING (12.7267501 54.3700515, 12.727311 54.369952, 12.727703 54.3698416, 12.7277049 54.3694136, 12.7276787 54.3691411, 12.7276815 54.3690999, 12.7276876 54.3689647, 12.7276913 54.3688672, 12.7277103 54.368418)",,,,,
"[517438345, 24655938]",True,"['Markt', 'Fischerstraße']",living_street,False,137.254,"LINESTRING (12.7267501 54.3700515, 12.7264718 54.3692329, 12.7263944 54.3691792, 12.726397 54.3690571, 12.7263762 54.3689298, 12.7263044 54.3688619)",,,,,
26441916,True,Fischerstraße,residential,False,41.183,"LINESTRING (12.7268394 54.3704182, 12.7267501 54.3700515)",,,,,
24655932,False,Hafenstraße,tertiary,False,81.52,"LINESTRING (12.7268394 54.3704182, 12.7267124 54.3704277, 12.7261342 54.3704357, 12.7255827 54.3704208)",2,50,,,
24655932,False,Hafenstraße,tertiary,True,80.247,"LINESTRING (12.7268394 54.3704182, 12.7276498 54.3703422, 12.7280467 54.3702658)",2,50,,,
"[31556928, 28244069]",False,"['Am Westhafen', 'Fischerstraße']",living_street,False,174.83700000000002,"LINESTRING (12.7268394 54.3704182, 12.7269165 54.3706463, 12.7269768 54.3708802, 12.7269943 54.3709994, 12.7269981 54.3710249, 12.7266363 54.371096, 12.7262616 54.3711623, 12.7259877 54.3712189, 12.72568 54.3712786, 12.7255966 54.3712141, 12.7255258 54.3711593)",,,,,
24655932,False,Hafenstraße,tertiary,True,81.52,"LINESTRING (12.7255827 54.3704208, 12.7261342 54.3704357, 12.7267124 54.3704277, 12.7268394 54.3704182)",2,50,,,
26441923,False,Hafenstraße,tertiary,False,80.273,"LINESTRING (12.7255827 54.3704208, 12.7250322 54.3703806, 12.7243531 54.3703309)",2,50,,,
1078037630,False,Am Westhafen,living_street,True,82.20899999999999,"LINESTRING (12.7255827 54.3704208, 12.7255562 54.3706869, 12.7255552 54.3706974, 12.7255388 54.370906, 12.7255272 54.3710739, 12.7255258 54.3711593)",,,,,
29985380,False,Arndtstraße,residential,False,82.865,"LINESTRING (12.7212936 54.3649037, 12.7213043 54.3649133, 12.721458 54.3650505, 12.7216509 54.3652227, 12.7216958 54.3652674, 12.7219251 54.3654956, 12.7219668 54.3655371)",,30,,,
"[29985384, 759439593, 30089687]",False,"['Holzreiterwall', 'Spaldingstraße', 'Fritz-Worm-Straße']",residential,False,278.163,"LINESTRING (12.7212936 54.3649037, 12.721595 54.3648546, 12.7217604 54.3648277, 12.721841 54.3648145, 12.7218528 54.3648126, 12.7218699 54.3648098, 12.7218764 54.3648087, 12.7218907 54.3648064, 12.7219264 54.3648006, 12.7220213 54.3647852, 12.7222222 54.3647524, 12.7222697 54.3647447, 12.7223241 54.3647358, 12.7224515 54.3647151, 12.7226592 54.3646813, 12.7226971 54.3646751, 12.7228021 54.3646571, 12.7228762 54.3646459, 12.7230005 54.3646265, 12.7230279 54.3646212, 12.7230383 54.3646367, 12.7231013 54.3647309, 12.7231432 54.3647914, 12.7231572 54.3648116, 12.7231957 54.3648765, 12.7231992 54.3648819, 12.7232096 54.3648977, 12.7232202 54.3649139, 12.7232547 54.3649671, 12.7233258 54.3650756, 12.7233446 54.3651282, 12.723325 54.365162, 12.723243 54.3651904, 12.7230172 54.3652428, 12.7229753 54.3652555, 12.7228896 54.3652763, 12.7228273 54.3652915, 12.722787 54.3653013, 12.7227073 54.3653243, 12.7219668 54.3655371)",,50,,,
"[31556928, 28244069]",False,"['Am Westhafen', 'Fischerstraße']",living_street,True,174.83700000000002,"LINESTRING (12.7255258 54.3711593, 12.7255966 54.3712141, 12.72568 54.3712786, 12.7259877 54.3712189, 12.7262616 54.3711623, 12.7266363 54.371096, 12.7269981 54.3710249, 12.7269943 54.3709994, 12.7269768 54.3708802, 12.7269165 54.3706463, 12.7268394 54.3704182)",,,,,
31556927,False,Am Westhafen,living_street,False,36.676,"LINESTRING (12.7255258 54.3711593, 12.7254335 54.371137, 12.7249712 54.3711016)",,,,,
1078037630,False,Am Westhafen,living_street,False,82.20899999999999,"LINESTRING (12.7255258 54.3711593, 12.7255272 54.3710739, 12.7255388 54.370906, 12.7255552 54.3706974, 12.7255562 54.3706869, 12.7255827 54.3704208)",,,,,
"[26441930, 236874282]",False,Werftstraße,tertiary,False,136.46800000000002,"LINESTRING (12.7216665 54.3697083, 12.7214692 54.3697099, 12.721118 54.3697179, 12.721054 54.3697187, 12.7207391 54.3697263, 12.7198453 54.3697523, 12.719766 54.3697485, 12.7196521 54.3697235, 12.7195856 54.369695)",2,50,,,
28264588,True,Trienseestraße,residential,False,107.479,"LINESTRING (12.7216665 54.3697083, 12.7215988 54.3695605, 12.7215434 54.3695244, 12.7213069 54.3693701, 12.720784 54.3689022)",,30,,,
172517392,False,Hafenstraße,tertiary,False,32.893,"LINESTRING (12.7216665 54.3697083, 12.7219324 54.3697367, 12.7221505 54.3697914)",2,50,,,
28264588,True,Trienseestraße,residential,False,45.679,"LINESTRING (12.720784 54.3689022, 12.7207302 54.3684926)",,30,,,
31557454,False,Gertrudenstraße,residential,False,84.145,"LINESTRING (12.720784 54.3689022, 12.7195051 54.3690347)",,,,,
332682156,False,Barthestraße,residential,False,9.586,"LINESTRING (12.7212334 54.3685267, 12.7213793 54.3685411)",,,,,
30319172,False,Barthestraße,residential,True,32.842,"LINESTRING (12.7212334 54.3685267, 12.7208999 54.3684986, 12.7207302 54.3684926)",,50,,,
"[31557455, 682509871]",True,Eichgraben,residential,False,159.337,"LINESTRING (12.7212334 54.3685267, 12.721204 54.368757, 12.7213301 54.3689607, 12.7215397 54.3691329, 12.7218206 54.3693636, 12.7218306 54.3693718, 12.7219882 54.3694891, 12.7221275 54.3695929, 12.7221623 54.3696933, 12.7221505 54.3697914)",,30,,,
28264529,False,Dorfstellenstraße,tertiary,False,74.249,"LINESTRING (12.7195856 54.369695, 12.7195528 54.3696609, 12.7195258 54.3696088, 12.7195051 54.3690347)",2,50,,,
"[26441930, 236874282]",False,Werftstraße,tertiary,True,136.468,"LINESTRING (12.7195856 54.369695, 12.7196521 54.3697235, 12.719766 54.3697485, 12.7198453 54.3697523, 12.7207391 54.3697263, 12.721054 54.3697187, 12.721118 54.3697179, 12.7214692 54.3697099, 12.7216665 54.3697083)",2,50,,,
332682156,False,Barthestraße,residential,True,9.586,"LINESTRING (12.7213793 54.3685411, 12.7212334 54.3685267)",,,,,
