osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,access
4707997,2,An der Marktkirche,residential,30,False,True,88.51100000000001,"LINESTRING (10.3349711 51.8041616, 10.3347803 51.8039668, 10.3347644 51.8039506, 10.3345357 51.8037021, 10.33438 51.8035329, 10.3343648 51.8035164, 10.334325 51.8034732)",,,
4750431,,Graupenstraße,residential,30,False,False,59.067,"LINESTRING (10.3349711 51.8041616, 10.3350467 51.8042395, 10.3351927 51.8043752, 10.335441 51.8046062)",,,
"[110525571, 485183879]",2,Schulstraße,residential,"['50', '30']",False,False,99.406,"LINESTRING (10.3349711 51.8041616, 10.3356594 51.8038911, 10.3360403 51.8037033, 10.3360761 51.8036855, 10.3361544 51.80365)",,,
"[61882890, 540657380]",3,Osteröder Straße,tertiary,50,False,True,41.041,"LINESTRING (10.333107 51.8038496, 10.3330004 51.8037435, 10.3329596 51.8037029, 10.3329206 51.8036684, 10.3327717 51.8035446)",,,
"[4707996, 61882893, 61882894]","['2', '3']",An der Marktkirche,primary,50,False,False,93.88999999999999,"LINESTRING (10.333107 51.8038496, 10.3333137 51.8038061, 10.3333602 51.8037924, 10.3334775 51.803758, 10.3337547 51.8036722, 10.3340325 51.8035881, 10.3340909 51.8035652, 10.3342248 51.8035126, 10.334325 51.8034732)",B 242,,
"[192150416, 504858915]",2,An der Marktkirche,tertiary,50,False,True,65.90299999999999,"LINESTRING (10.333107 51.8038496, 10.3332371 51.8039391, 10.333262 51.8039716, 10.3333313 51.8040887, 10.3333672 51.8041494, 10.3334481 51.8042861, 10.333483 51.804345, 10.3335027 51.8043818)",,,
589823200,1,Silberstraße,primary,50,True,False,42.15299999999999,"LINESTRING (10.333107 51.8038496, 10.3329299 51.8039056, 10.3326577 51.8039528, 10.3325276 51.8039412)",B 242,,
"[4779722, 552563862, 4744061, 590256566]",2,"['Zellbach', 'Kronenplatz']",tertiary,"['50', '30']",False,"[False, True]",147.059,"LINESTRING (10.3357038 51.8065989, 10.336041 51.8069282, 10.3360833 51.8069695, 10.3361372 51.8070221, 10.3362846 51.807166, 10.3363337 51.8072096, 10.3364137 51.807282, 10.3366704 51.8075144, 10.3368398 51.8077181)",,,
"[54257986, 190948318]",2,Erzstraße,tertiary,"['50', '30']",False,True,68.377,"LINESTRING (10.3357038 51.8065989, 10.3357785 51.8065856, 10.3358462 51.8065684, 10.3359143 51.8065437, 10.3362952 51.80634, 10.3364926 51.8062344)",,6.5,
"[436737304, 436737296, 590873475, 436737301]",2,Adolph-Roemer-Straße,residential,10,False,False,200.248,"LINESTRING (10.3357038 51.8065989, 10.3355701 51.8064532, 10.3353592 51.8062232, 10.335159 51.8060373, 10.3350247 51.8059125, 10.3348239 51.805726, 10.3347331 51.8056615, 10.3346122 51.8055709, 10.3342657 51.805224, 10.3341947 51.8051129, 10.3341653 51.8050756)",,,
"[27005971, 504413876]",2,Windmühlenstraße,tertiary,30,False,True,41.6,"LINESTRING (10.3357038 51.8065989, 10.3356043 51.8066147, 10.335552 51.8066255, 10.3354866 51.8066451, 10.3354522 51.8066587, 10.3353849 51.8066882, 10.3353254 51.8067244, 10.3352592 51.8067683, 10.3352192 51.8068043)",,,
9028825,1,Sorge,residential,30,True,False,127.531,"LINESTRING (10.3299639 51.8045359, 10.3300283 51.8046619, 10.3302486 51.8047787, 10.3311136 51.8052211, 10.3313001 51.8053026)",,,
"[589823197, 192150422]","['2', '3']",Silberstraße,primary,50,False,"[False, True]",190.695,"LINESTRING (10.3299639 51.8045359, 10.3301119 51.8045457, 10.3302553 51.8045424, 10.3303853 51.8045301, 10.3305633 51.8044918, 10.331841 51.8040971, 10.3321576 51.8040102, 10.3325276 51.8039412)",B 242,,
"[504856482, 504856483]",2,Sorge,primary,50,False,False,24.253999999999998,"LINESTRING (10.3299639 51.8045359, 10.3298067 51.8045055, 10.3296318 51.8044628)",B 242,,
"[436992145, 4775723, 504847300, 4776791]",2,"[""L'Aigler Platz"", 'Windmühlenstraße']",residential,30,False,"[False, True]",220.89100000000002,"LINESTRING (10.3352192 51.8068043, 10.3350795 51.8069781, 10.3349736 51.8070884, 10.334862 51.8071914, 10.3347563 51.8072774, 10.3347107 51.8073142, 10.3346798 51.8073371, 10.3344316 51.8075184, 10.3343173 51.80763, 10.3342898 51.8077099, 10.3342945 51.8077859, 10.3343267 51.8078573, 10.3344579 51.8080481, 10.3346575 51.8083219, 10.3347068 51.8084218, 10.3347312 51.8085634)",,,
"[27005971, 504413876]",2,Windmühlenstraße,tertiary,30,False,False,41.6,"LINESTRING (10.3352192 51.8068043, 10.3352592 51.8067683, 10.3353254 51.8067244, 10.3353849 51.8066882, 10.3354522 51.8066587, 10.3354866 51.8066451, 10.335552 51.8066255, 10.3356043 51.8066147, 10.3357038 51.8065989)",,,
173274129,2,Sorge,tertiary,30,False,False,79.49199999999999,"LINESTRING (10.3352192 51.8068043, 10.3349345 51.8067199, 10.3346982 51.8066617, 10.3341502 51.8065332)",,,
127496051,,Graupenstraße,residential,30,True,False,70.094,"LINESTRING (10.335441 51.8046062, 10.3362725 51.8042415)",,,
4750431,,Graupenstraße,residential,30,False,True,59.06700000000001,"LINESTRING (10.335441 51.8046062, 10.3351927 51.8043752, 10.3350467 51.8042395, 10.3349711 51.8041616)",,,
"[114926153, 457325583]",,Graupenstraße,residential,"['30', '10']",False,False,102.077,"LINESTRING (10.335441 51.8046062, 10.3351491 51.8047192, 10.3349751 51.804782, 10.3349174 51.804803, 10.3348731 51.8048189, 10.3347881 51.8048495, 10.3347326 51.8048698, 10.334499 51.8049552, 10.3342197 51.8050565, 10.3341653 51.8050756)",,,
172777277,,Graupenstraße,residential,50,False,True,35.19,"LINESTRING (10.335441 51.8046062, 10.3357004 51.8048312, 10.3357543 51.8048536)",,,
4750437,1,,residential,50,False,False,101.798,"LINESTRING (10.3383364 51.8053474, 10.3384843 51.8051439, 10.3385089 51.8051026, 10.3385245 51.8050765, 10.3385483 51.8050359, 10.3388718 51.8044943)",,,destination
54253383,2,Erzstraße,tertiary,50,False,True,212.51099999999997,"LINESTRING (10.3383364 51.8053474, 10.3395442 51.8052707, 10.340942 51.8051578, 10.341038 51.8051513, 10.3412097 51.8051394, 10.3414061 51.8051258)",,,
540676590,2,Erzstraße,tertiary,50,False,False,9.318,"LINESTRING (10.3383364 51.8053474, 10.3382571 51.8053728, 10.3382161 51.805386)",,,
4750437,1,,residential,50,False,True,101.798,"LINESTRING (10.3388718 51.8044943, 10.3385483 51.8050359, 10.3385245 51.8050765, 10.3385089 51.8051026, 10.3384843 51.8051439, 10.3383364 51.8053474)",,,destination
"[294649502, 524145605, 524145606]",2,Burgstätter Straße,tertiary,50,False,False,159.926,"LINESTRING (10.3388718 51.8044943, 10.3388466 51.8044889, 10.3385447 51.8044318, 10.3374329 51.8042213, 10.3372365 51.8041917, 10.3371345 51.8041763, 10.3370413 51.8041622, 10.3369106 51.8041431, 10.3366502 51.8040739)",,,
"[4708001, 524145606]",2,Burgstätter Straße,tertiary,50,False,True,192.01400000000004,"LINESTRING (10.3388718 51.8044943, 10.3389046 51.8045007, 10.3394731 51.8046185, 10.3397326 51.8046722, 10.3402417 51.804776, 10.3404234 51.804813, 10.3412547 51.8049804, 10.3413254 51.8050246, 10.3413772 51.8050815, 10.3414061 51.8051258)",,,
"[436737294, 436737295]",2,Adolph-Roemer-Straße,residential,10,False,False,89.73899999999999,"LINESTRING (10.3341653 51.8050756, 10.334007 51.8049249, 10.3339671 51.8048877, 10.3338572 51.8047786, 10.3336716 51.8045993, 10.3335501 51.8044415, 10.3335027 51.8043818)",,,
"[436737296, 436737304, 590873475, 436737301]",2,Adolph-Roemer-Straße,residential,10,False,True,200.24800000000002,"LINESTRING (10.3341653 51.8050756, 10.3341947 51.8051129, 10.3342657 51.805224, 10.3346122 51.8055709, 10.3347331 51.8056615, 10.3348239 51.805726, 10.3350247 51.8059125, 10.335159 51.8060373, 10.3353592 51.8062232, 10.3355701 51.8064532, 10.3357038 51.8065989)",,,
"[114926153, 457325583]",,Graupenstraße,residential,"['30', '10']",False,True,102.07699999999998,"LINESTRING (10.3341653 51.8050756, 10.3342197 51.8050565, 10.334499 51.8049552, 10.3347326 51.8048698, 10.3347881 51.8048495, 10.3348731 51.8048189, 10.3349174 51.804803, 10.3349751 51.804782, 10.3351491 51.8047192, 10.335441 51.8046062)",,,
"[524145606, 524145605, 294649502]",2,Burgstätter Straße,tertiary,50,False,True,159.926,"LINESTRING (10.3366502 51.8040739, 10.3369106 51.8041431, 10.3370413 51.8041622, 10.3371345 51.8041763, 10.3372365 51.8041917, 10.3374329 51.8042213, 10.3385447 51.8044318, 10.3388466 51.8044889, 10.3388718 51.8044943)",,,
"[294649503, 484928943]",,Graupenstraße,residential,30,False,True,31.965,"LINESTRING (10.3366502 51.8040739, 10.3365818 51.8041035, 10.3364864 51.8041453, 10.3362725 51.8042415)",,,
"[484928944, 989383297, 172465426]",2,Burgstätter Straße,tertiary,50,False,False,58.373000000000005,"LINESTRING (10.3366502 51.8040739, 10.3365436 51.8039525, 10.3364442 51.8038658, 10.3362294 51.8037025, 10.3361544 51.80365)",,,
"[485183881, 172332917]",2,Schulstraße,residential,"['50', '30']",False,False,73.836,"LINESTRING (10.3361544 51.80365, 10.3362167 51.8036143, 10.3362629 51.8035885, 10.3369362 51.8031948)",,,
"[485183880, 485183878]",2,Burgstätter Straße,tertiary,50,False,False,92.845,"LINESTRING (10.3361544 51.80365, 10.3360818 51.8035885, 10.3353346 51.8030288, 10.3352998 51.8030037)",,,
"[110525571, 485183879]",2,Schulstraße,residential,"['50', '30']",False,True,99.406,"LINESTRING (10.3361544 51.80365, 10.3360761 51.8036855, 10.3360403 51.8037033, 10.3356594 51.8038911, 10.3349711 51.8041616)",,,
"[484928944, 989383297, 172465426]",2,Burgstätter Straße,tertiary,50,False,True,58.373000000000005,"LINESTRING (10.3361544 51.80365, 10.3362294 51.8037025, 10.3364442 51.8038658, 10.3365436 51.8039525, 10.3366502 51.8040739)",,,
"[4707996, 61882893, 61882894]","['2', '3']",An der Marktkirche,primary,50,False,True,93.89,"LINESTRING (10.334325 51.8034732, 10.3342248 51.8035126, 10.3340909 51.8035652, 10.3340325 51.8035881, 10.3337547 51.8036722, 10.3334775 51.803758, 10.3333602 51.8037924, 10.3333137 51.8038061, 10.333107 51.8038496)",B 242,,
4707997,2,An der Marktkirche,residential,30,False,False,88.511,"LINESTRING (10.334325 51.8034732, 10.3343648 51.8035164, 10.33438 51.8035329, 10.3345357 51.8037021, 10.3347644 51.8039506, 10.3347803 51.8039668, 10.3349711 51.8041616)",,,
109381255,2,Rollstraße,primary,50,False,True,85.0,"LINESTRING (10.334325 51.8034732, 10.334636 51.8033373, 10.3349041 51.803202, 10.3352998 51.8030037)",B 242,,
109381255,2,Rollstraße,primary,50,False,False,13.471,"LINESTRING (10.3354419 51.8029203, 10.3352998 51.8030037)",B 242,,
376650866,2,Rollstraße,primary,50,False,True,56.42,"LINESTRING (10.3354419 51.8029203, 10.3360372 51.8025711)",B 242,,
172777277,,Graupenstraße,residential,50,False,False,35.19,"LINESTRING (10.3357543 51.8048536, 10.3357004 51.8048312, 10.335441 51.8046062)",,,
"[4779722, 590256566, 4744061, 552563862]",2,"['Zellbach', 'Kronenplatz']",tertiary,"['50', '30']",False,"[False, True]",147.059,"LINESTRING (10.3368398 51.8077181, 10.3366704 51.8075144, 10.3364137 51.807282, 10.3363337 51.8072096, 10.3362846 51.807166, 10.3361372 51.8070221, 10.3360833 51.8069695, 10.336041 51.8069282, 10.3357038 51.8065989)",,,
482240567,2,Zellbach,tertiary,50,False,False,88.024,"LINESTRING (10.3368398 51.8077181, 10.3368679 51.8077972, 10.3370018 51.8082169, 10.3370817 51.8084954)",,,
592746043,2,Am Klepperberg,residential,30,True,False,10.687999999999999,"LINESTRING (10.3368398 51.8077181, 10.3369336 51.8077443, 10.3369681 51.8077688)",,,
4779948,1,Zellbach,living_street,,False,True,313.3,"LINESTRING (10.3370817 51.8084954, 10.3369935 51.8085986, 10.3370381 51.808741, 10.3371317 51.8090761, 10.3372689 51.809656, 10.3374693 51.8104356, 10.3375172 51.8106766, 10.3375234 51.8107295, 10.3375104 51.8108787, 10.3375838 51.8112711)",,,
482240567,2,Zellbach,tertiary,50,False,True,88.024,"LINESTRING (10.3370817 51.8084954, 10.3370018 51.8082169, 10.3368679 51.8077972, 10.3368398 51.8077181)",,,
"[28743519, 499546295]",2,Zellbach,tertiary,50,False,False,245.36599999999999,"LINESTRING (10.3370817 51.8084954, 10.337139 51.8086974, 10.3371986 51.8088962, 10.3372582 51.809126, 10.3373353 51.8094411, 10.3374473 51.8099178, 10.3376173 51.8106768)",,,
"[504858913, 4756668]",2,Baderstraße,residential,30,False,True,120.316,"LINESTRING (10.3313001 51.8053026, 10.3320571 51.8048351, 10.3322104 51.8047638, 10.3323792 51.8046873, 10.3326266 51.8046077)",,,
4744066,2,Am Klepperberg,residential,30,False,True,79.773,"LINESTRING (10.3399303 51.8094369, 10.339013 51.8090668, 10.3389611 51.8090426)",,,
"[4775678, 480439310]",2,Am Galgensberg,residential,50,False,False,43.527,"LINESTRING (10.3399303 51.8094369, 10.3401144 51.8094835, 10.3404373 51.8095288, 10.3405395 51.8095371)",,,
"[590381410, 590381407]",1,Bauhofstraße,primary,50,True,False,40.315,"LINESTRING (10.3399303 51.8094369, 10.3399117 51.8095534, 10.3398972 51.8096027, 10.3398916 51.8096479, 10.3398876 51.8097167, 10.33986 51.8097961)",B 241,,
54257992,2,Am Klepperberg,residential,30,False,False,55.048,"LINESTRING (10.3383313 51.8087369, 10.3389611 51.8090426)",,,
"[4744065, 592746044]",2,Am Klepperberg,residential,30,False,True,143.338,"LINESTRING (10.3383313 51.8087369, 10.3381111 51.8086254, 10.3377821 51.8084216, 10.3374781 51.8082045, 10.3373132 51.8080726, 10.3370108 51.8078087, 10.3369681 51.8077688)",,,
480050735,2,Paul-Ernst-Straße,residential,30,False,True,17.005000000000003,"LINESTRING (10.3383313 51.8087369, 10.3383774 51.8086913, 10.3384631 51.8086075)",,,
480200207,2,Berliner Straße,residential,50,False,False,9.508,"LINESTRING (10.3377211 51.8112608, 10.3375838 51.8112711)",,,
"[548624749, 28743519]",2,Zellbach,tertiary,50,False,True,65.33,"LINESTRING (10.3377211 51.8112608, 10.3376404 51.8107953, 10.3376173 51.8106768)",,,
480200207,2,Berliner Straße,residential,50,False,True,34.033,"LINESTRING (10.3371147 51.8113689, 10.3375838 51.8112711)",,,
"[590864345, 4748847, 480200207]",2,Berliner Straße,residential,50,False,False,384.06199999999995,"LINESTRING (10.3371147 51.8113689, 10.3367945 51.8114451, 10.3361631 51.8115954, 10.3361111 51.811606, 10.3358623 51.8116673, 10.3356383 51.8117192, 10.3354188 51.8117663, 10.3352403 51.8117932, 10.3348292 51.8118229, 10.3345142 51.8118152, 10.3343469 51.811807, 10.3341346 51.811791, 10.3339464 51.81176, 10.3338086 51.8117377, 10.3335196 51.8116728, 10.3334451 51.8116441, 10.3333173 51.8115949, 10.3332503 51.8115458, 10.3331591 51.8114791, 10.3330715 51.8113758, 10.3329876 51.8112278, 10.3328225 51.8109094, 10.3327053 51.8106944)",,,
172166907,,Hüttenweg,residential,30,False,True,252.041,"LINESTRING (10.3327053 51.8106944, 10.3328315 51.8106777, 10.3332857 51.8107359, 10.3339316 51.8108156, 10.3341939 51.8108274, 10.3345587 51.8108439, 10.3349418 51.8108306, 10.3350683 51.8108262, 10.3351531 51.8108233, 10.3356645 51.8107251, 10.3358912 51.8106757, 10.3362823 51.8105905)",,,
590864345,2,Berliner Straße,residential,50,False,False,110.20899999999999,"LINESTRING (10.3327053 51.8106944, 10.332511 51.8103466, 10.3324726 51.8102779, 10.3322527 51.8098393, 10.332209 51.8097521)",,,
"[590864345, 480200207, 4748847]",2,Berliner Straße,residential,50,False,True,384.062,"LINESTRING (10.3327053 51.8106944, 10.3328225 51.8109094, 10.3329876 51.8112278, 10.3330715 51.8113758, 10.3331591 51.8114791, 10.3332503 51.8115458, 10.3333173 51.8115949, 10.3334451 51.8116441, 10.3335196 51.8116728, 10.3338086 51.8117377, 10.3339464 51.81176, 10.3341346 51.811791, 10.3343469 51.811807, 10.3345142 51.8118152, 10.3348292 51.8118229, 10.3352403 51.8117932, 10.3354188 51.8117663, 10.3356383 51.8117192, 10.3358623 51.8116673, 10.3361111 51.811606, 10.3361631 51.8115954, 10.3367945 51.8114451, 10.3371147 51.8113689)",,,
480050735,2,Paul-Ernst-Straße,residential,30,False,False,17.005000000000003,"LINESTRING (10.3384631 51.8086075, 10.3383774 51.8086913, 10.3383313 51.8087369)",,,
8044563,,Paul-Ernst-Straße,residential,30,False,True,56.352999999999994,"LINESTRING (10.3384432 51.8066307, 10.3385168 51.8067217, 10.3385508 51.8067455, 10.3386134 51.8067893, 10.3387683 51.8068779, 10.3388768 51.8069292, 10.3389716 51.8070101)",,,
"[594760523, 620006259]",,Paul-Ernst-Straße,residential,"['50', '30']",False,False,139.715,"LINESTRING (10.3384432 51.8066307, 10.3383762 51.8064564, 10.3382881 51.8061034, 10.3382703 51.8058664, 10.3382481 51.8055716, 10.3382447 51.8054575, 10.3382161 51.805386)",,,
