osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref,width
192308813,Markt,residential,20,roundabout,True,False,28.407,"LINESTRING (13.0618027 53.3633714, 13.0617479 53.3633321, 13.0617033 53.3632885, 13.0616698 53.3632415, 13.0616481 53.3631921, 13.0616386 53.3631413)",,,
"[512056376, 509937001, 509937002]",Zierker Straße,residential,"['20', '50']",,False,True,118.87100000000001,"LINESTRING (13.0618027 53.3633714, 13.0616161 53.3634807, 13.0615795 53.3635025, 13.061555 53.3635171, 13.0613034 53.3636642, 13.0605397 53.3641295)",2,,
192308813,Markt,residential,20,roundabout,True,False,33.277,"LINESTRING (13.0616386 53.3631413, 13.0616433 53.3630815, 13.0616651 53.3630231, 13.0617031 53.3629677, 13.0617564 53.362917, 13.0618233 53.3628724)",,,
"[27118058, 257150005]",Seestraße,unclassified,"['20', '50']",,False,True,369.76,"LINESTRING (13.0616386 53.3631413, 13.061566 53.3631393, 13.0615493 53.3631389, 13.0609818 53.3631249, 13.0593476 53.3630854, 13.0592709 53.3630831, 13.0565146 53.3630021, 13.056072 53.3629891)",2,,
192308813,Markt,residential,20,roundabout,True,False,35.669000000000004,"LINESTRING (13.0626417 53.3628798, 13.0627105 53.3629291, 13.0627631 53.3629851, 13.0627977 53.3630458, 13.0628132 53.3631093, 13.0628091 53.3631734)",,,
192308813,Markt,residential,20,roundabout,True,False,26.726000000000003,"LINESTRING (13.0628091 53.3631734, 13.0627876 53.3632321, 13.0627496 53.3632878, 13.0626962 53.3633387, 13.0626291 53.3633835)",,,
"[509954212, 509954214, 509954217, 228607314, 624426267]",Bruchstraße,residential,"['20', '50']",,False,True,154.471,"LINESTRING (13.0628091 53.3631734, 13.0628687 53.363175, 13.0628783 53.3631752, 13.0633599 53.3631864, 13.0634201 53.3631878, 13.0636538 53.3631884, 13.0643897 53.3631912, 13.0644904 53.3631923, 13.0647677 53.3631953, 13.0647858 53.3631953, 13.0651365 53.3631958)",,,
12497241,Semmelweisstraße,secondary,50,,False,False,97.246,"LINESTRING (13.0583036 53.3654823, 13.0581281 53.3653817, 13.0576568 53.3651018, 13.0575353 53.3650224, 13.057438 53.3649492, 13.0573075 53.3648431)",2,L 25,
"[512071633, 12497244]",Zierker Straße,residential,50,,False,False,105.012,"LINESTRING (13.0583036 53.3654823, 13.0584868 53.3654157, 13.0591285 53.3649768, 13.0591678 53.3649536, 13.0594049 53.3648109)",2,,
512071623,Zierker Straße,secondary,50,,False,True,23.445999999999998,"LINESTRING (13.0583036 53.3654823, 13.0581918 53.3655826, 13.0581389 53.3656673)",,L 25,
