osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,tunnel
24876307,Dr.-Gräßmann-Straße,residential,30,False,False,51.452,"LINESTRING (11.8033886 49.6097584, 11.8035358 49.6095894, 11.8037146 49.609347)",,,
29549414,Schlichter Straße,tertiary,50,False,False,73.17599999999999,"LINESTRING (11.8033886 49.6097584, 11.8038135 49.6099992, 11.8041515 49.6101928)",AS 5,,
29549414,Schlichter Straße,tertiary,50,False,True,97.029,"LINESTRING (11.8033886 49.6097584, 11.8028757 49.60947, 11.8027644 49.6094185, 11.8023357 49.6092157)",AS 5,,
29268097,Leonhardstraße,residential,30,False,True,124.052,"LINESTRING (11.8013929 49.6075395, 11.8006545 49.6085473)",,,
24931968,Blumenstraße,residential,,False,False,246.428,"LINESTRING (11.8013929 49.6075395, 11.802167 49.607874, 11.8028205 49.6081575, 11.8033618 49.6083538, 11.8038246 49.608541, 11.8042805 49.6087252)",,,
24876307,Dr.-Gräßmann-Straße,residential,30,False,True,25.903,"LINESTRING (11.8038836 49.6091414, 11.8037146 49.609347)",,,
24876307,Dr.-Gräßmann-Straße,residential,30,False,False,54.403000000000006,"LINESTRING (11.8038836 49.6091414, 11.8041192 49.6088951, 11.8042805 49.6087252)",,,
24926341,Wiesenstraße,residential,,False,True,156.75,"LINESTRING (11.8038836 49.6091414, 11.8033817 49.6089299, 11.80291 49.6086984, 11.8026308 49.6089187, 11.8023357 49.6092157)",,,
46849191,Bahnhofstraße,tertiary,50,False,False,21.299,"LINESTRING (11.8019424 49.613522, 11.8021802 49.6134082)",St 2123,,
27350770,Adolf-Kaiser-Straße,residential,,False,True,289.749,"LINESTRING (11.8019424 49.613522, 11.8018029 49.6135251, 11.8014419 49.6136218, 11.8007967 49.6137561, 11.8007157 49.6137625, 11.8006555 49.6137593, 11.8006003 49.6137474, 11.8005499 49.6137203, 11.8005142 49.6136813, 11.8003983 49.6134884, 11.8001577 49.6131861, 11.7997048 49.6126771, 11.7994974 49.6124552, 11.7994507 49.6123948, 11.7994348 49.6123534, 11.7994335 49.6123049, 11.7994584 49.6122546)",,,
"[27350252, 46849191]",Bahnhofstraße,tertiary,50,False,"[False, True]",170.891,"LINESTRING (11.8019424 49.613522, 11.8017296 49.6136304, 11.8014767 49.613737, 11.8012927 49.6138004, 11.8010545 49.6138563, 11.8007894 49.6139183, 11.8006175 49.6139533, 11.8001437 49.6140599, 11.7997936 49.6141455)",St 2123,,
46849191,Bahnhofstraße,tertiary,50,False,True,21.299,"LINESTRING (11.8021802 49.6134082, 11.8019424 49.613522)",St 2123,,
142530877,Bahnhofstraße,tertiary,50,False,False,12.867,"LINESTRING (11.8021802 49.6134082, 11.802315 49.6133323)",St 2123,,
24931582,Bahnhofstraße,residential,,False,False,25.296,"LINESTRING (11.8021802 49.6134082, 11.8023036 49.6134936, 11.8023765 49.6135935)",,,
27083428,,residential,10,False,True,198.03,"LINESTRING (11.8041515 49.6101928, 11.8037268 49.6104468, 11.8036184 49.6105029, 11.8035833 49.6105511, 11.8035805 49.6106083, 11.8036016 49.6106474, 11.8037024 49.6107323, 11.8038683 49.6108559, 11.8040826 49.6109664, 11.8041218 49.6109972, 11.8041078 49.6110518, 11.8040615 49.6111017, 11.8038392 49.6112681, 11.8037534 49.6113571, 11.8036655 49.6114675, 11.8036454 49.6115802)",,,
29549414,Schlichter Straße,tertiary,50,False,False,49.227999999999994,"LINESTRING (11.8041515 49.6101928, 11.8045114 49.6104027, 11.8046593 49.610489)",AS 5,,
29549414,Schlichter Straße,tertiary,50,False,True,73.17599999999999,"LINESTRING (11.8041515 49.6101928, 11.8038135 49.6099992, 11.8033886 49.6097584)",AS 5,,
570998442,Breite Gasse,residential,,False,False,73.099,"LINESTRING (11.8075928 49.6123711, 11.8083138 49.6119086)",,,
1257116213,Marktplatz,tertiary,50,False,False,22.322,"LINESTRING (11.8075928 49.6123711, 11.8075279 49.6123712, 11.8073597 49.6123875, 11.807285 49.6123845)",AS 5,,
"[24888894, 1257116214]","['Froschau', 'Marktplatz']",tertiary,50,False,True,19.77,"LINESTRING (11.8075928 49.6123711, 11.8076822 49.6123764, 11.8078328 49.6124456)",AS 5,,
24926365,Krankenhausstraße,residential,,False,False,62.104,"LINESTRING (11.8098421 49.6088022, 11.8094821 49.6090035, 11.8092105 49.6091816)",,,
