osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge,ref,tunnel,lanes
1104862403,residential,30,roundabout,True,False,14.222999999999999,"LINESTRING (10.2541184 49.706642, 10.254121 49.7066103, 10.2541332 49.7065902, 10.2541594 49.7065685, 10.2541886 49.7065555, 10.254224 49.7065479)",,,,,
26647673,residential,30,,False,False,87.383,"LINESTRING (10.2557538 49.706698, 10.255892 49.7066975, 10.2561141 49.7067049, 10.2565406 49.7067273, 10.2569575 49.706786)",Mühlenweg,,,,
26647673,residential,30,,False,True,99.634,"LINESTRING (10.2557538 49.706698, 10.2553992 49.7067017, 10.2552112 49.7067045, 10.2549657 49.7066956, 10.2546792 49.7066697, 10.2544701 49.7066465, 10.2543746 49.7066464)",Mühlenweg,,,,
26648278,living_street,,,False,True,37.31,"LINESTRING (10.2557538 49.706698, 10.2557333 49.7067471, 10.2555158 49.7069946)",Am Hündlein,,,,
45185445,tertiary,50,,False,False,13.09,"LINESTRING (10.2589648 49.7086343, 10.2590501 49.7085303)",Rödelseer Straße,,,,
83523471,tertiary,,,False,True,8.296,"LINESTRING (10.2595195 49.7072155, 10.2595109 49.7072899)",Rödelseer Straße,,,,
26637047,tertiary,,,False,False,112.789,"LINESTRING (10.2595195 49.7072155, 10.2596924 49.7063264, 10.2597085 49.7062827, 10.259722 49.7062479, 10.2597582 49.7062187)",Rödelseer Straße,,,,
26647673,residential,30,,False,True,33.952,"LINESTRING (10.2595195 49.7072155, 10.2593746 49.7072171, 10.2590485 49.7071995)",Mühlenweg,,,,
148337950,residential,,,False,True,6.42,"LINESTRING (10.2597582 49.7062187, 10.2596995 49.7061752)",Rödelseer Tor,,,,
26637047,tertiary,,,False,True,112.789,"LINESTRING (10.2597582 49.7062187, 10.259722 49.7062479, 10.2597085 49.7062827, 10.2596924 49.7063264, 10.2595195 49.7072155)",Rödelseer Straße,,,,
45185446,tertiary,,,False,False,201.62,"LINESTRING (10.2597582 49.7062187, 10.2598151 49.7062054, 10.2598857 49.7061996, 10.2604666 49.7061823, 10.2612047 49.7061637, 10.2625555 49.7061284)",Schützenstraße,,,,
26637049,residential,,,False,False,127.525,"LINESTRING (10.254224 49.7065479, 10.2542928 49.7063856, 10.2543434 49.7063496, 10.2547219 49.7060804, 10.2548292 49.7059937, 10.2550322 49.7058486, 10.2553011 49.7056562)",Am Stadtgraben West,,,,
26647672,residential,30,roundabout,True,False,18.034,"LINESTRING (10.254224 49.7065479, 10.2542659 49.7065474, 10.2543105 49.7065572, 10.2543457 49.7065759, 10.2543656 49.7065962, 10.2543766 49.7066245, 10.2543746 49.7066464)",,,,,
148337933,residential,30,,False,True,73.277,"LINESTRING (10.2563433 49.7043282, 10.2560973 49.7049677)",Am Stadtgraben West,,,,
148337933,residential,30,,False,False,67.446,"LINESTRING (10.2563433 49.7043282, 10.2564979 49.7039551, 10.2565755 49.7037406)",Am Stadtgraben West,,,,
148337933,residential,30,,False,False,98.789,"LINESTRING (10.2565755 49.7037406, 10.256583 49.7036669, 10.2565885 49.7036177, 10.2566141 49.7033912, 10.2566583 49.7031975, 10.2567184 49.7029949, 10.256768 49.7028627)",Am Stadtgraben West,,,,
