osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,access,width
8097543,Hohenhöfen,tertiary,50,False,False,206.374,"LINESTRING (10.0242001 51.867559, 10.0255332 51.8676568, 10.0260275 51.8676587, 10.0265255 51.8676381, 10.0271897 51.8675847)",,,,
14863570,Moritzstraße,tertiary,50,False,True,51.18,"LINESTRING (10.0242001 51.867559, 10.0241546 51.8676561, 10.0241347 51.8678533, 10.0241185 51.8680146)",K 641,,,
8097543,Hohenhöfen,tertiary,50,False,True,72.807,"LINESTRING (10.0309801 51.8668977, 10.0299778 51.8671114)",,,,
"[8097546, 307739212]",Marienstraße,tertiary,50,False,False,65.887,"LINESTRING (10.0309801 51.8668977, 10.0312266 51.8671077, 10.0313746 51.8672452, 10.0315192 51.8673876)",,,,
14865010,Bismarckstraße,residential,30,False,False,193.68199999999996,"LINESTRING (10.0322707 51.8681246, 10.031717 51.8682082, 10.0311863 51.8683176, 10.0307308 51.8684712, 10.0301505 51.8687065, 10.0297754 51.8688896)",,,,
24878942,Roswithastraße,tertiary,30,False,False,106.965,"LINESTRING (10.0322707 51.8681246, 10.0323428 51.8682422, 10.0324061 51.8685453, 10.0324808 51.8690739)",,,,
"[83400864, 307739212]",Marienstraße,tertiary,"['50', '30']",False,True,96.91399999999999,"LINESTRING (10.0322707 51.8681246, 10.0319822 51.8678111, 10.0316796 51.8675323, 10.031629 51.8674853, 10.0315192 51.8673876)",,,,
"[104365768, 1024948570, 8097547, 542968422]","['Braunschweiger Straße', 'Bismarckstraße']",tertiary,30,False,True,246.259,"LINESTRING (10.0322707 51.8681246, 10.0334701 51.8678697, 10.0337654 51.8677899, 10.0340087 51.8677327, 10.0341661 51.8676878, 10.0355845 51.8672837)",,,,
"[104365768, 1024948570, 8097547, 542968422]","['Braunschweiger Straße', 'Bismarckstraße']",tertiary,30,False,False,246.25900000000001,"LINESTRING (10.0355845 51.8672837, 10.0341661 51.8676878, 10.0340087 51.8677327, 10.0337654 51.8677899, 10.0334701 51.8678697, 10.0322707 51.8681246)",,,,
24877532,Am Brink,residential,30,False,False,125.822,"LINESTRING (10.0355845 51.8672837, 10.0355531 51.8672212, 10.0355474 51.8672082, 10.0355343 51.8671447, 10.0355583 51.8669909, 10.0356159 51.8667942, 10.0357274 51.866552, 10.0360342 51.8662198)",,,,
32047929,Breslauer Straße,residential,,False,True,60.987,"LINESTRING (10.0355845 51.8672837, 10.035994 51.8676818, 10.0360538 51.8677492)",,,,
14863570,Moritzstraße,tertiary,50,False,False,45.674,"LINESTRING (10.0242042 51.8684195, 10.024135 51.8682571, 10.0241191 51.8681119, 10.0241185 51.8680146)",K 641,,,
"[30436805, 14865007]",Moritzstraße,living_street,,False,False,37.783,"LINESTRING (10.0242042 51.8684195, 10.0243183 51.8685756, 10.0243838 51.8687392)",,,,
30436805,Moritzstraße,living_street,,False,False,135.48399999999998,"LINESTRING (10.0243838 51.8687392, 10.0245091 51.8691029, 10.0245048 51.8692164, 10.024419 51.8696544, 10.0243785 51.8699452)",,,,
"[30436805, 14865007]",Moritzstraße,living_street,,False,True,37.783,"LINESTRING (10.0243838 51.8687392, 10.0243183 51.8685756, 10.0242042 51.8684195)",,,,
31986377,An der Stadtmauer,residential,30,False,False,78.60900000000001,"LINESTRING (10.0243838 51.8687392, 10.0248739 51.8686814, 10.0251551 51.8686638, 10.0255184 51.8686663)",,,,
29214926,Baderstraße,residential,30,False,False,122.091,"LINESTRING (10.0248836 51.8708061, 10.0247794 51.8708708, 10.0246872 51.871097, 10.0244318 51.8712168, 10.0243101 51.8714304, 10.0242309 51.8716581, 10.0241574 51.871765)",,,,
32047969,Burgstraße,secondary,30,False,False,59.21,"LINESTRING (10.0248836 51.8708061, 10.0251415 51.8709484, 10.0253111 51.8710397, 10.0254479 51.8710917, 10.0255729 51.8711157)",,,,
32047969,Burgstraße,secondary,30,False,True,30.607,"LINESTRING (10.0248836 51.8708061, 10.0248416 51.8707603, 10.0247595 51.8706663, 10.0247257 51.8706191, 10.0246922 51.8706024, 10.0246318 51.8705973)",,,,
"[918803992, 32047969, 918864726]",Burgstraße,secondary,30,False,False,88.448,"LINESTRING (10.0255729 51.8711157, 10.0256265 51.8711129, 10.0258097 51.8711114, 10.0261954 51.8710486, 10.0267019 51.8710092, 10.0268437 51.8710061)",,,,
32047969,Burgstraße,secondary,30,False,True,59.209999999999994,"LINESTRING (10.0255729 51.8711157, 10.0254479 51.8710917, 10.0253111 51.8710397, 10.0251415 51.8709484, 10.0248836 51.8708061)",,,,
14865010,Bismarckstraße,residential,30,False,False,39.544,"LINESTRING (10.0297754 51.8688896, 10.0295401 51.8690109, 10.0293243 51.8691105)",,,,
14865010,Bismarckstraße,residential,30,False,True,193.682,"LINESTRING (10.0297754 51.8688896, 10.0301505 51.8687065, 10.0307308 51.8684712, 10.0311863 51.8683176, 10.031717 51.8682082, 10.0322707 51.8681246)",,,,
32047961,Hinter der Münze,residential,,True,False,100.867,"LINESTRING (10.0297754 51.8688896, 10.0303259 51.8691438, 10.0306336 51.8695875)",,,,
"[851557521, 14865010]",Bismarckstraße,residential,30,False,True,141.684,"LINESTRING (10.02697 51.8699236, 10.0270041 51.8698915, 10.0270691 51.8698695, 10.0272037 51.8698533, 10.0274195 51.8698249, 10.0276877 51.8697897, 10.0279116 51.8697305, 10.0280475 51.869668, 10.0284773 51.869462, 10.0287508 51.8693391)",,,,
14865015,Hagen,residential,30,False,True,84.611,"LINESTRING (10.0281848 51.8704276, 10.0281889 51.8704861, 10.0279299 51.8709762, 10.027823 51.871151)",,,,
14865016,An der Tummelburg,residential,30,True,False,102.417,"LINESTRING (10.0281848 51.8704276, 10.0280865 51.8703878, 10.0274141 51.870125, 10.0272003 51.8700538, 10.0270688 51.8700097, 10.0269786 51.8699691, 10.02697 51.8699236)",,,,
14865015,Hagen,residential,30,False,False,84.61099999999999,"LINESTRING (10.027823 51.871151, 10.0279299 51.8709762, 10.0281889 51.8704861, 10.0281848 51.8704276)",,,,
29214946,Am Plan,secondary,30,False,True,70.059,"LINESTRING (10.027823 51.871151, 10.0276762 51.8710941, 10.0274987 51.8710593, 10.0271989 51.8710303, 10.0271652 51.8710274, 10.0270856 51.8710207, 10.0268437 51.8710061)",,,,
"[947818065, 32048093]","['Am Plan', 'Neustadt']",secondary,30,False,False,150.67499999999998,"LINESTRING (10.027823 51.871151, 10.0280818 51.8712726, 10.0282419 51.8713602, 10.0284527 51.8714759, 10.0286102 51.871573, 10.0293122 51.8720231, 10.0293834 51.8720967)",,,,
32047917,Hagenmühlenweg,residential,,False,False,91.043,"LINESTRING (10.0293834 51.8720967, 10.0295135 51.8720371, 10.0302039 51.8714584)",,,,
"[1190463168, 32048093, 32048094]",Neustadt,secondary,30,False,False,37.472,"LINESTRING (10.0293834 51.8720967, 10.029434 51.8721624, 10.0296059 51.8723586, 10.0296377 51.8723948)",,yes,,
"[947818065, 32048093]","['Am Plan', 'Neustadt']",secondary,30,False,True,150.675,"LINESTRING (10.0293834 51.8720967, 10.0293122 51.8720231, 10.0286102 51.871573, 10.0284527 51.8714759, 10.0282419 51.8713602, 10.0280818 51.8712726, 10.027823 51.871151)",,,,
32047963,Wieseleck,residential,,False,False,89.009,"LINESTRING (10.0325773 51.8724362, 10.0331332 51.8726512, 10.033773 51.8726701)",,,,
"[24878945, 947818061]",Roswithastraße,tertiary,30,False,False,78.897,"LINESTRING (10.0325773 51.8724362, 10.0326886 51.8726304, 10.0330413 51.8729034, 10.0331007 51.8730533)",,,,
947818061,Roswithastraße,tertiary,30,False,True,77.432,"LINESTRING (10.0325773 51.8724362, 10.0325657 51.8723054, 10.0326317 51.8717415)",,,,
32047919,Roswithastraße,residential,50,False,False,69.486,"LINESTRING (10.0324808 51.8690739, 10.0334716 51.8689465)",,,,
24878942,Roswithastraße,tertiary,30,False,False,36.778000000000006,"LINESTRING (10.0324808 51.8690739, 10.0324931 51.8691685, 10.0325009 51.8694043)",,,,
24878942,Roswithastraße,tertiary,30,False,True,106.965,"LINESTRING (10.0324808 51.8690739, 10.0324061 51.8685453, 10.0323428 51.8682422, 10.0322707 51.8681246)",,,,
