osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,junction,bridge,tunnel,access
26855854,In den Kämpen,residential,False,True,94.365,"LINESTRING (7.1737108 51.9460014, 7.1741129 51.9460634, 7.1745128 51.946126, 7.1750488 51.9462011)",,,,,,,
30751062,Schützenwall,residential,False,True,157.526,"LINESTRING (7.1737108 51.9460014, 7.1733593 51.947292, 7.1732784 51.9473878)",,,,,,,
293156584,Schützenwall,residential,False,False,304.649,"LINESTRING (7.1737108 51.9460014, 7.1737475 51.945865, 7.1737411 51.9457493, 7.1737367 51.9456224, 7.1737259 51.9455866, 7.173636 51.9453891, 7.1735683 51.9452404, 7.1735026 51.9451269, 7.1731248 51.9445129, 7.1730387 51.9443729, 7.1726787 51.9439549, 7.17244 51.9436366, 7.1722911 51.9434455)",,,,,,,
27019242,Wetmarstraße,residential,False,False,130.463,"LINESTRING (7.1667954 51.9499289, 7.1665744 51.9498049, 7.1663506 51.9496692, 7.1660986 51.9495171, 7.165575 51.9491504, 7.1654594 51.9490959)",30,,,,,,
"[160602275, 584392646, 584392650, 8036395, 584392652]",Holtwicker Straße,secondary,False,False,239.98,"LINESTRING (7.1667954 51.9499289, 7.1674909 51.9495983, 7.1677932 51.9494413, 7.1679008 51.9493862, 7.1682405 51.9492122, 7.1684986 51.9490809, 7.1686388 51.9490082, 7.168791 51.9489313, 7.1692124 51.9487466, 7.1693278 51.9486954, 7.1695487 51.9485972)",50,"['4', '3']",L 581,,,,
6240229,,residential,True,False,12.856,"LINESTRING (7.1654594 51.9490959, 7.1654248 51.9491155, 7.1653825 51.9491279, 7.1653361 51.9491321, 7.1652898 51.9491277)",30,,,roundabout,,,
27019242,Wetmarstraße,residential,False,True,130.463,"LINESTRING (7.1654594 51.9490959, 7.165575 51.9491504, 7.1660986 51.9495171, 7.1663506 51.9496692, 7.1665744 51.9498049, 7.1667954 51.9499289)",30,,,,,,
6240229,,residential,True,False,14.61,"LINESTRING (7.1652358 51.9489609, 7.1652719 51.9489469, 7.1653127 51.9489394, 7.1653554 51.9489389, 7.1653966 51.9489455, 7.1654335 51.9489587)",30,,,roundabout,,,
24876861,Wetmarstraße,residential,False,True,93.868,"LINESTRING (7.1652358 51.9489609, 7.1651573 51.9489063, 7.1651011 51.9488684, 7.1650051 51.9488271, 7.1641773 51.9484908, 7.1641271 51.9484712)",30,,,,,,
6240229,,residential,True,False,17.049,"LINESTRING (7.1654335 51.9489587, 7.1654626 51.9489769, 7.1654829 51.9489992, 7.1654931 51.949024, 7.1654924 51.9490495, 7.1654809 51.9490741, 7.1654594 51.9490959)",30,,,roundabout,,,
