osmid,bridge,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,est_width
"[1024776283, 5013315, 239065202]",yes,2,B 175,Leipziger Straße,primary,50,False,False,77.321,"LINESTRING (12.794618 51.0473282, 12.7946231 51.0472607, 12.7946341 51.047147, 12.7946456 51.0470442, 12.7947001 51.0466348)",,
"[175968376, 190628929, 190628930, 1024776286]",yes,"['2', '3']",B 107;B 175,Poststraße,primary,50,False,True,228.762,"LINESTRING (12.794618 51.0473282, 12.7947029 51.0473281, 12.7948429 51.0473353, 12.7951586 51.0474355, 12.7953779 51.0475033, 12.7954702 51.047527, 12.7955501 51.0475469, 12.7956451 51.0475659, 12.7957363 51.0475773, 12.79617 51.0476323, 12.7962413 51.0476413, 12.7963193 51.0476512, 12.7966408 51.0476918, 12.7968803 51.0477221, 12.7969709 51.0477335, 12.7976346 51.0478172, 12.7977664 51.0478338)",,
5013316,,2,B 175,Zwickauer Straße,primary,50,False,False,47.147000000000006,"LINESTRING (12.794845 51.0460418, 12.7947833 51.046012, 12.7947181 51.0459865, 12.794654 51.0459659, 12.794568 51.045942, 12.7944894 51.0459232, 12.7944066 51.045908, 12.7943285 51.0459009, 12.7942241 51.0459042)",,
"[239065193, 239065194, 239065210, 239065214]",,2,B 175,Leipziger Straße,primary,50,False,True,68.064,"LINESTRING (12.794845 51.0460418, 12.7948696 51.0460677, 12.7948831 51.0460989, 12.794883 51.0461204, 12.7948782 51.0461451, 12.7948703 51.0461633, 12.7948577 51.0461935, 12.7948458 51.0462198, 12.7947962 51.0463253, 12.7947692 51.0463934, 12.7947288 51.0465045, 12.7947103 51.04657, 12.7947001 51.0466348)",,
25596343,,2,,Bismarckstraße,unclassified,50,False,False,25.758,"LINESTRING (12.7977664 51.0478338, 12.797806 51.0477005, 12.7978146 51.0476716, 12.7978341 51.0476061)",4,
"[175968376, 190628929, 190628930, 1024776286]",yes,"['2', '3']",B 107;B 175,Poststraße,primary,50,False,False,228.762,"LINESTRING (12.7977664 51.0478338, 12.7976346 51.0478172, 12.7969709 51.0477335, 12.7968803 51.0477221, 12.7966408 51.0476918, 12.7963193 51.0476512, 12.7962413 51.0476413, 12.79617 51.0476323, 12.7957363 51.0475773, 12.7956451 51.0475659, 12.7955501 51.0475469, 12.7954702 51.047527, 12.7953779 51.0475033, 12.7951586 51.0474355, 12.7948429 51.0473353, 12.7947029 51.0473281, 12.794618 51.0473282)",,
"[190628938, 33922805]",,"['2', '3']",B 107;B 175,Poststraße,primary,50,False,True,130.576,"LINESTRING (12.7977664 51.0478338, 12.7979476 51.0478547, 12.7981622 51.0478808, 12.7982118 51.0478869, 12.7983241 51.0479006, 12.7985899 51.0479339, 12.7986565 51.0479415, 12.7990012 51.0479837, 12.7993844 51.0480292, 12.7996009 51.0480548)",,
919869188,,,,Topfmarkt,unclassified,30,False,False,2.889,"LINESTRING (12.8021351 51.0456674, 12.802094 51.0456647)",4,
25596337,,2,,Topfmarkt,unclassified,30,False,True,48.763,"LINESTRING (12.8021351 51.0456674, 12.8020981 51.0458763, 12.8020451 51.0461022)",6,
"[277854180, 277854182, 239180277, 239180279, 239180281, 277854173, 1219103870, 277854175]",,2,,"['Topfmarkt', 'Kunigundenstraße']",residential,30,False,True,135.854,"LINESTRING (12.8021351 51.0456674, 12.8024482 51.0456879, 12.8028118 51.0457152, 12.802951 51.0457338, 12.8030168 51.0457426, 12.8030909 51.0457556, 12.8031642 51.0457723, 12.8032157 51.045784, 12.8032911 51.0458012, 12.8039282 51.0459464, 12.8040083 51.0459647)",4.5,
"[238694150, 238694152, 238694154, 25596336, 1208703580]",,2,,Bahnhofstraße,unclassified,50,False,False,111.63600000000001,"LINESTRING (12.8014375 51.0482872, 12.801509 51.0481746, 12.8015718 51.0480471, 12.8015995 51.0479817, 12.801612 51.0479521, 12.8016437 51.0478775, 12.8016606 51.0478309, 12.8017553 51.0475703, 12.8017966 51.0474657, 12.8018008 51.047386, 12.8017861 51.0473155)",4,
"[77835066, 237354949, 237354951, 205259775]",,,,Bahnhofstraße,unclassified,50,True,False,210.05599999999998,"LINESTRING (12.8014375 51.0482872, 12.8013591 51.0484107, 12.8011934 51.0486632, 12.8010797 51.0488118, 12.8009337 51.049013, 12.8008397 51.0491417, 12.800704 51.0493319, 12.8006018 51.0494763, 12.8005677 51.0495244, 12.8004825 51.0496479, 12.8004108 51.0497528, 12.800312 51.0498628, 12.8002956 51.049881, 12.8001387 51.0499805)",4,
"[132278392, 849052984, 362586668]",,3,B 107;B 175,Poststraße,primary,50,False,False,130.963,"LINESTRING (12.8014375 51.0482872, 12.8012616 51.0482646, 12.8012109 51.0482581, 12.8011122 51.0482455, 12.8008795 51.0482157, 12.8003783 51.0481502, 12.7996009 51.0480548)",,
185149352,,3,B 107;B 175,Lindenallee,primary,50,False,True,83.02199999999999,"LINESTRING (12.8014375 51.0482872, 12.8016509 51.0483144, 12.8016982 51.0483205, 12.8018019 51.0483338, 12.802049 51.0483653, 12.802125 51.048375, 12.8026047 51.0484245)",,
25142469,,,,Gärtnerstraße,living_street,,True,False,35.041,"LINESTRING (12.7947001 51.0466348, 12.7947598 51.0466405, 12.7949833 51.046662, 12.7951943 51.0466872)",,
"[239065202, 1024776283, 5013315]",yes,2,B 175,Leipziger Straße,primary,50,False,True,77.321,"LINESTRING (12.7947001 51.0466348, 12.7946456 51.0470442, 12.7946341 51.047147, 12.7946231 51.0472607, 12.794618 51.0473282)",,
