osmid,name,highway,oneway,reversed,length,width,geometry,maxspeed,ref,lanes
"[49753104, 357230605, 143686358, 480399375]",Zollstraße,living_street,False,"[False, True]",291.212,"['7', '3']","LINESTRING (7.766731 50.0848691, 7.7666416 50.0849057, 7.7665596 50.0849392, 7.7664777 50.0850199, 7.7663908 50.0851353, 7.7661286 50.0853507, 7.7659712 50.0854537, 7.765824 50.0855556, 7.7655647 50.0857593, 7.7652856 50.0859511, 7.7652037 50.0860002, 7.7651138 50.0860505, 7.7648304 50.0862125, 7.7645202 50.0863824, 7.7644853 50.0864029, 7.7643655 50.0864787, 7.7643287 50.0865102, 7.7642813 50.0865698, 7.7642294 50.0866161, 7.7641496 50.0866943, 7.7641038 50.0867213, 7.7639965 50.0867845)",,,
34868356,Schulstraße,residential,False,False,124.524,6,"LINESTRING (7.7609719 50.0889883, 7.7597926 50.0898139)",30,,
109570712,Schulstraße,secondary,False,True,79.696,,"LINESTRING (7.7609719 50.0889883, 7.7611058 50.0889013, 7.7613143 50.0887455, 7.7616646 50.08848, 7.7617059 50.0884484)",,L 339,
194777952,Kreuzweg,secondary,False,False,61.94799999999999,,"LINESTRING (7.7609719 50.0889883, 7.7608285 50.0889516, 7.7607728 50.0889289, 7.7606987 50.0888814, 7.7606426 50.0888352, 7.7605738 50.0887815, 7.7603092 50.0886409)",,L 339,
72549849,,secondary,False,False,36.944,,"LINESTRING (7.7603092 50.0886409, 7.7600247 50.0884856, 7.7599575 50.0884489, 7.7599148 50.0884256)",,L 339,2
194777952,Kreuzweg,secondary,False,True,61.94799999999999,,"LINESTRING (7.7603092 50.0886409, 7.7605738 50.0887815, 7.7606426 50.0888352, 7.7606987 50.0888814, 7.7607728 50.0889289, 7.7608285 50.0889516, 7.7609719 50.0889883)",,L 339,
"[195741802, 195741803]","['Manneweg', 'Gartenstraße']",residential,False,False,168.087,,"LINESTRING (7.7603092 50.0886409, 7.7598129 50.0890817, 7.7596341 50.0892465, 7.7593163 50.0895354, 7.7597926 50.0898139)",,,
"[195741802, 195741804]","['Gartenstraße', 'Poststraße']",residential,False,"[False, True]",140.65,,"LINESTRING (7.7603092 50.0886409, 7.7608676 50.0882307, 7.7610477 50.0881012, 7.7617059 50.0884484)",,,
72549849,,secondary,False,True,36.944,,"LINESTRING (7.7599148 50.0884256, 7.7599575 50.0884489, 7.7600247 50.0884856, 7.7603092 50.0886409)",,L 339,2
357230603,Rheinuferstraße,primary,False,False,520.179,,"LINESTRING (7.7599148 50.0884256, 7.7596133 50.0886319, 7.7593178 50.0888592, 7.7592508 50.0889132, 7.758994 50.089141, 7.7587953 50.0893305, 7.7586674 50.0894491, 7.7584668 50.0896412, 7.7581555 50.089934, 7.7578397 50.0902282, 7.7577078 50.0903484, 7.7574717 50.0905653, 7.7572439 50.0907696, 7.756795 50.091146, 7.7565282 50.0913727, 7.7562282 50.0916231, 7.7559799 50.0918317, 7.7557653 50.0920168, 7.7556281 50.0921358, 7.7555763 50.0921807)",50,B 42,2
