osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge,lanes,width,junction
4662768,Blauenstraße,residential,30,False,True,121.404,,"LINESTRING (7.657753 47.7139381, 7.6581941 47.7149888)",,,,
54377164,Bahnhofstraße,secondary,50,False,True,33.821,L 134,"LINESTRING (7.657753 47.7139381, 7.6573276 47.714041)",,,,
"[54377164, 813674735]",Bahnhofstraße,secondary,"['50', '30']",False,False,120.19900000000001,L 134,"LINESTRING (7.657753 47.7139381, 7.6583795 47.7137907, 7.6588814 47.71367, 7.6589909 47.7136437, 7.6592675 47.7135774)",,,,
54269108,An der Schwemme,secondary,30,False,False,38.263999999999996,L 134,"LINESTRING (7.6592675 47.7135774, 7.6594253 47.7134825, 7.6594945 47.7134409, 7.6596049 47.7133231)",,,,
131192029,Hauptstraße,unclassified,,False,True,56.159,,"LINESTRING (7.6592675 47.7135774, 7.659398 47.7137381, 7.6594095 47.7137525, 7.6595593 47.7138919, 7.6597057 47.7139821)",,,,
"[54377164, 813674735]",Bahnhofstraße,secondary,"['50', '30']",False,True,120.19900000000001,L 134,"LINESTRING (7.6592675 47.7135774, 7.6589909 47.7136437, 7.6588814 47.71367, 7.6583795 47.7137907, 7.657753 47.7139381)",,,,
27379502,Blumenmühlgasse,residential,30,False,True,117.564,,"LINESTRING (7.6596049 47.7133231, 7.6599715 47.7135667, 7.6602301 47.7137504, 7.6603073 47.7138192, 7.6603866 47.7140073, 7.6603004 47.7141733)",,,,
"[180469946, 54269108, 224417271]",An der Schwemme,secondary,30,False,False,36.544000000000004,L 134,"LINESTRING (7.6596049 47.7133231, 7.659637 47.7132648, 7.6596595 47.7131858, 7.6596577 47.7131085, 7.6596429 47.7130295, 7.6596287 47.713002)",yes,,,
54269108,An der Schwemme,secondary,30,False,True,38.264,L 134,"LINESTRING (7.6596049 47.7133231, 7.6594945 47.7134409, 7.6594253 47.7134825, 7.6592675 47.7135774)",,,,
29431221,Hammersteiner Straße,secondary,50,False,False,151.632,L 134,"LINESTRING (7.6594522 47.7116008, 7.6595572 47.711321, 7.6595789 47.7112059, 7.6595733 47.7111372, 7.6595598 47.7110254, 7.6592815 47.7102702)",,,,
854209062,Hammersteiner Straße,secondary,50,False,True,45.346999999999994,L 134,"LINESTRING (7.6594522 47.7116008, 7.65943 47.7116512, 7.6593328 47.7118477, 7.6592625 47.7119881)",,,,
"[911054044, 854209063]",Waldeckstraße,secondary,,False,False,31.689,L 135,"LINESTRING (7.6594522 47.7116008, 7.6595974 47.7116476, 7.6597376 47.7117072, 7.6598162 47.7117451)",,2,,
149907546,Bibelisgasse,residential,,False,False,48.271,,"LINESTRING (7.6647705 47.7140171, 7.6650719 47.7137618, 7.6651258 47.71366)",,,,
5065308,Ziegelstraße,residential,30,False,False,137.093,,"LINESTRING (7.6595552 47.7150472, 7.6597116 47.715079, 7.6597872 47.7151128, 7.6599004 47.7151635, 7.6601019 47.7152537, 7.6602809 47.7153624, 7.6603398 47.7153982, 7.660442 47.7154602, 7.6606773 47.7155484, 7.6610418 47.7156851, 7.6610929 47.7156997)",,,,
763502492,Feuerbacher Straße,unclassified,30,False,False,120.30299999999998,,"LINESTRING (7.6595552 47.7150472, 7.6596188 47.7148759, 7.6596427 47.7148115, 7.6596819 47.7146652, 7.6596512 47.7142703, 7.6596433 47.7141126, 7.6597057 47.7139821)",,,4,
"[148092210, 763502492, 763502493]",Feuerbacher Straße,unclassified,30,False,True,112.00800000000001,,"LINESTRING (7.6595552 47.7150472, 7.6594668 47.7151874, 7.6594241 47.715255, 7.6594091 47.7152787, 7.6593366 47.7153319, 7.6593082 47.7153527, 7.6591982 47.7153898, 7.6590246 47.7154268, 7.6588212 47.7154447, 7.6585584 47.7154463, 7.6583614 47.7154731)",yes,,4,
