osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,access,bridge
"[399515681, 861354893, 861354894, 1007332028, 1007332029]","['2', '3']",Magdeburger Straße,tertiary,50,False,False,288.345,"LINESTRING (12.5429865 52.4120412, 12.5434258 52.4120176, 12.5438394 52.4119954, 12.5440499 52.4119856, 12.5442297 52.4119692, 12.5443383 52.4119549, 12.5444879 52.4119245, 12.5446117 52.4118994, 12.5448016 52.4118608, 12.5453557 52.4117463, 12.5456881 52.4116776, 12.5465823 52.4114916, 12.5470762 52.4113888)",,,
77488495,2,Plauer Straße,tertiary,30,False,True,40.865,"LINESTRING (12.5517384 52.412304, 12.5512694 52.4120733)",,,
"[77214560, 4841362, 4841179, 4841296]",1,"['Am Salzhof', 'Klosterstraße', 'Johanniskirchplatz']",residential,30,True,False,347.667,"LINESTRING (12.5517384 52.412304, 12.5517479 52.412296, 12.5517824 52.4122666, 12.5520478 52.4120242, 12.552191 52.4119333, 12.5523454 52.4118517, 12.5525498 52.4117695, 12.5526379 52.4117341, 12.5530311 52.4115972, 12.5532336 52.4115526, 12.5533428 52.4115456, 12.5534957 52.4115382, 12.5536151 52.4115513, 12.5537371 52.4115742, 12.5538982 52.4116175, 12.5539379 52.4116254, 12.5540889 52.4116579, 12.5546839 52.4118931, 12.5551092 52.4116172, 12.555181 52.4115699, 12.5552527 52.4115466, 12.5553125 52.4115468, 12.5557234 52.4118131, 12.5557571 52.4118343, 12.5557751 52.4118478)",5.5,,
"[4841612, 737014658, 301609490, 301609492]",2,"['Plauer Straße', 'Altstädtischer Markt']",tertiary,30,False,False,261.9,"LINESTRING (12.5517384 52.412304, 12.5524787 52.4126798, 12.5528095 52.412864, 12.5528931 52.4129073, 12.5529441 52.4129343, 12.5531335 52.4130654, 12.5533789 52.4132833, 12.55354 52.4134281, 12.553713 52.4135961, 12.5537418 52.4136674, 12.5537113 52.4137253, 12.553517 52.4138385, 12.5533094 52.4139499, 12.5532676 52.4139856, 12.5532693 52.414049)",,,
4841611,2,Parduin,tertiary,30,False,False,47.274,"LINESTRING (12.5532693 52.414049, 12.5537097 52.4142771, 12.5537983 52.4143258)",,,
"[301609490, 4841612, 301609492, 737014658]",2,"['Plauer Straße', 'Altstädtischer Markt']",tertiary,30,False,True,261.90000000000003,"LINESTRING (12.5532693 52.414049, 12.5532676 52.4139856, 12.5533094 52.4139499, 12.553517 52.4138385, 12.5537113 52.4137253, 12.5537418 52.4136674, 12.553713 52.4135961, 12.55354 52.4134281, 12.5533789 52.4132833, 12.5531335 52.4130654, 12.5529441 52.4129343, 12.5528931 52.4129073, 12.5528095 52.412864, 12.5524787 52.4126798, 12.5517384 52.412304)",,,
"[657340220, 74276597]",,"['Am Huck', 'Altstädtischer Markt']",living_street,,False,False,86.733,"LINESTRING (12.5532693 52.414049, 12.553018 52.4139131, 12.5524165 52.4135647, 12.552384 52.4134984)",,,
4720491,,Mühlentorstraße,residential,30,False,False,38.23,"LINESTRING (12.5553681 52.4150578, 12.5558587 52.4152271)",,,
4841383,,Bäckerstraße,residential,30,True,False,116.024,"LINESTRING (12.5553681 52.4150578, 12.5553896 52.4150184, 12.5554413 52.4149153, 12.5554687 52.4148474, 12.5554873 52.4147643, 12.5554936 52.4146301, 12.5554854 52.4144246, 12.555472 52.4142201, 12.5554294 52.414026)",,,
1236273055,2,Parduin,tertiary,30,False,True,110.925,"LINESTRING (12.5553681 52.4150578, 12.5550814 52.4149286, 12.5543673 52.414611, 12.5540655 52.4144553)",,,
