osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge
"[484261900, 154878975]","['2', '3']",Bahnhofstraße,tertiary,50,False,True,216.151,"LINESTRING (8.5568925 52.1349833, 8.5568372 52.1351751, 8.556802 52.1352768, 8.5564392 52.1361081, 8.5563361 52.1363392, 8.5561072 52.1368657)",,,
"[19715642, 484261902]","['2', '3']",Wertherstraße,secondary,50,False,False,59.980000000000004,"LINESTRING (8.5568925 52.1349833, 8.5571461 52.1349919, 8.5573245 52.1349882, 8.5577699 52.1349707)",L 782,,
20406790,3,Bahnhofstraße,secondary,50,False,False,9.699,"LINESTRING (8.5603108 52.1414028, 8.5601688 52.1414064)",L 712,,
20407509,1,Bünder Straße,secondary,50,True,False,44.79,"LINESTRING (8.5603108 52.1414028, 8.560322 52.1415437, 8.5603274 52.1416119, 8.5603351 52.1418053)",L 712,,
"[19714955, 484261891, 484261892]","['2', '3']",Niedermühlenstraße,secondary,50,False,"[False, True]",200.84899999999996,"LINESTRING (8.5603108 52.1414028, 8.5605589 52.1413792, 8.5613037 52.141293, 8.5617986 52.1412096, 8.5621917 52.1411435, 8.5622242 52.141138, 8.562906 52.1410188, 8.5631681 52.1409772)",L 712,,
19714955,2,Niedermühlenstraße,secondary,50,False,True,89.184,"LINESTRING (8.5644677 52.1409284, 8.5638428 52.1409234, 8.5635778 52.1409356, 8.5634332 52.1409422, 8.5631681 52.1409772)",L 712,,
25524951,1,Brunnenstraße,residential,30,False,True,211.52599999999998,"LINESTRING (8.5644677 52.1409284, 8.5641507 52.1421105, 8.5640952 52.1421539, 8.5639779 52.1421725, 8.563042 52.1421938)",,,
87229289,3,Bünder Straße,secondary,50,False,False,8.426,"LINESTRING (8.5604746 52.142169, 8.5605219 52.142239)",L 712,,
215301508,3,Bünder Straße,secondary,50,False,True,41.607,"LINESTRING (8.5604746 52.142169, 8.5604331 52.1420916, 8.5603733 52.1419398, 8.5603351 52.1418053)",L 712,,
215301508,3,Bünder Straße,secondary,50,False,False,41.607,"LINESTRING (8.5603351 52.1418053, 8.5603733 52.1419398, 8.5604331 52.1420916, 8.5604746 52.142169)",L 712,,
215301511,2,Bünder Straße,secondary,50,True,False,45.825,"LINESTRING (8.5603351 52.1418053, 8.5602469 52.1416279, 8.5602177 52.1415489, 8.5601688 52.1414064)",L 712,,
868738009,3,Bahnhofstraße,tertiary,50,False,True,7.311,"LINESTRING (8.5558378 52.1380503, 8.555842 52.138116)",,,
210685089,1,Bahnhofstraße,tertiary,50,True,False,72.983,"LINESTRING (8.5558378 52.1380503, 8.5557969 52.1379334, 8.5557931 52.1379115, 8.5557954 52.1378693, 8.5558135 52.1377082, 8.5558193 52.1376753, 8.5558337 52.1376046, 8.5558559 52.1375301, 8.5559026 52.1374023)",,,
"[868738019, 20407117]",1,Bachstraße,residential,20,True,False,68.21000000000001,"LINESTRING (8.5558378 52.1380503, 8.5560748 52.1379993, 8.5561842 52.13798, 8.5562789 52.1379652, 8.5563486 52.1379531, 8.5564284 52.1379418, 8.5565634 52.1379287, 8.5568089 52.1379219)",,,
