osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,junction,access
5037536,Nördliche Ringstraße,residential,50,False,False,108.647,"LINESTRING (8.6604281 49.9932615, 8.6619452 49.9932026)",,,,
131253280,Marienstraße,residential,30,True,False,85.142,"LINESTRING (8.6604281 49.9932615, 8.6604005 49.9929333, 8.6603899 49.9928718, 8.6602612 49.9925059)",,,,
5037536,Nördliche Ringstraße,residential,50,False,False,70.584,"LINESTRING (8.6619452 49.9932026, 8.662931 49.9931665)",,,,
5037536,Nördliche Ringstraße,residential,50,False,True,108.647,"LINESTRING (8.6619452 49.9932026, 8.6604281 49.9932615)",,,,
5037987,Luisenstraße,residential,30,False,True,104.754,"LINESTRING (8.6619452 49.9932026, 8.6619238 49.993115, 8.6618634 49.992602, 8.6617558 49.9922702)",,,,
131253279,Luisenstraße,residential,30,False,False,125.75099999999999,"LINESTRING (8.6619452 49.9932026, 8.6620025 49.9939062, 8.6619999 49.9939571, 8.6619941 49.9939954, 8.661893 49.994326)",,,,
5037536,Nördliche Ringstraße,residential,50,False,False,76.89,"LINESTRING (8.662931 49.9931665, 8.664005 49.9931286)",,,,
5037536,Nördliche Ringstraße,residential,50,False,True,70.584,"LINESTRING (8.662931 49.9931665, 8.6619452 49.9932026)",,,,
5037979,Elisabethenstraße,residential,30,False,False,117.754,"LINESTRING (8.662931 49.9931665, 8.6627796 49.992112)",,,,
5037979,Elisabethenstraße,residential,30,False,True,143.023,"LINESTRING (8.662931 49.9931665, 8.6630498 49.9940467, 8.663049 49.9940908, 8.6630426 49.9941254, 8.6629454 49.9944431)",,,,
5037536,Nördliche Ringstraße,residential,50,False,False,101.086,"LINESTRING (8.664005 49.9931286, 8.6654162 49.9930706)",,,,
5037536,Nördliche Ringstraße,residential,50,False,True,76.89,"LINESTRING (8.664005 49.9931286, 8.662931 49.9931665)",,,,
5037915,Annastraße,residential,30,False,True,61.642,"LINESTRING (8.664005 49.9931286, 8.6639384 49.9925759)",,,,
131253276,Annastraße,residential,30,False,False,161.404,"LINESTRING (8.664005 49.9931286, 8.6641218 49.9945782)",,,,
5037536,Nördliche Ringstraße,residential,50,False,True,101.086,"LINESTRING (8.6654162 49.9930706, 8.664005 49.9931286)",,,,
131253281,Sofienstraße,residential,30,False,False,66.254,"LINESTRING (8.6654162 49.9930706, 8.6654065 49.9924748)",2,,,
5037536,Nördliche Ringstraße,residential,50,False,False,81.115,"LINESTRING (8.6654162 49.9930706, 8.6664019 49.9930697, 8.6665509 49.9930685)",,,,
5037919,Sofienstraße,residential,30,False,True,170.177,"LINESTRING (8.6654162 49.9930706, 8.6654393 49.9935202, 8.6654437 49.9936056, 8.6654949 49.9946002)",2,,,
52502749,Nördliche Ringstraße,residential,50,False,False,128.685,"LINESTRING (8.6665509 49.9930685, 8.668351 49.993059)",2,,,
52502968,Nordendstraße,residential,30,False,True,102.087,"LINESTRING (8.6665509 49.9930685, 8.6665976 49.9939861)",,,,
5037536,Nördliche Ringstraße,residential,50,False,True,81.115,"LINESTRING (8.6665509 49.9930685, 8.6664019 49.9930697, 8.6654162 49.9930706)",,,,
52502752,Nordendstraße,residential,30,False,False,78.488,"LINESTRING (8.6665509 49.9930685, 8.666549 49.9925621, 8.6665453 49.9924612, 8.6665375 49.9923628)",,5.9,,
52502749,Nördliche Ringstraße,residential,50,False,True,128.685,"LINESTRING (8.668351 49.993059, 8.6665509 49.9930685)",2,,,
52502970,Feldbergstraße,residential,,False,False,90.429,"LINESTRING (8.668351 49.993059, 8.6683648 49.9922458)",,6.7,,
"[52502969, 5037954]","['Westendstraße', 'Feldbergstraße']",residential,30,False,True,303.729,"LINESTRING (8.668351 49.993059, 8.6683393 49.9934576, 8.6683355 49.9935591, 8.6683141 49.994137, 8.6683098 49.9942527, 8.668293 49.9946359, 8.6682837 49.9947314, 8.6682454 49.9947295, 8.6666419 49.9946516)",,,,
