osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,junction,tunnel
11013226,Ludwig-Prager-Straße,residential,30,False,True,94.817,,"LINESTRING (12.0555301 47.8524515, 12.0560267 47.8532364)",,,
163751867,Aiblinger Straße,tertiary,50,False,False,127.849,RO 13,"LINESTRING (12.0555301 47.8524515, 12.055085 47.8525256, 12.0545947 47.8526203, 12.0545641 47.8526259, 12.0538759 47.8527507)",,,
"[1229691520, 163751867, 738053291]",Aiblinger Straße,tertiary,"['50', '30']",False,True,101.993,RO 13,"LINESTRING (12.0555301 47.8524515, 12.0556205 47.8524383, 12.0558884 47.8523993, 12.0562005 47.852355, 12.0566339 47.8522931, 12.0567298 47.8522743, 12.0567786 47.8522597, 12.0568194 47.8522378, 12.0568374 47.8522196)",,,
159671398,Haßlerstraße,tertiary,30,False,False,54.592999999999996,RO 13,"LINESTRING (12.0568374 47.8522196, 12.0568537 47.8521941, 12.0568564 47.8521717, 12.0568519 47.8520193, 12.0568564 47.8519489, 12.0568682 47.8518863, 12.0568881 47.8518335, 12.0569216 47.8517861, 12.0569668 47.8517491)",,,
"[819544776, 819544777, 738053290, 163751868]",Glasberg,residential,"['50', '30']",False,False,461.42,,"LINESTRING (12.0568374 47.8522196, 12.0569887 47.8522589, 12.057094 47.8522823, 12.0573835 47.8523457, 12.0575935 47.852369, 12.0576404 47.8523699, 12.0577169 47.8523713, 12.057858 47.8523555, 12.0580536 47.8523265, 12.0582894 47.8522915, 12.0584247 47.8522669, 12.0586434 47.8522403, 12.0588787 47.8522195, 12.0601573 47.8522086, 12.0621696 47.8521281, 12.0627116 47.8521226, 12.0628083 47.8521426, 12.062917 47.8522094)",,,
"[1229691520, 738053291, 163751867]",Aiblinger Straße,tertiary,"['50', '30']",False,False,101.99300000000001,RO 13,"LINESTRING (12.0568374 47.8522196, 12.0568194 47.8522378, 12.0567786 47.8522597, 12.0567298 47.8522743, 12.0566339 47.8522931, 12.0562005 47.852355, 12.0558884 47.8523993, 12.0556205 47.8524383, 12.0555301 47.8524515)",,,
159671398,Haßlerstraße,tertiary,30,False,True,54.593,RO 13,"LINESTRING (12.0569668 47.8517491, 12.0569216 47.8517861, 12.0568881 47.8518335, 12.0568682 47.8518863, 12.0568564 47.8519489, 12.0568519 47.8520193, 12.0568564 47.8521717, 12.0568537 47.8521941, 12.0568374 47.8522196)",,,
"[738053289, 738053276, 738053277]",Haßlerstraße,tertiary,"['50', '30']",False,False,126.609,RO 13,"LINESTRING (12.0569668 47.8517491, 12.057013 47.8517194, 12.0570781 47.8516951, 12.0571686 47.851675, 12.0572518 47.8516586, 12.0573247 47.8516458, 12.0574067 47.851637, 12.0578891 47.8516175, 12.0583198 47.8516038, 12.058623 47.8515965)",,,
159671405,Haßlerstraße,tertiary,50,True,False,15.370000000000001,RO 13,"LINESTRING (12.0608827 47.8514322, 12.0609056 47.8514322, 12.060928 47.8514355, 12.0609488 47.8514418, 12.0609671 47.8514511, 12.0609821 47.8514627, 12.060993 47.8514761, 12.0609995 47.8514909, 12.0610011 47.8515062, 12.0609979 47.8515214)",1,roundabout,
175636769,Haßlerstraße,residential,50,False,True,50.963,,"LINESTRING (12.0639415 47.8513783, 12.0638548 47.8514052, 12.0634909 47.8514598, 12.0632802 47.8514871)",,,
"[116633785, 19208148]",Grillparzerstraße,residential,"['50', '30']",False,False,140.004,,"LINESTRING (12.062917 47.8522094, 12.0628515 47.8522528, 12.0628131 47.8523072, 12.0627573 47.8524667, 12.0627437 47.8526222, 12.0627398 47.8527642, 12.0627519 47.8531032, 12.062764 47.8534395)",2,,
24854134,Grillparzerstraße,residential,50,False,False,22.762999999999998,,"LINESTRING (12.062917 47.8522094, 12.0630816 47.8522049, 12.0632217 47.8521995)",,,
"[819544776, 819544777, 738053290, 163751868]",Glasberg,residential,"['50', '30']",False,True,461.4199999999999,,"LINESTRING (12.062917 47.8522094, 12.0628083 47.8521426, 12.0627116 47.8521226, 12.0621696 47.8521281, 12.0601573 47.8522086, 12.0588787 47.8522195, 12.0586434 47.8522403, 12.0584247 47.8522669, 12.0582894 47.8522915, 12.0580536 47.8523265, 12.057858 47.8523555, 12.0577169 47.8523713, 12.0576404 47.8523699, 12.0575935 47.852369, 12.0573835 47.8523457, 12.057094 47.8522823, 12.0569887 47.8522589, 12.0568374 47.8522196)",,,
"[19208161, 41655762, 15788156]",,unclassified,50,False,False,70.613,,"LINESTRING (12.0632217 47.8521995, 12.0632188 47.8520418, 12.0632009 47.8518308, 12.063186 47.8516574, 12.0631855 47.8515651)",,,yes
24854134,Grillparzerstraße,residential,50,False,True,22.762999999999998,,"LINESTRING (12.0632217 47.8521995, 12.0630816 47.8522049, 12.062917 47.8522094)",,,
