osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge,junction,est_width
224418487,3,Siemensstraße,secondary,50,False,False,43.203,"LINESTRING (9.0697534 48.8229727, 9.0691646 48.8229466)",,,,,
6225191,,Schuckertstraße,unclassified,,False,False,103.436,"LINESTRING (9.0697534 48.8229727, 9.0697563 48.8229227, 9.0697462 48.8227775, 9.0697145 48.8226109, 9.0694752 48.8220663)",,,,,
"[8031081, 224418487]","['4', '3']",Siemensstraße,secondary,50,False,True,208.93900000000005,"LINESTRING (9.0697534 48.8229727, 9.0699394 48.8229784, 9.0701226 48.8229869, 9.0704223 48.8229973, 9.0706943 48.8230097, 9.0711358 48.8230289, 9.0711715 48.8230305, 9.0716151 48.8230486, 9.0722823 48.8230756, 9.0723344 48.8230779, 9.0726014 48.8230931)",,,,,
"[912456491, 342792947, 6225166]",2,Herdweg,unclassified,30,False,False,132.935,"LINESTRING (9.0726014 48.8230931, 9.0725746 48.8230333, 9.0725597 48.823, 9.0725411 48.8229621, 9.0725282 48.8229363, 9.0724913 48.8228755, 9.0724623 48.8228263, 9.072323 48.8226312, 9.0722013 48.8224711, 9.0721147 48.8223504, 9.0720146 48.8221807, 9.0719555 48.8219814)",,,,,
"[8031081, 224418487]","['4', '3']",Siemensstraße,secondary,50,False,False,208.93900000000002,"LINESTRING (9.0726014 48.8230931, 9.0723344 48.8230779, 9.0722823 48.8230756, 9.0716151 48.8230486, 9.0711715 48.8230305, 9.0711358 48.8230289, 9.0706943 48.8230097, 9.0704223 48.8229973, 9.0701226 48.8229869, 9.0699394 48.8229784, 9.0697534 48.8229727)",,,,,
152286660,3,Gerlinger Straße,secondary,50,False,True,32.884,"LINESTRING (9.0686962 48.8228963, 9.0686493 48.8228345, 9.0686042 48.8227726, 9.0685058 48.8226285)",L 1141,,,,
152286661,3,Gerlinger Straße,secondary,,False,False,38.415,"LINESTRING (9.0686962 48.8228963, 9.0687713 48.8229969, 9.0688285 48.8230605, 9.0688685 48.8230958, 9.0688952 48.8231214, 9.0689771 48.8231863)",L 1141,,,,
152286662,3,Siemensstraße,secondary,50,False,False,41.144,"LINESTRING (9.0686962 48.8228963, 9.0684924 48.822865, 9.0684124 48.8228437, 9.0683507 48.8228274, 9.0681687 48.8227729)",,,,,
"[976605852, 152286663]",3,Siemensstraße,secondary,50,False,True,34.781,"LINESTRING (9.0686962 48.8228963, 9.0689684 48.8229323, 9.0690239 48.8229377, 9.0691646 48.8229466)",,,,,
34657934,2,Hirschlander Straße,tertiary,,False,True,14.385,"LINESTRING (9.0628868 48.8272728, 9.0629606 48.8271529)",L 1177,,,,
