osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,tunnel,junction
244753765,2,St 2223,Bahnhofstraße,secondary,50,False,True,67.54,"LINESTRING (10.930118 49.1744748, 10.9310134 49.1746369)",,,,
"[82512867, 28151053]",2,St 2223,Bahnhofstraße,secondary,50,False,False,193.984,"LINESTRING (10.930118 49.1744748, 10.9288598 49.1741753, 10.9279827 49.1739709, 10.9277862 49.1738897, 10.927646 49.1738318)",,,,
"[221325429, 28776253, 221754070]",,,Obeltshauserstraße,residential,30,False,False,275.154,"LINESTRING (10.930118 49.1744748, 10.9299408 49.1747575, 10.929541 49.1751637, 10.9291097 49.1755194, 10.9288965 49.1756163, 10.9288314 49.1756227, 10.9286782 49.1756291, 10.9284501 49.1755831, 10.928179 49.1755017, 10.9279738 49.1754545, 10.9279001 49.1754375, 10.9277459 49.1753982, 10.9275162 49.1753603, 10.9273482 49.1753412)",5.4,,,
"[259917491, 972669846]",2,St 2223,Windsbacher Straße,secondary,50,False,True,239.492,"LINESTRING (10.9191525 49.1765849, 10.9194875 49.1763907, 10.919947 49.176189, 10.920095 49.1761331, 10.9203454 49.1760847, 10.9206237 49.1760644, 10.9209571 49.1760741, 10.9212093 49.176107, 10.9214803 49.1761603, 10.9221231 49.1763534)",,,,
34960343,,RH 13,Weingarter Straße,tertiary,50,False,True,44.969,"LINESTRING (10.9280001 49.1731628, 10.9282104 49.172884, 10.9282364 49.172792)",6.5,,,
"[34960385, 34960386, 244033919]",,,Industriestraße,"['residential', 'unclassified']",30,False,"[False, True]",332.189,"LINESTRING (10.9280001 49.1731628, 10.9281909 49.1731617, 10.9283763 49.1731768, 10.928591 49.1732559, 10.9291651 49.1734976, 10.9294318 49.1736046, 10.930135 49.1737415, 10.9307205 49.1738701, 10.9312676 49.1739903, 10.9312165 49.1741223, 10.9312103 49.1741383, 10.9310134 49.1746369)",,,,
42866420,2,RH 13,Weingarter Straße,tertiary,50,False,False,62.993,"LINESTRING (10.9280001 49.1731628, 10.9279358 49.1732407, 10.927808 49.1733956, 10.9277668 49.1734456, 10.9275742 49.173656)",,,,
34913366,,,Hofgasse,residential,,False,False,48.235,"LINESTRING (10.9265548 49.1743711, 10.9261769 49.1741818, 10.9259966 49.1741483)",,,,
34913406,2,St 2223,Hauptstraße,secondary,30,False,True,54.068,"LINESTRING (10.9265548 49.1743711, 10.9269376 49.1741117, 10.9270648 49.1740173)",,,,
227642095,2,St 2223,Hauptstraße,secondary,30,False,False,64.194,"LINESTRING (10.9265548 49.1743711, 10.9263101 49.174477, 10.9260259 49.1745644, 10.9257854 49.1746523)",,,,
244962106,,,Herrengasse,living_street,,False,True,94.138,"LINESTRING (10.9265548 49.1743711, 10.9266196 49.1746421, 10.9266112 49.174888, 10.9266098 49.1748959, 10.926554 49.1752122)",3.6,,,
221325428,,,Herrengasse,living_street,,False,True,34.061,"LINESTRING (10.926554 49.1752122, 10.9265275 49.1753793, 10.9266525 49.1754909)",3.8,,,
244962106,,,Herrengasse,living_street,,False,False,94.138,"LINESTRING (10.926554 49.1752122, 10.9266098 49.1748959, 10.9266112 49.174888, 10.9266196 49.1746421, 10.9265548 49.1743711)",3.6,,,
"[227642099, 1191464863]",1,,Stiftsgasse,residential,30,False,True,75.15899999999999,"LINESTRING (10.926554 49.1752122, 10.9262188 49.1752227, 10.926185 49.1752214, 10.9261225 49.175219, 10.9259143 49.1752995, 10.9257669 49.1753392, 10.925751 49.1754699)","['4', '2']",,,
34960419,,,Am Kirchplatz,residential,30,False,False,77.882,"LINESTRING (10.925588 49.1747394, 10.9256839 49.1748218, 10.9256839 49.1749481, 10.9256878 49.1750461, 10.9259691 49.1751015, 10.9262444 49.1751149)",7,,,
227642094,,St 2223,Hauptstraße,secondary,30,False,False,33.772999999999996,"LINESTRING (10.925588 49.1747394, 10.9253899 49.1748267, 10.9252334 49.174933)",,,,
227642094,,St 2223,Hauptstraße,secondary,30,False,True,17.314999999999998,"LINESTRING (10.925588 49.1747394, 10.9256854 49.1746947, 10.9257854 49.1746523)",,,,
34960425,,,Webergasse,residential,,False,False,33.444,"LINESTRING (10.9252334 49.174933, 10.9248229 49.1750688)",,,,
227642094,,St 2223,Hauptstraße,secondary,30,False,False,42.485,"LINESTRING (10.9252334 49.174933, 10.9251023 49.1750741, 10.9250176 49.1752839)",,,,
