osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,tunnel,width,bridge,access
22921098,Sankt-Albans-Gasse,living_street,5,False,False,96.005,"LINESTRING (12.0922627 49.0214253, 12.0921584 49.020937, 12.092069 49.0207999, 12.0919817 49.0206901, 12.0919173 49.0206389, 12.0918714 49.0206314)",,,,,
105499217,Keplerstraße,residential,30,False,False,144.584,"LINESTRING (12.0922627 49.0214253, 12.092957 49.021317, 12.093461 49.0212667, 12.0935045 49.0212594, 12.0935418 49.0212498, 12.0937935 49.0211441, 12.0938622 49.0211233, 12.0941583 49.0210926)",,,,,
138106164,Minoritenweg,residential,30,False,False,9.729,"LINESTRING (12.1018702 49.0173794, 12.1017368 49.0173781)",,,,,
"[976761139, 469685011, 5054883]",Minoritenweg,residential,30,False,True,136.858,"LINESTRING (12.1018702 49.0173794, 12.1020223 49.0173814, 12.1026682 49.0173838, 12.1028103 49.0173846, 12.1028518 49.0173798, 12.1029088 49.0173644, 12.1034056 49.0171828, 12.103568 49.0171234, 12.1036413 49.0171058)",3,,,,
"[27863771, 1084224861, 1084224862, 5054887]",Dachauplatz,"['residential', 'tertiary']",50,True,False,64.989,"LINESTRING (12.1018702 49.0173794, 12.1018527 49.0175367, 12.1017862 49.0177522, 12.1017744 49.0177904, 12.10175 49.0178696, 12.1016172 49.0178701)","['2', '3']",,,,
5054880,Drei-Kronen-Gasse,residential,30,True,False,38.521,"LINESTRING (12.1011447 49.0178567, 12.1007182 49.01785, 12.1006166 49.0178488)",1,,,,
"[899239112, 5054881]","['Dachauplatz', 'Dr.-Wunderle-Straße']",residential,,True,False,152.71699999999998,"LINESTRING (12.1011447 49.0178567, 12.1011045 49.0175993, 12.1010414 49.0172162, 12.1010154 49.0170581, 12.1009158 49.0165428, 12.1009061 49.0164923)",2,,,,
22992729,Königsstraße,residential,,True,False,67.851,"LINESTRING (12.1009061 49.0164923, 12.1017467 49.0164417, 12.1018326 49.0164365)",2,,,,
43300346,D.-Martin-Luther-Straße,tertiary,50,False,True,32.441,"LINESTRING (12.1018326 49.0164365, 12.1018255 49.0163076, 12.1018113 49.0161451)",3,,,,
"[727875588, 1084224857, 27863770, 34238238, 34238239]",D.-Martin-Luther-Straße,tertiary,50,True,False,105.29600000000002,"LINESTRING (12.1018326 49.0164365, 12.1018488 49.0166384, 12.1018508 49.016682, 12.1018527 49.016756, 12.1019041 49.0169981, 12.1019052 49.0170731, 12.1019048 49.0171839, 12.1019048 49.0171975, 12.1018902 49.0172741, 12.1018702 49.0173794)","['2', '1']",building_passage,,,
9934317,Maximilianstraße,living_street,,False,False,148.156,"LINESTRING (12.1006166 49.0178488, 12.1005221 49.0173388, 12.1003865 49.016525)",,,,,
