osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,junction
19730027,True,2,Bahnhofstraße,tertiary,30,False,73.145,"LINESTRING (8.1572582 50.1436355, 8.157224 50.1435861, 8.1571828 50.1435354, 8.1571585 50.143511, 8.1571285 50.1434895, 8.1571088 50.1434786, 8.1570802 50.1434658, 8.1570494 50.1434555, 8.156568 50.1433253, 8.1565362 50.1433143, 8.1565074 50.1433003, 8.1564824 50.1432836, 8.1564619 50.1432645)",,,
19730255,False,,An der Schmelze,residential,30,False,11.243,"LINESTRING (8.1564619 50.1432645, 8.1563124 50.1432968)",,,
"[19730027, 426144580]",True,2,Bahnhofstraße,tertiary,30,False,100.46000000000001,"LINESTRING (8.1564619 50.1432645, 8.156445 50.1432416, 8.1564346 50.1432171, 8.1564308 50.1431919, 8.1564285 50.142617, 8.1564286 50.1424734, 8.1564353 50.1424218, 8.1564552 50.1423661)",,,
323098379,False,2,Aarstraße,primary,50,True,7.133,"LINESTRING (8.1564552 50.1423661, 8.1563594 50.1423475)",B 275,,
323098379,False,2,Aarstraße,primary,50,False,91.095,"LINESTRING (8.155136 50.14211, 8.1553885 50.142159, 8.1557898 50.1422369, 8.1560076 50.1422792, 8.1560684 50.142291, 8.1563594 50.1423475)",B 275,,
426115486,False,3,Aarstraße,primary,50,True,59.504000000000005,"LINESTRING (8.155136 50.14211, 8.1549337 50.1420707, 8.1547521 50.1420354, 8.1546591 50.1420174, 8.1543369 50.1419548)",B 275,,
"[426115499, 19781556]",False,3,Mühlfeldstraße,residential,30,True,107.243,"LINESTRING (8.155136 50.14211, 8.1550924 50.1422082, 8.1549512 50.1425287, 8.1548438 50.1427219, 8.1546809 50.1430147, 8.1546739 50.1430273)",,,
19730255,False,,An der Schmelze,residential,30,True,11.243,"LINESTRING (8.1563124 50.1432968, 8.1564619 50.1432645)",,,
19730297,False,,An der Schmelze,residential,30,True,120.939,"LINESTRING (8.1563124 50.1432968, 8.1558909 50.14321, 8.1557032 50.1431842, 8.155231 50.1431404, 8.1550522 50.1431144, 8.1549719 50.1430959, 8.1548392 50.1430654, 8.1546739 50.1430273)",,,
19730297,False,,An der Schmelze,residential,30,False,120.93900000000002,"LINESTRING (8.1546739 50.1430273, 8.1548392 50.1430654, 8.1549719 50.1430959, 8.1550522 50.1431144, 8.155231 50.1431404, 8.1557032 50.1431842, 8.1558909 50.14321, 8.1563124 50.1432968)",,,
"[426115499, 19781556]",False,3,Mühlfeldstraße,residential,30,False,107.24300000000001,"LINESTRING (8.1546739 50.1430273, 8.1546809 50.1430147, 8.1548438 50.1427219, 8.1549512 50.1425287, 8.1550924 50.1422082, 8.155136 50.14211)",,,
