osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,bridge,ref
27372327,Zur Baumwolle,residential,30,False,False,93.114,"LINESTRING (13.0755742 50.8480165, 13.0755376 50.8479435, 13.0755836 50.8478315, 13.0757432 50.8477332, 13.0757738 50.8476597, 13.0756318 50.8475634, 13.0752176 50.8474231)",,,,
"[30986994, 27374747, 30917644, 30986995]",Zur Baumwolle,residential,30,False,False,273.356,"LINESTRING (13.0755742 50.8480165, 13.0754432 50.8481154, 13.0750066 50.8484306, 13.0745609 50.8487871, 13.0745685 50.8488482, 13.0747471 50.8489596, 13.0747517 50.8490931, 13.0746019 50.8492615, 13.0744452 50.8494545, 13.0742439 50.8497097, 13.0741718 50.8498034, 13.0740242 50.8499884, 13.0739991 50.8500172, 13.0739031 50.8500374)","['6', '3', '4.2']","['2', '1']",,
30917644,Zur Baumwolle,residential,30,False,True,183.643,"LINESTRING (13.0755742 50.8480165, 13.0757121 50.8479696, 13.0760131 50.8479818, 13.0773118 50.8475743, 13.0775655 50.8474494, 13.0776792 50.8473526, 13.077767 50.8472429)",4.2,,,
"[229131473, 130539215, 8663174, 31622777]",Seeberstraße,residential,30,False,True,79.705,"LINESTRING (13.0720192 50.8530297, 13.0721086 50.8531077, 13.0723259 50.8533023, 13.0725213 50.8534802, 13.072558 50.853498, 13.0727133 50.8535933)",,3,yes,
"[130539216, 914423187, 27554836, 252210041, 40005660]",Claußstraße,"['living_street', 'residential']",30,False,"[False, True]",322.03499999999997,"LINESTRING (13.0720192 50.8530297, 13.0721434 50.8529553, 13.0721856 50.8529301, 13.0723127 50.8528139, 13.0725834 50.8525288, 13.0726916 50.8524065, 13.0727818 50.8523054, 13.0728293 50.8522492, 13.0729167 50.8521722, 13.0729404 50.8521498, 13.0732654 50.8517799, 13.0733463 50.8516846, 13.0735546 50.8517546, 13.0739894 50.8512412, 13.0735227 50.8510901, 13.0734696 50.8510702, 13.0731795 50.8509806)",3,"['2', '1']",,
"[31821859, 249858027, 776159902]",Seeberstraße,residential,30,False,False,403.34600000000006,"LINESTRING (13.0720192 50.8530297, 13.0718679 50.8530176, 13.0714965 50.8530711, 13.0714246 50.85308, 13.0711479 50.8530817, 13.0709129 50.8530642, 13.0708072 50.8530393, 13.0705574 50.8529504, 13.0703728 50.8528357, 13.0703299 50.8527677, 13.0703271 50.8526813, 13.0703791 50.8526001, 13.0705405 50.8524055, 13.0710337 50.8518106, 13.0710703 50.8517182, 13.0710864 50.8516713, 13.071077 50.8515977, 13.0711044 50.8515385, 13.0714077 50.8511763, 13.0718616 50.8506341, 13.0718547 50.8505698)",6.5,,,
27374751,Zur Baumwolle,residential,30,False,False,103.681,"LINESTRING (13.0731795 50.8509806, 13.0728695 50.850876, 13.0722719 50.8506908, 13.0720644 50.8506249, 13.0720015 50.8506049, 13.0718547 50.8505698)",3,1,,
"[130539216, 914423187, 27554836, 252210041, 40005660]",Claußstraße,"['residential', 'living_street']",30,False,"[False, True]",322.03499999999997,"LINESTRING (13.0731795 50.8509806, 13.0734696 50.8510702, 13.0735227 50.8510901, 13.0739894 50.8512412, 13.0735546 50.8517546, 13.0733463 50.8516846, 13.0732654 50.8517799, 13.0729404 50.8521498, 13.0729167 50.8521722, 13.0728293 50.8522492, 13.0727818 50.8523054, 13.0726916 50.8524065, 13.0725834 50.8525288, 13.0723127 50.8528139, 13.0721856 50.8529301, 13.0721434 50.8529553, 13.0720192 50.8530297)",3,"['2', '1']",,
"[130539203, 130539204, 27372326]",Am Park,residential,30,False,True,174.798,"LINESTRING (13.0755167 50.8471971, 13.0756606 50.8470657, 13.0757596 50.8470491, 13.076052 50.8470513, 13.0762634 50.8470636, 13.076394 50.8470642, 13.0765469 50.8470292, 13.076801 50.8470003, 13.077011 50.846981, 13.0771082 50.8469969, 13.0772881 50.8470596, 13.077767 50.8472429)",,,yes,
27372327,Zur Baumwolle,residential,30,False,True,93.114,"LINESTRING (13.0752176 50.8474231, 13.0756318 50.8475634, 13.0757738 50.8476597, 13.0757432 50.8477332, 13.0755836 50.8478315, 13.0755376 50.8479435, 13.0755742 50.8480165)",,,,
