osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,est_width,bridge
701907621,Via Roncaiolo,residential,False,False,253.26299999999998,"LINESTRING (9.415588 45.9006447, 9.4155017 45.9006551, 9.415432 45.9006271, 9.4152028 45.9004303, 9.415043 45.900293, 9.4147936 45.9001848, 9.4147185 45.9001064, 9.4146514 45.9000504, 9.4146273 45.8999813, 9.4146192 45.8998618, 9.4145897 45.8997275, 9.4145316 45.8996221, 9.4144784 45.8997791, 9.4143136 45.9001285, 9.414344 45.9005184)",,,,,
922312140,Via Piani Resinelli,unclassified,False,False,517.409,"LINESTRING (9.415588 45.9006447, 9.4156737 45.9007125, 9.4157726 45.9007699, 9.4158833 45.9008575, 9.4159447 45.9009025, 9.4160337 45.9010009, 9.4160947 45.901104, 9.4161206 45.9012222, 9.4161186 45.901371, 9.4161177 45.9015083, 9.4160929 45.9016418, 9.4160748 45.9017601, 9.4160967 45.9018784, 9.4161349 45.9019522, 9.4161739 45.902008, 9.4162416 45.9021068, 9.4162924 45.9021537, 9.4163446 45.9021818, 9.4165134 45.902253, 9.4165963 45.902287, 9.4166205 45.9023139, 9.4166372 45.9023545, 9.4166193 45.9023981, 9.4165882 45.9024239, 9.4165451 45.9024398, 9.4164912 45.9024456, 9.4164359 45.9024349, 9.4163738 45.9024139, 9.4163333 45.9023829, 9.4162942 45.9023349, 9.4162597 45.9022777, 9.4162317 45.9022541, 9.4161197 45.9021718, 9.4159322 45.9020477, 9.4157877 45.9019509, 9.415701 45.9018838, 9.4155474 45.9017677, 9.4154158 45.9016723, 9.4152679 45.9015847, 9.4151401 45.9014816, 9.4150353 45.9013863, 9.4149895 45.9013405, 9.4149202 45.9012982, 9.4148625 45.9012726, 9.4147864 45.9012673, 9.4147149 45.9012744, 9.4146109 45.9013061, 9.4144774 45.9013519, 9.4143276 45.9014091, 9.4141674 45.9014664, 9.4140794 45.9014881, 9.4139816 45.9014899, 9.4139118 45.9014622, 9.4138537 45.9014283, 9.4137712 45.9013691)",1,30,yes,4,
"[307220713, 922312140, 922312141, 922312142, 922312143, 922312144, 922312145]",Via Piani Resinelli,unclassified,False,True,2820.199999999999,"LINESTRING (9.4074677 45.8967463, 9.4073452 45.8966562, 9.4072474 45.8966075, 9.4071473 45.896537, 9.4070913 45.8964586, 9.4070681 45.8963661, 9.4070768 45.8961487, 9.4070502 45.8959885, 9.4070301 45.8958587, 9.4069824 45.8956951, 9.4069223 45.8954586, 9.4068498 45.8952083, 9.4067793 45.8950295, 9.4067081 45.8948606, 9.4066838 45.8947316, 9.4066809 45.8945842, 9.406681 45.8943813, 9.4066551 45.8941984, 9.4066268 45.8940395, 9.4066075 45.8940038, 9.4065693 45.8939306, 9.4065253 45.8938719, 9.4065159 45.89384, 9.4065171 45.8938099, 9.4065421 45.8937893, 9.4065785 45.8937746, 9.4066185 45.8937757, 9.4066573 45.8937851, 9.406688 45.8938017, 9.4067091 45.8938519, 9.4067964 45.8940468, 9.4068699 45.894165, 9.4069271 45.8942795, 9.4070291 45.8944817, 9.4070586 45.8946008, 9.4071101 45.8947084, 9.4072117 45.8948546, 9.4073349 45.8950157, 9.4074257 45.8951605, 9.4075522 45.8953541, 9.4076187 45.8954602, 9.4076489 45.8955603, 9.4076764 45.8957355, 9.4077711 45.8958747, 9.4078517 45.8960603, 9.4079025 45.8961159, 9.4079197 45.8961347, 9.4080181 45.896192, 9.4081704 45.896254, 9.4084226 45.8963206, 9.4086255 45.8963605, 9.4089503 45.8964685, 9.409212 45.8965574, 9.409335 45.8966094, 9.409524 45.8967133, 9.4095602 45.8967438, 9.4096527 45.8967895, 9.4098654 45.8968582, 9.4100027 45.8969192, 9.4101432 45.8969909, 9.4102385 45.8970126, 9.4102878 45.8970099, 9.4103325 45.8969825, 9.4103548 45.8969422, 9.4103579 45.8969047, 9.4103427 45.8968834, 9.4102797 45.8968584, 9.4101486 45.89682, 9.4100103 45.8967552, 9.4097233 45.8966408, 9.4096899 45.8966141, 9.4096403 45.8965797, 9.4096136 45.8965569, 9.4095554 45.8964996, 9.4094801 45.8964196, 9.4094047 45.8963394, 9.4093742 45.8963166, 9.4092636 45.8962326, 9.4091243 45.8961449, 9.4090676 45.8961041, 9.4089827 45.8960474, 9.408905 45.8960114, 9.4087813 45.8959702, 9.4086411 45.8959176, 9.4085268 45.8958572, 9.4084603 45.8958068, 9.4084254 45.8957376, 9.4084156 45.8956589, 9.4084397 45.8955219, 9.4084525 45.8954149, 9.4084711 45.895279, 9.4084692 45.8951988, 9.4084768 45.8950844, 9.4084606 45.8949699, 9.4084587 45.8948708, 9.4084473 45.8947601, 9.4084482 45.8946457, 9.4084396 45.8945313, 9.4084301 45.894432, 9.4084224 45.8943024, 9.408388 45.8941093, 9.4083937 45.8939862, 9.408393 45.8938749, 9.4084558 45.8937264, 9.4084873 45.8936043, 9.4085159 45.8934747, 9.4085252 45.8934206, 9.4085378 45.8933446, 9.4085421 45.8932969, 9.4085575 45.8932697, 9.4085845 45.893249, 9.4086205 45.8932368, 9.4086784 45.893236, 9.4087224 45.893255, 9.4087398 45.8932791, 9.4087294 45.8933241, 9.4087182 45.8933464, 9.408681 45.8933994, 9.4086285 45.8935166, 9.4086009 45.8937078, 9.4085875 45.8939247, 9.4086121 45.894053, 9.4087143 45.8942223, 9.4087982 45.8943673, 9.4088562 45.894476, 9.4089381 45.8945985, 9.4090201 45.894764, 9.4090707 45.8948827, 9.4090707 45.8950124, 9.4090683 45.8951216, 9.4090604 45.8952814, 9.4090703 45.8953836, 9.4090814 45.8954691, 9.4091206 45.8955319, 9.4091877 45.8955709, 9.4092943 45.89559, 9.4094104 45.895582, 9.4095634 45.8955648, 9.409751 45.8955269, 9.4099732 45.8955137, 9.4103083 45.8954976, 9.4104439 45.8954945, 9.410624 45.8954815, 9.4107808 45.8954901, 9.4109291 45.8955267, 9.4110426 45.8955894, 9.4111288 45.8956604, 9.4112414 45.8957374, 9.4113054 45.8958061, 9.4113722 45.8958841, 9.4114262 45.8959826, 9.4114546 45.8960774, 9.4114728 45.8961889, 9.411541 45.896284, 9.4116289 45.8963366, 9.411748 45.8963722, 9.4118282 45.8963966, 9.4118753 45.8964329, 9.4119263 45.8964812, 9.4119648 45.8965235, 9.4120151 45.8965649, 9.4120648 45.8965872, 9.4121147 45.8965911, 9.4121548 45.896573, 9.4121674 45.896549, 9.4121372 45.8964849, 9.4121128 45.8964488, 9.4120767 45.8964144, 9.4119938 45.8963586, 9.4119232 45.8963211, 9.4118537 45.8962845, 9.4118026 45.8962333, 9.4117995 45.8961725, 9.4118269 45.8961022, 9.4119044 45.8959961, 9.4119391 45.8958863, 9.4119495 45.8958066, 9.4119263 45.8956413, 9.4118986 45.8955307, 9.4118718 45.8954622, 9.4118482 45.895419, 9.4118091 45.8953637, 9.4117882 45.895327, 9.4117924 45.8952987, 9.41182 45.8952836, 9.4118466 45.8952774, 9.4118884 45.8952845, 9.4119178 45.8953022, 9.4119332 45.8953298, 9.4120044 45.895534, 9.4120774 45.8956478, 9.4121346 45.8957827, 9.4121829 45.8959084, 9.4122285 45.8960304, 9.4122843 45.8960896, 9.41237 45.8961401, 9.4125045 45.8961886, 9.4126616 45.8962621, 9.4127468 45.8963327, 9.4127633 45.8964663, 9.4127509 45.8966151, 9.4127147 45.8968215, 9.4126534 45.8970442, 9.412665 45.897221, 9.4127012 45.8973581, 9.4127034 45.8974739, 9.4126307 45.8976208, 9.4126059 45.8977446, 9.4126345 45.8978758, 9.4127243 45.8979938, 9.4127809 45.8981065, 9.4128095 45.8981999, 9.412798 45.8983536, 9.412734 45.8984604, 9.4127102 45.8985096, 9.4127089 45.8985689, 9.4127339 45.8986204, 9.4127828 45.898666, 9.412896 45.8987395, 9.4129913 45.8987917, 9.413081 45.8988646, 9.4131993 45.8990211, 9.4132937 45.8991428, 9.4133881 45.8993053, 9.4134882 45.8994513, 9.413526 45.8995962, 9.4135198 45.8997518, 9.4134738 45.8998079, 9.413414 45.8998833, 9.4133892 45.8999825, 9.4133949 45.9001236, 9.413394 45.9001455, 9.4133882 45.9002914, 9.4134246 45.9004482, 9.4134827 45.900589, 9.4135263 45.9007175, 9.4135905 45.9009028, 9.4136248 45.9010162, 9.4136409 45.901165, 9.4137154 45.90131, 9.4137712 45.9013691)",1,30,yes,4,yes
701907624,,residential,False,False,146.451,"LINESTRING (9.4074677 45.8967463, 9.4075681 45.8967146, 9.4076818 45.8967525, 9.4082669 45.8970805, 9.4086838 45.8973196, 9.4089207 45.8975125)",,,,,
701907623,Via Valgrande,residential,False,False,19.797,"LINESTRING (9.4137712 45.9013691, 9.4137337 45.9014278, 9.4137284 45.9014912, 9.4137552 45.9015379)",,,,,
"[307220713, 922312140, 922312141, 922312142, 922312143, 922312144, 922312145]",Via Piani Resinelli,unclassified,False,False,2820.2000000000003,"LINESTRING (9.4137712 45.9013691, 9.4137154 45.90131, 9.4136409 45.901165, 9.4136248 45.9010162, 9.4135905 45.9009028, 9.4135263 45.9007175, 9.4134827 45.900589, 9.4134246 45.9004482, 9.4133882 45.9002914, 9.413394 45.9001455, 9.4133949 45.9001236, 9.4133892 45.8999825, 9.413414 45.8998833, 9.4134738 45.8998079, 9.4135198 45.8997518, 9.413526 45.8995962, 9.4134882 45.8994513, 9.4133881 45.8993053, 9.4132937 45.8991428, 9.4131993 45.8990211, 9.413081 45.8988646, 9.4129913 45.8987917, 9.412896 45.8987395, 9.4127828 45.898666, 9.4127339 45.8986204, 9.4127089 45.8985689, 9.4127102 45.8985096, 9.412734 45.8984604, 9.412798 45.8983536, 9.4128095 45.8981999, 9.4127809 45.8981065, 9.4127243 45.8979938, 9.4126345 45.8978758, 9.4126059 45.8977446, 9.4126307 45.8976208, 9.4127034 45.8974739, 9.4127012 45.8973581, 9.412665 45.897221, 9.4126534 45.8970442, 9.4127147 45.8968215, 9.4127509 45.8966151, 9.4127633 45.8964663, 9.4127468 45.8963327, 9.4126616 45.8962621, 9.4125045 45.8961886, 9.41237 45.8961401, 9.4122843 45.8960896, 9.4122285 45.8960304, 9.4121829 45.8959084, 9.4121346 45.8957827, 9.4120774 45.8956478, 9.4120044 45.895534, 9.4119332 45.8953298, 9.4119178 45.8953022, 9.4118884 45.8952845, 9.4118466 45.8952774, 9.41182 45.8952836, 9.4117924 45.8952987, 9.4117882 45.895327, 9.4118091 45.8953637, 9.4118482 45.895419, 9.4118718 45.8954622, 9.4118986 45.8955307, 9.4119263 45.8956413, 9.4119495 45.8958066, 9.4119391 45.8958863, 9.4119044 45.8959961, 9.4118269 45.8961022, 9.4117995 45.8961725, 9.4118026 45.8962333, 9.4118537 45.8962845, 9.4119232 45.8963211, 9.4119938 45.8963586, 9.4120767 45.8964144, 9.4121128 45.8964488, 9.4121372 45.8964849, 9.4121674 45.896549, 9.4121548 45.896573, 9.4121147 45.8965911, 9.4120648 45.8965872, 9.4120151 45.8965649, 9.4119648 45.8965235, 9.4119263 45.8964812, 9.4118753 45.8964329, 9.4118282 45.8963966, 9.411748 45.8963722, 9.4116289 45.8963366, 9.411541 45.896284, 9.4114728 45.8961889, 9.4114546 45.8960774, 9.4114262 45.8959826, 9.4113722 45.8958841, 9.4113054 45.8958061, 9.4112414 45.8957374, 9.4111288 45.8956604, 9.4110426 45.8955894, 9.4109291 45.8955267, 9.4107808 45.8954901, 9.410624 45.8954815, 9.4104439 45.8954945, 9.4103083 45.8954976, 9.4099732 45.8955137, 9.409751 45.8955269, 9.4095634 45.8955648, 9.4094104 45.895582, 9.4092943 45.89559, 9.4091877 45.8955709, 9.4091206 45.8955319, 9.4090814 45.8954691, 9.4090703 45.8953836, 9.4090604 45.8952814, 9.4090683 45.8951216, 9.4090707 45.8950124, 9.4090707 45.8948827, 9.4090201 45.894764, 9.4089381 45.8945985, 9.4088562 45.894476, 9.4087982 45.8943673, 9.4087143 45.8942223, 9.4086121 45.894053, 9.4085875 45.8939247, 9.4086009 45.8937078, 9.4086285 45.8935166, 9.408681 45.8933994, 9.4087182 45.8933464, 9.4087294 45.8933241, 9.4087398 45.8932791, 9.4087224 45.893255, 9.4086784 45.893236, 9.4086205 45.8932368, 9.4085845 45.893249, 9.4085575 45.8932697, 9.4085421 45.8932969, 9.4085378 45.8933446, 9.4085252 45.8934206, 9.4085159 45.8934747, 9.4084873 45.8936043, 9.4084558 45.8937264, 9.408393 45.8938749, 9.4083937 45.8939862, 9.408388 45.8941093, 9.4084224 45.8943024, 9.4084301 45.894432, 9.4084396 45.8945313, 9.4084482 45.8946457, 9.4084473 45.8947601, 9.4084587 45.8948708, 9.4084606 45.8949699, 9.4084768 45.8950844, 9.4084692 45.8951988, 9.4084711 45.895279, 9.4084525 45.8954149, 9.4084397 45.8955219, 9.4084156 45.8956589, 9.4084254 45.8957376, 9.4084603 45.8958068, 9.4085268 45.8958572, 9.4086411 45.8959176, 9.4087813 45.8959702, 9.408905 45.8960114, 9.4089827 45.8960474, 9.4090676 45.8961041, 9.4091243 45.8961449, 9.4092636 45.8962326, 9.4093742 45.8963166, 9.4094047 45.8963394, 9.4094801 45.8964196, 9.4095554 45.8964996, 9.4096136 45.8965569, 9.4096403 45.8965797, 9.4096899 45.8966141, 9.4097233 45.8966408, 9.4100103 45.8967552, 9.4101486 45.89682, 9.4102797 45.8968584, 9.4103427 45.8968834, 9.4103579 45.8969047, 9.4103548 45.8969422, 9.4103325 45.8969825, 9.4102878 45.8970099, 9.4102385 45.8970126, 9.4101432 45.8969909, 9.4100027 45.8969192, 9.4098654 45.8968582, 9.4096527 45.8967895, 9.4095602 45.8967438, 9.409524 45.8967133, 9.409335 45.8966094, 9.409212 45.8965574, 9.4089503 45.8964685, 9.4086255 45.8963605, 9.4084226 45.8963206, 9.4081704 45.896254, 9.4080181 45.896192, 9.4079197 45.8961347, 9.4079025 45.8961159, 9.4078517 45.8960603, 9.4077711 45.8958747, 9.4076764 45.8957355, 9.4076489 45.8955603, 9.4076187 45.8954602, 9.4075522 45.8953541, 9.4074257 45.8951605, 9.4073349 45.8950157, 9.4072117 45.8948546, 9.4071101 45.8947084, 9.4070586 45.8946008, 9.4070291 45.8944817, 9.4069271 45.8942795, 9.4068699 45.894165, 9.4067964 45.8940468, 9.4067091 45.8938519, 9.406688 45.8938017, 9.4066573 45.8937851, 9.4066185 45.8937757, 9.4065785 45.8937746, 9.4065421 45.8937893, 9.4065171 45.8938099, 9.4065159 45.89384, 9.4065253 45.8938719, 9.4065693 45.8939306, 9.4066075 45.8940038, 9.4066268 45.8940395, 9.4066551 45.8941984, 9.406681 45.8943813, 9.4066809 45.8945842, 9.4066838 45.8947316, 9.4067081 45.8948606, 9.4067793 45.8950295, 9.4068498 45.8952083, 9.4069223 45.8954586, 9.4069824 45.8956951, 9.4070301 45.8958587, 9.4070502 45.8959885, 9.4070768 45.8961487, 9.4070681 45.8963661, 9.4070913 45.8964586, 9.4071473 45.896537, 9.4072474 45.8966075, 9.4073452 45.8966562, 9.4074677 45.8967463)",1,30,yes,4,yes
922312140,Via Piani Resinelli,unclassified,False,True,517.409,"LINESTRING (9.4137712 45.9013691, 9.4138537 45.9014283, 9.4139118 45.9014622, 9.4139816 45.9014899, 9.4140794 45.9014881, 9.4141674 45.9014664, 9.4143276 45.9014091, 9.4144774 45.9013519, 9.4146109 45.9013061, 9.4147149 45.9012744, 9.4147864 45.9012673, 9.4148625 45.9012726, 9.4149202 45.9012982, 9.4149895 45.9013405, 9.4150353 45.9013863, 9.4151401 45.9014816, 9.4152679 45.9015847, 9.4154158 45.9016723, 9.4155474 45.9017677, 9.415701 45.9018838, 9.4157877 45.9019509, 9.4159322 45.9020477, 9.4161197 45.9021718, 9.4162317 45.9022541, 9.4162597 45.9022777, 9.4162942 45.9023349, 9.4163333 45.9023829, 9.4163738 45.9024139, 9.4164359 45.9024349, 9.4164912 45.9024456, 9.4165451 45.9024398, 9.4165882 45.9024239, 9.4166193 45.9023981, 9.4166372 45.9023545, 9.4166205 45.9023139, 9.4165963 45.902287, 9.4165134 45.902253, 9.4163446 45.9021818, 9.4162924 45.9021537, 9.4162416 45.9021068, 9.4161739 45.902008, 9.4161349 45.9019522, 9.4160967 45.9018784, 9.4160748 45.9017601, 9.4160929 45.9016418, 9.4161177 45.9015083, 9.4161186 45.901371, 9.4161206 45.9012222, 9.4160947 45.901104, 9.4160337 45.9010009, 9.4159447 45.9009025, 9.4158833 45.9008575, 9.4157726 45.9007699, 9.4156737 45.9007125, 9.415588 45.9006447)",1,30,yes,4,
749891189,Via Valgrande,residential,False,True,84.22100000000002,"LINESTRING (9.4144445 45.9020191, 9.4143651 45.9019368, 9.414293 45.9018635, 9.4142672 45.9017671, 9.4142616 45.9017144, 9.4142394 45.9016591, 9.4141785 45.9016308, 9.414051 45.9016038, 9.4138977 45.9015755, 9.4138171 45.901562, 9.4137552 45.9015379)",,,,,
701907623,Via Valgrande,residential,False,False,463.1960000000001,"LINESTRING (9.4137552 45.9015379, 9.4137686 45.9015958, 9.4137552 45.9016294, 9.4136962 45.9016611, 9.4136532 45.9016574, 9.4136023 45.9016219, 9.4135781 45.9015734, 9.4135433 45.901551, 9.4135084 45.9015566, 9.4134521 45.9016088, 9.413436 45.9016667, 9.413436 45.9017619, 9.4134467 45.9018104, 9.4134574 45.9018608, 9.4134414 45.9018869, 9.4133984 45.9018925, 9.4133287 45.9018739, 9.4132831 45.9018328, 9.4132295 45.901775, 9.4131731 45.9017432, 9.4131222 45.9017414, 9.4130927 45.9017899, 9.4131195 45.9018496, 9.4131383 45.9018963, 9.4131383 45.9019579, 9.4131329 45.9020139, 9.4131758 45.9020904, 9.4132509 45.9021333, 9.4132858 45.9021893, 9.413267 45.9022229, 9.4132026 45.9022341, 9.4130766 45.902236, 9.41298 45.9022229, 9.4128995 45.9022043, 9.4128003 45.9021781, 9.4127333 45.9021408, 9.4126608 45.9020941, 9.4125884 45.9020792, 9.4125428 45.9020941, 9.4125321 45.9021296, 9.4125562 45.9022043, 9.4126313 45.9023405, 9.4126474 45.9023853, 9.4126313 45.9024114, 9.4125965 45.9024208, 9.4125187 45.9024245, 9.4124489 45.9024002, 9.4123551 45.9023536, 9.4122639 45.9022789, 9.4121834 45.9022248, 9.4121163 45.9022211, 9.4120654 45.9022416, 9.4120359 45.9023181, 9.4120466 45.9023984, 9.4120493 45.9024674, 9.4120439 45.9025589, 9.4120278 45.9026317, 9.411993 45.9026839, 9.4119474 45.9027157, 9.4119044 45.9027213, 9.4118642 45.9027063, 9.4118213 45.9026634, 9.4118106 45.9025981, 9.4118079 45.9025384, 9.4117811 45.9024693, 9.4117247 45.9023946, 9.4116604 45.9023144, 9.4116094 45.9023013, 9.4115745 45.9023069, 9.411537 45.9023424, 9.4115289 45.9024096, 9.4115424 45.9024749, 9.4115021 45.9025477)",,,,,
701907623,Via Valgrande,residential,False,True,19.797,"LINESTRING (9.4137552 45.9015379, 9.4137284 45.9014912, 9.4137337 45.9014278, 9.4137712 45.9013691)",,,,,
