osmid,lanes,highway,junction,oneway,reversed,length,geometry,ref,name,maxspeed,tunnel,bridge
5009336,1,secondary,roundabout,True,False,15.936,"LINESTRING (6.8545082 51.8455513, 6.8545424 51.84556, 6.8545819 51.8455776, 6.8546122 51.8456013, 6.854631 51.845629, 6.8546371 51.8456589)",,,,,
11804395,,secondary,,False,False,116.51400000000001,"LINESTRING (6.8545082 51.8455513, 6.8545374 51.8454802, 6.8545792 51.8453355, 6.8546212 51.8451752, 6.8547006 51.8448646, 6.8547755 51.8445907, 6.8548135 51.8445217)",K 7,Butenwall,50,,
5009336,1,secondary,roundabout,True,False,25.442999999999998,"LINESTRING (6.8544785 51.8457674, 6.8544085 51.845764, 6.8543544 51.8457479, 6.8543119 51.8457217, 6.8542858 51.8456883, 6.854279 51.8456514, 6.8542923 51.8456153)",,,,,
1257153838,,secondary,,False,True,77.082,"LINESTRING (6.8544785 51.8457674, 6.8544864 51.845808, 6.8544826 51.8458578, 6.8544596 51.8460173, 6.8544467 51.8461025, 6.8544254 51.8462431, 6.8544086 51.8464584)",K 7,Butenwall,50,,
5009336,1,secondary,roundabout,True,False,17.7,"LINESTRING (6.8546371 51.8456589, 6.8546284 51.8456916, 6.8546045 51.8457212, 6.8545675 51.8457451, 6.8545207 51.8457612, 6.8544785 51.8457674)",,,,,
11804394,,residential,,False,False,114.97200000000001,"LINESTRING (6.8546371 51.8456589, 6.8548069 51.8456681, 6.8552901 51.8457585, 6.8557102 51.8458371, 6.8562426 51.8459432)",,Im Piepershagen,50,,
30722308,1,residential,,False,True,142.89100000000002,"LINESTRING (6.8631379 51.8480043, 6.8630245 51.8480038, 6.8621494 51.8479251, 6.8617205 51.8478906, 6.8614045 51.8478715, 6.8612216 51.8478596, 6.8610739 51.8478499)",,Kardinal-von-Galen-Straße,30,,
47197344,2,secondary,,False,False,39.372,"LINESTRING (6.8631379 51.8480043, 6.8631591 51.8477772, 6.8631734 51.8476509)",L 600,Heidener Straße,50,,
"[47197344, 506010748, 530609124, 506010749]","['2', '3']",secondary,,False,True,99.96599999999998,"LINESTRING (6.8631379 51.8480043, 6.8631385 51.8482045, 6.8631428 51.8486333, 6.8631449 51.8487635, 6.8631471 51.8489033)",L 600,Heidener Straße,50,,
5055348,3,residential,,False,True,33.150999999999996,"LINESTRING (6.8637773 51.8442642, 6.8641055 51.8442435, 6.8642565 51.8442296)",,Von-Basse-Straße,50,,
186751061,,residential,,False,False,40.223,"LINESTRING (6.8637773 51.8442642, 6.8635392 51.8442682, 6.8632798 51.8443058, 6.8632027 51.8443209)",,Mühlenstraße,50,,
