osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes,junction,width,access
4099196,True,Deuringer Straße,tertiary,30,False,3.876,"LINESTRING (10.8376613 48.3656965, 10.837702 48.3657185)",,,,,
"[23375584, 77186463]",False,Ahornweg,residential,30,"[False, True]",71.547,"LINESTRING (10.8376613 48.3656965, 10.8376907 48.3656543, 10.8377497 48.3654964, 10.8383453 48.3654966, 10.8383991 48.3654822)",,,,,
4087944,False,Holderstraße,residential,30,True,52.06,"LINESTRING (10.8429164 48.367676, 10.8428936 48.3678101, 10.8428548 48.3678817, 10.8427484 48.3679824, 10.8426366 48.3680704, 10.8426192 48.3680854)",,,,,
37774591,False,Deuringer Straße,tertiary,30,False,10.882,"LINESTRING (10.8429164 48.367676, 10.8429912 48.3676539, 10.8430371 48.3676229)",,,,,
77186457,False,Deuringer Straße,tertiary,30,True,360.0369999999999,"LINESTRING (10.8429164 48.367676, 10.8426258 48.3676815, 10.8425056 48.3676838, 10.8421632 48.3676728, 10.8418728 48.367624, 10.8413078 48.3675077, 10.8409729 48.3674664, 10.8408073 48.3674476, 10.8406458 48.3674151, 10.8405107 48.3673629, 10.8404091 48.3672888, 10.840371 48.3672435, 10.8403281 48.3671945, 10.8402123 48.3670653, 10.8401021 48.3669769, 10.8399909 48.3668869, 10.8397513 48.3667528, 10.8393128 48.3665072, 10.8388138 48.366263)",,,,,
4087973,False,Ringstraße,residential,30,True,40.278999999999996,"LINESTRING (10.8430371 48.3676229, 10.8430846 48.3676429, 10.8433344 48.3677484, 10.8434838 48.3678296)",,,,,
4098911,False,Ringstraße,tertiary,30,False,120.543,"LINESTRING (10.8430371 48.3676229, 10.8430864 48.3675535, 10.8430948 48.3674818, 10.8431068 48.3673798, 10.8431087 48.3673636, 10.8431159 48.3673159, 10.8431322 48.3672072, 10.8431413 48.3671551, 10.843151 48.3670995, 10.8431608 48.3670722, 10.8431972 48.3669703, 10.8432159 48.3669256, 10.8432363 48.3668765, 10.8432933 48.3667822, 10.8433641 48.366692, 10.8434318 48.3666386, 10.843487 48.3666077)",,,,,
37774591,False,Deuringer Straße,tertiary,30,True,10.882,"LINESTRING (10.8430371 48.3676229, 10.8429912 48.3676539, 10.8429164 48.367676)",,,,,
4098911,False,Ringstraße,tertiary,30,False,71.901,"LINESTRING (10.843487 48.3666077, 10.8435816 48.3665877, 10.8436912 48.3665865, 10.8437069 48.3665878, 10.8438864 48.3666027, 10.8440858 48.3666192, 10.8441187 48.3666225, 10.8442008 48.3666308, 10.8442688 48.3666376, 10.8444484 48.3666557)",,,,,
4098911,False,Ringstraße,tertiary,30,True,120.543,"LINESTRING (10.843487 48.3666077, 10.8434318 48.3666386, 10.8433641 48.366692, 10.8432933 48.3667822, 10.8432363 48.3668765, 10.8432159 48.3669256, 10.8431972 48.3669703, 10.8431608 48.3670722, 10.843151 48.3670995, 10.8431413 48.3671551, 10.8431322 48.3672072, 10.8431159 48.3673159, 10.8431087 48.3673636, 10.8431068 48.3673798, 10.8430948 48.3674818, 10.8430864 48.3675535, 10.8430371 48.3676229)",,,,,
