osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,width,bridge
10378376,Maisacher Straße,unclassified,40,False,True,32.583999999999996,"LINESTRING (11.2551884 48.1837276, 11.2551876 48.1837214, 11.2551845 48.1834346)",,,,,
28719551,Feuerhausstraße,unclassified,30,False,True,29.578,"LINESTRING (11.2551884 48.1837276, 11.2552945 48.1837233, 11.2555865 48.1837102)",,,,,
28719551,Feuerhausstraße,unclassified,30,False,False,29.578,"LINESTRING (11.2555865 48.1837102, 11.2552945 48.1837233, 11.2551884 48.1837276)",,,,,
28719551,Feuerhausstraße,unclassified,30,False,True,225.883,"LINESTRING (11.2555865 48.1837102, 11.2557891 48.1836435, 11.2559448 48.1835614, 11.2560899 48.1834603, 11.2562013 48.1833217, 11.2563097 48.1831385, 11.2564186 48.1829626, 11.2568412 48.1819366)",,,,,
8092467,Feuerhausstraße,unclassified,30,False,False,130.189,"LINESTRING (11.2576513 48.1800294, 11.2576221 48.1800991, 11.2575421 48.1802957, 11.2573169 48.180848, 11.25719 48.1811591)",,,,,
28719552,Dachauer Straße,tertiary,,False,False,108.845,"LINESTRING (11.2576513 48.1800294, 11.2574641 48.1800002, 11.257305 48.1799695, 11.2571991 48.179949, 11.2570055 48.1799116, 11.2568422 48.1798801, 11.2567686 48.1798659, 11.2565496 48.1798212, 11.2562447 48.1797508)",2,,,,
1062926555,Dachauer Straße,tertiary,50,False,True,91.87,"LINESTRING (11.2576513 48.1800294, 11.2584735 48.18011, 11.2588772 48.1801496)",2,,,,
38478459,Augsburger Straße,primary,50,False,False,49.93699999999999,"LINESTRING (11.2548622 48.1798908, 11.2549616 48.1796708, 11.2549722 48.1796448, 11.2549786 48.1796085, 11.254974 48.1795709, 11.25496 48.1795357, 11.2549378 48.1795036, 11.2548978 48.1794657)",2,B 2,,,
"[1062926554, 32147498, 468906086]",Augsburger Straße,primary,50,False,True,87.658,"LINESTRING (11.2548622 48.1798908, 11.2547525 48.180102, 11.2546982 48.180209, 11.2546804 48.1802419, 11.2545206 48.1805474, 11.2544967 48.1805889, 11.2544711 48.1806347)","['4', '3']",B 2,,,
13862360,,residential,,False,True,10.529,"LINESTRING (11.2543238 48.1809091, 11.2544564 48.180943)",,,,,
