osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,bridge,access
29181339,True,2,B 109;B 198,primary,50,False,15.268,,"LINESTRING (13.8623708 53.3167315, 13.8624659 53.3168565)",,
33648006,True,2,L 26,secondary,50,False,170.26500000000001,Brüssower Allee,"LINESTRING (13.8623708 53.3167315, 13.862518 53.3167431, 13.8625592 53.3167464, 13.8626372 53.3167539, 13.8627787 53.3167684, 13.8630791 53.3167957, 13.8632314 53.316812, 13.8636962 53.3168703, 13.8640374 53.3169291, 13.8644312 53.3170057, 13.8648132 53.3171453)",,
237796753,True,1,B 109,primary,50,False,9.932,Vincentstraße,"LINESTRING (13.8619349 53.3138337, 13.861788 53.3138503)",,
32605783,False,2,,residential,50,False,87.49900000000001,Wallgasse,"LINESTRING (13.8619349 53.3138337, 13.8620729 53.3138379, 13.8621279 53.3138396, 13.8629652 53.3138572, 13.8632511 53.3138632)",,
"[8081634, 237796757]",True,"['2', '3']",B 109;B 198,primary,50,False,326.37100000000004,Baustraße,"LINESTRING (13.8619349 53.3138337, 13.8619056 53.3140067, 13.8618755 53.3142084, 13.8618411 53.3144568, 13.8618301 53.3146377, 13.8618352 53.3147136, 13.8618443 53.3148487, 13.8618568 53.3150334, 13.8618667 53.3151509, 13.8618969 53.3153783, 13.8619368 53.3156287, 13.8619632 53.3157458, 13.8620066 53.3159347, 13.8620929 53.316142, 13.8622764 53.3165593, 13.862283 53.3165727, 13.8622878 53.3165809, 13.8623121 53.3166211, 13.8623233 53.3166426, 13.8623708 53.3167315)",,
333509509,False,,,residential,50,True,22.054000000000002,Winterfeldtstraße,"LINESTRING (13.8646511 53.3200485, 13.8645181 53.3200616, 13.8644923 53.3200639, 13.8643637 53.3200724, 13.8643222 53.3200752)",,
642303894,True,1,B 109,primary,50,False,61.022,Stettiner Straße,"LINESTRING (13.8646511 53.3200485, 13.8647412 53.3201549, 13.8648011 53.320329, 13.864848 53.3204852, 13.8648407 53.3205782)",,
"[642303903, 1236025767]",False,3,B 109,primary,50,True,58.602,Stettiner Straße,"LINESTRING (13.8646511 53.3200485, 13.8645979 53.3199271, 13.8645784 53.3198827, 13.8644726 53.3196414, 13.8644066 53.3195428)",,
237796745,False,3,B 109,primary,50,True,83.273,Stettiner Straße,"LINESTRING (13.864096 53.3191486, 13.8635376 53.3184781)",,
642303906,False,2,B 109,primary,50,False,10.497,Stettiner Straße,"LINESTRING (13.864096 53.3191486, 13.8641637 53.3192339)",,
