osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,bridge
23842123,2,B 168,August-Bebel-Straße,primary,50,False,False,93.99799999999999,"LINESTRING (14.4056441 51.8597336, 14.4044295 51.8600134, 14.4043619 51.8600295)",,
"[28042369, 713673187]",,,Luisenstraße,residential,"['50', '30']",False,False,136.617,"LINESTRING (14.4056441 51.8597336, 14.4055935 51.8596602, 14.4048647 51.8586032)",,
27580227,,,An der Glashütte,residential,50,False,False,136.31900000000002,"LINESTRING (14.4118895 51.8615203, 14.4117496 51.8617792, 14.4116709 51.8621406, 14.4115291 51.8627224)",,
150925637,,,Grüner Weg,residential,50,False,False,37.095,"LINESTRING (14.4118895 51.8615203, 14.411731 51.8614906, 14.4115549 51.8614858, 14.411358 51.8615002)",,
150925637,,,Grüner Weg,residential,50,False,True,165.704,"LINESTRING (14.4118895 51.8615203, 14.4124182 51.8617167, 14.4131027 51.8619933, 14.4134144 51.8620849, 14.4140006 51.8622322)",,
23160965,,,Grüner Weg,unclassified,,False,False,122.97699999999999,"LINESTRING (14.4140006 51.8622322, 14.4154287 51.8625651, 14.4156855 51.862604)",,
150925637,,,Grüner Weg,residential,50,False,False,165.704,"LINESTRING (14.4140006 51.8622322, 14.4134144 51.8620849, 14.4131027 51.8619933, 14.4124182 51.8617167, 14.4118895 51.8615203)",,
150930546,,,Schulstraße,residential,30,False,False,11.662,"LINESTRING (14.4127597 51.8572209, 14.4129205 51.8572546)",,
27579949,,,Wilhelm-Külz-Straße,residential,30,True,False,116.69,"LINESTRING (14.4127597 51.8572209, 14.4113033 51.857554, 14.4111663 51.8575853)",,
27580030,,,Lutherplatz,residential,30,True,False,39.292,"LINESTRING (14.4130086 51.8574635, 14.4131428 51.857807)",,
150930561,,,Lutherplatz,residential,30,False,False,24.143,"LINESTRING (14.4130086 51.8574635, 14.4129827 51.8573558, 14.4129205 51.8572546)",,
27580030,,,Lutherplatz,residential,30,True,False,14.979,"LINESTRING (14.4131428 51.857807, 14.4129705 51.8577244)",,
