osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,junction
"[931368553, 943444196, 991615991]","['4', '3']",DLG 42,Große Allee,secondary,50,False,True,97.52100000000002,"LINESTRING (10.4884455 48.5798135, 10.4886842 48.5798532, 10.48874 48.5798642, 10.4892397 48.5799623, 10.4894523 48.5800041, 10.4897193 48.580056)",,,
"[1020338104, 8491278]",6,St 2032,Prälat-Hummel-Straße,secondary,50,False,False,129.35199999999998,"LINESTRING (10.4884455 48.5798135, 10.4884629 48.5797308, 10.4884692 48.5796892, 10.4885 48.5794873, 10.4885276 48.5793062, 10.4886711 48.5786601)",,,
158515721,,,Am Stadtberg,tertiary,30,False,False,92.535,"LINESTRING (10.4964073 48.5777275, 10.4964653 48.5776558, 10.4964912 48.5776152, 10.496581 48.5774577, 10.4966272 48.5773076, 10.4966403 48.5771305, 10.4966341 48.5769642, 10.4966322 48.5769226)",,,
"[199045001, 199045002, 158448941]",1,,Königstraße,residential,30,False,True,44.379,"LINESTRING (10.4964073 48.5777275, 10.4962577 48.5776941, 10.4961111 48.577659, 10.4960031 48.5776353, 10.4958343 48.5776031)",5,yes,
298641685,2,,Kapuzinerstraße,tertiary,30,False,True,40.312,"LINESTRING (10.4964073 48.5777275, 10.4963368 48.5778227, 10.4962787 48.5778955, 10.4961637 48.5780522)",,,
8491330,,,Röhmstraße,residential,,False,False,78.203,"LINESTRING (10.4939856 48.5829075, 10.4939044 48.5828985, 10.4935822 48.58284, 10.4929586 48.5827267)",,,
931368564,,,Altheimer Straße,tertiary,50,False,False,38.196,"LINESTRING (10.4939856 48.5829075, 10.4939316 48.5830422, 10.4938595 48.5832407)",,,
"[68238451, 931368564, 931368557]",2,,Altheimer Straße,tertiary,50,False,True,121.154,"LINESTRING (10.4939856 48.5829075, 10.4941562 48.5823466, 10.4942341 48.5821551, 10.4944094 48.5818578)",,yes,
8581012,2,,Klemens-Mengele-Straße,tertiary,50,False,False,19.993,"LINESTRING (10.5019124 48.5796065, 10.5018561 48.5797824)",,,
199401844,2,,Am Reitweg,tertiary,50,False,True,137.742,"LINESTRING (10.5019124 48.5796065, 10.5018851 48.5794387, 10.5018342 48.5793355, 10.5012773 48.5787059, 10.5011425 48.5784918)",,,
