osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,bridge,width,junction
37061691,In der Raite,residential,False,True,60.38999999999999,"LINESTRING (9.2550439 48.4828651, 9.2548874 48.4829215, 9.2547325 48.4829773, 9.2546531 48.4830064, 9.2543257 48.4831265)",,,,,,,
"[4228535, 44070882, 607472685, 1006777063]",Reutlinger Straße,secondary,False,True,210.23700000000002,"LINESTRING (9.2550439 48.4828651, 9.2551018 48.4829493, 9.255122 48.4829786, 9.2551425 48.4830068, 9.2551668 48.483043, 9.2552151 48.483117, 9.2553473 48.4832958, 9.2555176 48.4835113, 9.2556527 48.4836746, 9.2557757 48.4838163, 9.2558514 48.4838971, 9.2559149 48.4839569, 9.255968 48.4839945, 9.2560324 48.4840336, 9.2561366 48.484103, 9.2563172 48.4842015, 9.256393 48.4842428, 9.2564952 48.4842899, 9.2566737 48.4843723)","['2', '3']",L 380,"['50', '30']",,,,
140621199,Wengenstraße,residential,False,True,25.415,"LINESTRING (9.2536259 48.4853027, 9.2532818 48.4852877)",,,30,,,,
4274883,Schillerstraße,residential,False,True,149.763,"LINESTRING (9.2536259 48.4853027, 9.2536798 48.4854488, 9.2538695 48.4858178, 9.2544026 48.4865429)",,,30,,,,
1047659272,Schillerstraße,residential,False,False,227.772,"LINESTRING (9.2536259 48.4853027, 9.2530832 48.4844044, 9.2524881 48.4833982)",,,30,,,,
1047659273,Wengenstraße,residential,False,False,64.377,"LINESTRING (9.2536259 48.4853027, 9.2539513 48.4853384, 9.2542515 48.4853523, 9.25433 48.4853526, 9.2544942 48.4853543)",,,30,,,,
4274883,Schillerstraße,residential,False,False,149.76299999999998,"LINESTRING (9.2544026 48.4865429, 9.2538695 48.4858178, 9.2536798 48.4854488, 9.2536259 48.4853027)",,,30,,,,
"[44070882, 1006777063, 607472685, 4228535]",Reutlinger Straße,secondary,False,False,210.23699999999997,"LINESTRING (9.2566737 48.4843723, 9.2564952 48.4842899, 9.256393 48.4842428, 9.2563172 48.4842015, 9.2561366 48.484103, 9.2560324 48.4840336, 9.255968 48.4839945, 9.2559149 48.4839569, 9.2558514 48.4838971, 9.2557757 48.4838163, 9.2556527 48.4836746, 9.2555176 48.4835113, 9.2553473 48.4832958, 9.2552151 48.483117, 9.2551668 48.483043, 9.2551425 48.4830068, 9.255122 48.4829786, 9.2551018 48.4829493, 9.2550439 48.4828651)","['2', '3']",L 380,"['50', '30']",,,,
"[1006777059, 1006777060]",Weihenstraße,secondary,False,False,44.802,"LINESTRING (9.2566737 48.4843723, 9.2568475 48.4844382, 9.256954 48.484473, 9.2572182 48.4845505)","['2', '3']",L 380,30,,,,
"[1007454723, 23913723]",Eitlinger Straße,secondary,True,False,22.741,"LINESTRING (9.2594065 48.4852327, 9.2593594 48.4851393, 9.2593102 48.4850384)",1,L 380,30,,,,
"[1006777033, 23913718]",Eitlinger Straße,secondary,False,False,57.196,"LINESTRING (9.2594065 48.4852327, 9.2594166 48.4854941, 9.2594256 48.4857106, 9.2594266 48.4857469)","['2', '3']",L 380,30,,,,
619440423,Hauptstraße,residential,False,True,4.737,"LINESTRING (9.2580292 48.4861386, 9.2579764 48.4861143)",,,30,,,,
"[37347858, 24041108]",Hauptstraße,residential,False,True,76.509,"LINESTRING (9.2580292 48.4861386, 9.2583428 48.4862643, 9.2585199 48.4863353, 9.2589451 48.4864595)",,,30,,,,
992163859,Eugenstraße,residential,False,True,39.44899999999999,"LINESTRING (9.2580292 48.4861386, 9.2579935 48.4861933, 9.2579647 48.4862537, 9.2578677 48.4863927, 9.2578473 48.4864149, 9.2578322 48.4864278, 9.2578154 48.4864372, 9.2577913 48.4864458, 9.2577862 48.4864472)",2,,30,,,,
