osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,junction
"[4047826, 990665708]",2,B 13,Gunzenhausener Straße,primary,50,False,False,71.771,"LINESTRING (10.6995055 49.1997971, 10.6996669 49.199711, 10.6998513 49.1996001, 10.6999876 49.199508, 10.7002225 49.199354)",,,
"[244072865, 95407053]",,,Hirschlacher Straße,residential,30,False,False,235.69400000000002,"LINESTRING (10.6995055 49.1997971, 10.6994631 49.1997217, 10.6994377 49.1996631, 10.6989791 49.1993414, 10.6985038 49.1989009, 10.6983223 49.1985282, 10.6982134 49.1979237)",,,
"[221203627, 221203620, 221203622]",,St 2220,Hauptstraße,secondary,50,False,True,261.602,"LINESTRING (10.6995055 49.1997971, 10.6995813 49.1998697, 10.6996885 49.2000005, 10.6997803 49.2001483, 10.6998436 49.2002947, 10.699953 49.2006095, 10.7004404 49.2019224, 10.7004622 49.2019885, 10.7004827 49.2020504)",yes,,
33299476,,St 2220,Ringstraße,secondary,30,False,False,20.145,"LINESTRING (10.7027407 49.2054709, 10.7024637 49.2054792)",,,
33299475,,,Ringstraße,unclassified,50,False,False,122.325,"LINESTRING (10.7027407 49.2054709, 10.7027692 49.2053492, 10.7029466 49.2052656, 10.7039877 49.2050161, 10.7041356 49.2049645)",,,
29043109,,St 2220,Hauptstraße,secondary,50,False,False,44.178,"LINESTRING (10.7006926 49.2024208, 10.7006836 49.2023788, 10.7005522 49.2022035, 10.7004827 49.2020504)",,,
"[33299345, 95526524, 156320830, 156320838]",,,Hauptstraße,residential,30,False,False,148.01,"LINESTRING (10.7006926 49.2024208, 10.7007488 49.2024554, 10.7007947 49.2024902, 10.7008567 49.2025638, 10.7009157 49.2026281, 10.7009374 49.2026502, 10.7011333 49.2028453, 10.7013628 49.2030548, 10.7014765 49.2031586, 10.7016487 49.2033499, 10.7017235 49.203553)",,building_passage,
"[106874224, 219421195]",,St 2220,Ringstraße,secondary,,False,True,422.8449999999999,"LINESTRING (10.7006926 49.2024208, 10.7006382 49.202468, 10.6994855 49.203248, 10.6994487 49.2033274, 10.6994234 49.2034213, 10.6998082 49.2041821, 10.7001153 49.204749, 10.7003079 49.2050608, 10.7003414 49.2051126, 10.70072 49.2056039, 10.7008469 49.2057116)",,,
187047700,,,,residential,,False,False,75.265,"LINESTRING (10.7030683 49.1982076, 10.702865 49.1982374, 10.7020423 49.1982956)",,,
233540707,2,B 13,Gunzenhausener Straße,primary,50,False,True,74.968,"LINESTRING (10.7019364 49.198235, 10.7012131 49.1987158)",,,
187047700,,,,residential,,False,True,10.229,"LINESTRING (10.7019364 49.198235, 10.7020015 49.1982732, 10.7020423 49.1982956)",,,
"[29043104, 179050106, 29043110]",,,"['Biederbacher Straße', 'Adlerstraße']",residential,"['50', '30']",False,False,184.411,"LINESTRING (10.7017235 49.203553, 10.7020498 49.2034682, 10.7023439 49.2033837, 10.702656 49.2032907, 10.7029873 49.2032031, 10.703161 49.2031872, 10.7036028 49.2031534, 10.7038352 49.2031209, 10.7039277 49.2031059, 10.7041399 49.2031051)",,yes,
"[156320832, 156320835, 219910961, 33299346, 187061113]",,,"['Hauptstraße', 'Marktplatz']",residential,30,False,False,221.209,"LINESTRING (10.7017235 49.203553, 10.7017641 49.2037726, 10.701885 49.2041458, 10.7019982 49.2044324, 10.7020365 49.2045295, 10.7021011 49.2046829, 10.7021824 49.2048804, 10.7021961 49.2049126, 10.7022937 49.2051422, 10.7023047 49.2051607, 10.702352 49.20524, 10.7023819 49.2052956, 10.7024102 49.2053569, 10.7024637 49.2054792)",,yes,
"[156320830, 33299345, 95526524, 156320838]",,,Hauptstraße,residential,30,False,True,148.01000000000002,"LINESTRING (10.7017235 49.203553, 10.7016487 49.2033499, 10.7014765 49.2031586, 10.7013628 49.2030548, 10.7011333 49.2028453, 10.7009374 49.2026502, 10.7009157 49.2026281, 10.7008567 49.2025638, 10.7007947 49.2024902, 10.7007488 49.2024554, 10.7006926 49.2024208)",,building_passage,
96066686,,,Biederbacher Straße,unclassified,50,False,True,34.901,"LINESTRING (10.7103228 49.2022983, 10.7098599 49.2023822)",,,
"[95526532, 32456364]",,,Am Grenzbuck,residential,"['50', '30']",False,False,134.97,"LINESTRING (10.7041399 49.2031051, 10.7041392 49.203071, 10.7042702 49.2029744, 10.7046063 49.2027633, 10.7047268 49.2026209, 10.7047777 49.2025031, 10.7048001 49.2024513, 10.7048972 49.2022967, 10.7050988 49.2020961)",,,
95526542,,,Biederbacher Straße,unclassified,50,False,False,166.306,"LINESTRING (10.7041399 49.2031051, 10.7045444 49.2031552, 10.7048511 49.2031707, 10.7064207 49.2031564)",,,
"[29043104, 179050106, 29043110]",,,"['Biederbacher Straße', 'Adlerstraße']",residential,"['50', '30']",False,True,184.41100000000003,"LINESTRING (10.7041399 49.2031051, 10.7039277 49.2031059, 10.7038352 49.2031209, 10.7036028 49.2031534, 10.703161 49.2031872, 10.7029873 49.2032031, 10.702656 49.2032907, 10.7023439 49.2033837, 10.7020498 49.2034682, 10.7017235 49.203553)",,yes,
186944382,,,Ringstraße,unclassified,50,False,True,130.44,"LINESTRING (10.7041399 49.2031051, 10.7046828 49.2038263, 10.704833 49.2040594, 10.7048571 49.2041453, 10.7048625 49.2041742)",,,
95526532,,,Am Grenzbuck,residential,30,False,True,59.908,"LINESTRING (10.7076438 49.1998513, 10.7071108 49.2002322, 10.7070874 49.2002489)",,,
220239231,,,Am Wiesengrund,unclassified,50,False,False,47.258,"LINESTRING (10.7076438 49.1998513, 10.7079501 49.1999415, 10.7082368 49.2000259)",,,
