osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,geometry,junction,tunnel,bridge,access
"[47078473, 832860539]",True,B 3,Straße der Deutschen Einheit,primary,50,False,109.913,2,"LINESTRING (8.6672918 50.437017, 8.6668804 50.4372943, 8.6666925 50.4374406, 8.6665661 50.4375645, 8.6665011 50.4376333, 8.6664566 50.4376804, 8.6663668 50.4378026)",,,,
55685407,False,B 3,Straße der Deutschen Einheit,primary,50,True,340.673,2,"LINESTRING (8.6672918 50.437017, 8.667721 50.4368584, 8.6680905 50.4367678, 8.6684743 50.4367031, 8.6689217 50.4366655, 8.6695502 50.4366688, 8.6698664 50.4367018, 8.6704599 50.4367989, 8.6711937 50.4369568, 8.6716376 50.4370423, 8.6719036 50.4370709)",,,,
252614042,True,B 3,Straße der Deutschen Einheit,primary,50,False,9.423,,"LINESTRING (8.6662225 50.4378627, 8.6662616 50.4377817)",,,,
24290913,True,,Tepler Straße,residential,50,False,26.073999999999998,,"LINESTRING (8.6662225 50.4378627, 8.6661137 50.437844, 8.6658695 50.4377962)",,,,
"[26777171, 1100692429]",False,,Spülgasse,residential,50,False,77.262,,"LINESTRING (8.6759397 50.4364618, 8.6759532 50.4364713, 8.6759789 50.4365204, 8.6760166 50.4365925, 8.6760522 50.4367259, 8.676044 50.4367925, 8.6760283 50.4369193, 8.6760192 50.4369681, 8.6760151 50.4370115, 8.6760124 50.4371129, 8.6760102 50.4371438)",,,,
172509460,True,B 3,Straße der Deutschen Einheit,primary,50,False,73.427,1,"LINESTRING (8.6759397 50.4364618, 8.6760795 50.4363447, 8.6763453 50.4361614, 8.6765156 50.4360396, 8.6766171 50.4359625)",,,,
172509461,False,B 3,Straße der Deutschen Einheit,primary,50,False,115.861,2,"LINESTRING (8.6759397 50.4364618, 8.6755985 50.4366001, 8.6753009 50.436716, 8.6749382 50.436829, 8.6746627 50.4368948, 8.6744898 50.4369361)",,,,
4869827,True,B 3,Saint-Cyr-l'Ecole-Platz,primary,50,False,10.533999999999999,1,"LINESTRING (8.676794 50.4357935, 8.6768416 50.4358024, 8.6768834 50.4358193, 8.6769162 50.435843)",roundabout,,,
24363494,True,B 3,Große Wendelstraße,tertiary,50,False,24.027,1,"LINESTRING (8.676794 50.4357935, 8.6768885 50.4357073, 8.6770139 50.4356303)",,,,
4869827,True,B 3,Saint-Cyr-l'Ecole-Platz,primary,50,False,13.003,1,"LINESTRING (8.6768638 50.4359997, 8.6768222 50.4360121, 8.6767771 50.4360173, 8.6767313 50.4360148, 8.6766881 50.436005)",roundabout,,,
4568501,True,B 3,Straße der Deutschen Einheit,primary,50,False,41.72,1,"LINESTRING (8.6766881 50.436005, 8.676586 50.4360768, 8.6762996 50.436287)",,,,
4869827,True,B 3,Saint-Cyr-l'Ecole-Platz,primary,50,False,6.968,1,"LINESTRING (8.6766881 50.436005, 8.6766479 50.4359869, 8.6766171 50.4359625)",roundabout,,,
26973378,False,,Tepler Straße,residential,30,False,82.46799999999999,,"LINESTRING (8.6652371 50.4372521, 8.6652212 50.4372048, 8.6651975 50.4371132, 8.6651725 50.4369248, 8.6651282 50.4365144)",,,,
252530932,True,,Tepler Straße,residential,50,False,98.727,2,"LINESTRING (8.6652371 50.4372521, 8.6652904 50.437302, 8.6653547 50.4373722, 8.6653988 50.4374371, 8.6654791 50.437525, 8.6655885 50.4376046, 8.6656895 50.4376526, 8.6658434 50.4377019, 8.6660691 50.4377434, 8.6661442 50.4377583, 8.6662616 50.4377817)",,,,
"[25000515, 25000516, 26973382, 51068964]",False,,Kleeberger Straße,residential,"['50', '30']",False,257.024,2,"LINESTRING (8.6668724 50.4348359, 8.6669694 50.4348382, 8.6670061 50.4348402, 8.6673209 50.4348484, 8.6679235 50.434879, 8.6687115 50.4349919, 8.6689241 50.4350202, 8.669256 50.4350706, 8.6695536 50.4351221, 8.6697971 50.4351846, 8.6700067 50.4352804, 8.6701588 50.4353746, 8.6702756 50.4354518)",,yes,,
1103565957,False,,Kleeberger Straße,residential,50,True,66.608,2,"LINESTRING (8.6668724 50.4348359, 8.6668141 50.4348349, 8.6660309 50.4348275, 8.6659321 50.4348258)",,,,
1103565957,False,,Kleeberger Straße,residential,50,False,8.153,2,"LINESTRING (8.6658171 50.4348225, 8.6659321 50.4348258)",,,,
24290919,False,,Gutenbergstraße,residential,30,False,91.845,,"LINESTRING (8.6658171 50.4348225, 8.6658238 50.4347504, 8.6658767 50.4339974)",,,,
"[1096492045, 24378023]",False,,Kleeberger Straße,residential,50,True,56.435,2,"LINESTRING (8.6658171 50.4348225, 8.6656831 50.4348169, 8.6653755 50.4348187, 8.6651482 50.4348148, 8.6650207 50.4348132)",,,,
24290919,False,,Gutenbergstraße,residential,30,False,41.716,,"LINESTRING (8.6658767 50.4339974, 8.6659033 50.4337049, 8.6659116 50.4336229)",,,,
24290919,False,,Gutenbergstraße,residential,30,True,91.845,,"LINESTRING (8.6658767 50.4339974, 8.6658238 50.4347504, 8.6658171 50.4348225)",,,,
24421695,False,,Am Grünen Gäßchen,residential,30,False,74.673,,"LINESTRING (8.6658767 50.4339974, 8.6663218 50.4340107, 8.6669284 50.4340429)",,,,
30787611,False,,Taunusstraße,residential,30,True,118.496,,"LINESTRING (8.6643247 50.4312037, 8.6659132 50.4313067, 8.6659891 50.4313111)",,,,
177904053,False,,Römerstraße,residential,30,True,97.86699999999999,,"LINESTRING (8.6643247 50.4312037, 8.6643021 50.4312894, 8.6642955 50.4314266, 8.6643037 50.4315611, 8.664407 50.4320783)",,,,
"[826221641, 24300709]",False,,Weidigstraße,residential,30,True,81.356,,"LINESTRING (8.6643247 50.4312037, 8.6643521 50.4311222, 8.6643802 50.4308759, 8.6643768 50.4307786, 8.6643013 50.4304784)",,,,
26829962,False,,Hunnenburgweg,residential,30,True,44.685,,"LINESTRING (8.6651282 50.4365144, 8.6652893 50.4364811, 8.6657496 50.4364594)",,,,
26973378,False,,Tepler Straße,residential,30,False,114.533,,"LINESTRING (8.6651282 50.4365144, 8.6650456 50.4360027, 8.6650368 50.4359698, 8.6649966 50.4356897, 8.6649655 50.4354897)",,,,
26973378,False,,Tepler Straße,residential,30,True,82.468,,"LINESTRING (8.6651282 50.4365144, 8.6651725 50.4369248, 8.6651975 50.4371132, 8.6652212 50.4372048, 8.6652371 50.4372521)",,,,
26973380,False,,Hunnenburgweg,residential,30,False,68.983,,"LINESTRING (8.6651282 50.4365144, 8.6649353 50.4366141, 8.6645857 50.4367885, 8.6644144 50.4369308)",,,,
"[925056124, 26755669]",False,,Wetzlarer Straße,residential,30,False,31.061999999999998,,"LINESTRING (8.6702756 50.4354518, 8.6703915 50.4355213, 8.670503 50.4355778, 8.6706122 50.4356304)",,,,
"[25000515, 51068964, 26973382, 25000516]",False,,Kleeberger Straße,residential,"['50', '30']",True,257.024,2,"LINESTRING (8.6702756 50.4354518, 8.6701588 50.4353746, 8.6700067 50.4352804, 8.6697971 50.4351846, 8.6695536 50.4351221, 8.669256 50.4350706, 8.6689241 50.4350202, 8.6687115 50.4349919, 8.6679235 50.434879, 8.6673209 50.4348484, 8.6670061 50.4348402, 8.6669694 50.4348382, 8.6668724 50.4348359)",,yes,,
"[1083970888, 25096306]",False,,Wetzlarer Straße,"['residential', 'living_street']",30,False,65.612,,"LINESTRING (8.6702756 50.4354518, 8.6703157 50.4354225, 8.6703389 50.4354056, 8.6704372 50.4353322, 8.6705317 50.435267, 8.6708751 50.4350021)",,,,
177904053,False,,Römerstraße,residential,30,True,30.151,,"LINESTRING (8.6646262 50.4333516, 8.6646654 50.4336216)",,,,
177904053,False,,Römerstraße,residential,30,False,94.55300000000001,,"LINESTRING (8.6646262 50.4333516, 8.6645521 50.4328208, 8.6645139 50.432613, 8.664493 50.4325056)",,,,
177904053,False,,Römerstraße,residential,30,True,47.903,,"LINESTRING (8.664407 50.4320783, 8.664493 50.4325056)",,,,
177904053,False,,Römerstraße,residential,30,False,97.867,,"LINESTRING (8.664407 50.4320783, 8.6643037 50.4315611, 8.6642955 50.4314266, 8.6643021 50.4312894, 8.6643247 50.4312037)",,,,
24421694,False,,Hermann-Jäger-Straße,residential,30,True,78.362,,"LINESTRING (8.6671125 50.4325767, 8.6660092 50.4325245)",,,,
26883230,False,,Am Bollwerk,residential,30,True,131.408,,"LINESTRING (8.6671125 50.4325767, 8.6672926 50.4314005)",,,,
26883230,False,,Am Bollwerk,residential,30,False,163.599,,"LINESTRING (8.6671125 50.4325767, 8.6670713 50.4328371, 8.6670049 50.4332333, 8.6669735 50.4335084, 8.6669377 50.4339238, 8.6669284 50.4340429)",,,,
