osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,junction
33701549,L 3186,Weckesheimer Straße,secondary,False,True,110.888,,"LINESTRING (8.8226249 50.3604023, 8.8210634 50.3603561)",
33701560,,Hinter den Gärten,residential,True,False,118.27199999999999,30,"LINESTRING (8.8226249 50.3604023, 8.8226493 50.3604283, 8.8227115 50.3604557, 8.8228415 50.3604616, 8.8229466 50.3604702, 8.8229846 50.3605144, 8.8230386 50.3612976)",
33701547,L 3186,Dorheimer Straße,secondary,False,False,122.307,50,"LINESTRING (8.8176182 50.3604692, 8.8193393 50.3604038)",
33701548,L 3186,,secondary,True,False,14.457,50,"LINESTRING (8.8176182 50.3604692, 8.8176127 50.360495, 8.8175961 50.3605187, 8.8175698 50.3605386, 8.8175359 50.360553, 8.817497 50.3605608)",roundabout
124995477,,Frankfurter Straße,residential,False,False,83.092,30,"LINESTRING (8.8177442 50.3591609, 8.8176332 50.3599048)",
24915453,,Frankfurter Straße,residential,False,True,76.572,30,"LINESTRING (8.8177442 50.3591609, 8.817754 50.3590965, 8.8178345 50.3584747)",
33701554,,Birkenstraße,residential,False,True,165.023,30,"LINESTRING (8.8177442 50.3591609, 8.818739 50.3591318, 8.818926 50.3590853, 8.8197378 50.3585841)",
33701545,,Berliner Straße,residential,False,False,129.624,30,"LINESTRING (8.8210634 50.3603561, 8.8211187 50.3615213)",
33701549,L 3186,Weckesheimer Straße,secondary,False,False,110.888,,"LINESTRING (8.8210634 50.3603561, 8.8226249 50.3604023)",
33701547,L 3186,Dorheimer Straße,secondary,False,True,122.44800000000001,50,"LINESTRING (8.8210634 50.3603561, 8.8209003 50.3603549, 8.8208253 50.3603544, 8.8207737 50.3603561, 8.8193393 50.3604038)",
33701553,,Bahnhofstraße,residential,False,False,162.435,30,"LINESTRING (8.8210634 50.3603561, 8.8210678 50.3602444, 8.821218 50.3597379, 8.8212261 50.3596147, 8.8211859 50.3595189, 8.8210705 50.3594145, 8.8206947 50.359174, 8.8206718 50.3591593, 8.8205316 50.3590748)",
33701544,,Brunnenweg,residential,False,False,49.081,30,"LINESTRING (8.8173206 50.363015, 8.8180125 50.3630109)",
33701546,,Melbacher Straße,residential,False,True,133.552,30,"LINESTRING (8.8173206 50.363015, 8.8174067 50.3618152)",
"[33701570, 55846333]",,"['Brunnenweg', 'Melbacher Straße']","['residential', 'living_street']",False,True,64.29,30,"LINESTRING (8.8173206 50.363015, 8.8172734 50.3630122, 8.8171943 50.3635578)",
33701545,,Berliner Straße,residential,False,False,49.267,30,"LINESTRING (8.8209671 50.3628647, 8.8210739 50.3633025)",
33701544,,Brunnenweg,residential,False,True,210.255,30,"LINESTRING (8.8209671 50.3628647, 8.8185064 50.363001, 8.8180125 50.3630109)",
33701545,,Berliner Straße,residential,False,True,44.888,30,"LINESTRING (8.8209671 50.3628647, 8.8209574 50.3627832, 8.8209665 50.3624613)",
33701545,,Berliner Straße,residential,False,True,49.267,30,"LINESTRING (8.8210739 50.3633025, 8.8209671 50.3628647)",
33701569,,Zur Kirche,residential,False,True,47.093,30,"LINESTRING (8.8210739 50.3633025, 8.8204121 50.3633362)",
33701545,,Berliner Straße,residential,False,False,140.55700000000002,30,"LINESTRING (8.8210739 50.3633025, 8.8212449 50.3633021, 8.8225935 50.3632634, 8.8230535 50.3632488)",
30445986,,Hainpfad,residential,False,True,138.23600000000002,30,"LINESTRING (8.8230535 50.3632488, 8.8232333 50.3627038, 8.823286 50.3625491, 8.8234188 50.362028)",
33701545,,Berliner Straße,residential,False,False,44.212,30,"LINESTRING (8.8230535 50.3632488, 8.8232293 50.3633941, 8.8232009 50.3636074)",
33701545,,Berliner Straße,residential,False,True,140.55700000000002,30,"LINESTRING (8.8230535 50.3632488, 8.8225935 50.3632634, 8.8212449 50.3633021, 8.8210739 50.3633025)",
24915453,,Frankfurter Straße,residential,False,False,123.211,30,"LINESTRING (8.8179732 50.3573702, 8.817946 50.3576184, 8.8178783 50.3581235, 8.8178345 50.3584747)",
33701548,L 3186,,secondary,True,False,19.386,50,"LINESTRING (8.8173288 50.3604708, 8.8173324 50.3604491, 8.8173439 50.3604286, 8.8173626 50.3604104, 8.8173875 50.3603954, 8.8174172 50.3603846, 8.81745 50.3603786, 8.8174841 50.3603776, 8.8175176 50.3603818)",roundabout
33701546,,Melbacher Straße,residential,False,False,37.26,30,"LINESTRING (8.817497 50.3605608, 8.8174718 50.3608955)",
33701548,L 3186,,secondary,True,False,17.636000000000003,50,"LINESTRING (8.817497 50.3605608, 8.8174615 50.3605617, 8.8174267 50.3605571, 8.8173948 50.3605472, 8.8173676 50.3605326, 8.8173467 50.3605143, 8.8173335 50.3604932, 8.8173288 50.3604708)",roundabout
33701548,L 3186,,secondary,True,False,12.868,50,"LINESTRING (8.8175176 50.3603818, 8.8175453 50.3603895, 8.8175698 50.3604008, 8.8175902 50.3604151, 8.8176054 50.3604317, 8.8176149 50.36045, 8.8176182 50.3604692)",roundabout
124995477,,Frankfurter Straße,residential,False,True,53.765,30,"LINESTRING (8.8175176 50.3603818, 8.8175611 50.3602799, 8.8176332 50.3599048)",
33701546,,Melbacher Straße,residential,False,False,133.552,30,"LINESTRING (8.8174067 50.3618152, 8.8173206 50.363015)",
33701546,,Melbacher Straße,residential,False,True,102.37,30,"LINESTRING (8.8174067 50.3618152, 8.8174718 50.3608955)",
33701550,,Sudetenring,residential,False,False,50.822,30,"LINESTRING (8.8174067 50.3618152, 8.8181219 50.3617882)",
33701550,,Sudetenring,residential,False,False,97.562,30,"LINESTRING (8.8184266 50.3617844, 8.818286 50.3609116)",
33701550,,Sudetenring,residential,False,True,21.618,30,"LINESTRING (8.8184266 50.3617844, 8.8181219 50.3617882)",
33701564,,Parkstraße,residential,False,True,34.754,,"LINESTRING (8.8184266 50.3617844, 8.8188986 50.3617006)",
33701550,,Sudetenring,residential,False,True,97.562,30,"LINESTRING (8.818286 50.3609116, 8.8184266 50.3617844)",
33701551,,Sudetenring,residential,False,False,16.848,30,"LINESTRING (8.818286 50.3609116, 8.8185233 50.3609053)",
33701551,,Sudetenring,residential,False,True,57.785,30,"LINESTRING (8.818286 50.3609116, 8.8174718 50.3608955)",
