osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,access,width
29202299,Postplatz,residential,False,False,46.817,"LINESTRING (11.4548224 51.593963, 11.4545499 51.593965, 11.4541455 51.5939811)",,,,,,
37371930,Friedensallee,primary,False,False,145.10799999999998,"LINESTRING (11.4548224 51.593963, 11.4549 51.5940683, 11.4549162 51.5940958, 11.4549292 51.5941206, 11.4549394 51.5941445, 11.4549482 51.5941756, 11.4549638 51.5942552, 11.4549933 51.5944852, 11.4550201 51.5946151, 11.4551381 51.5948901, 11.4552481 51.5950967, 11.4553174 51.595223)",2,B 86,50,,,
305195889,Teichstraße,primary,False,True,75.102,"LINESTRING (11.4548224 51.593963, 11.4547079 51.5938208, 11.4545918 51.5936016, 11.4544358 51.5933329)",2,B 86,50,,,
"[1112570906, 1112570907, 163110214]",Schlossgasse,residential,False,True,26.541,"LINESTRING (11.4548224 51.593963, 11.4550234 51.5939743, 11.4551394 51.5939978, 11.4551911 51.5940172)",,,,yes,,
163110213,Teichstraße,residential,False,False,21.839,"LINESTRING (11.4541288 51.5933798, 11.4544358 51.5933329)",,,,,,
35682980,Teichstraße,residential,False,True,60.295,"LINESTRING (11.4541288 51.5933798, 11.4541008 51.5930919, 11.4540988 51.5929192, 11.4541645 51.5928491)",,,,,,
163110213,Teichstraße,residential,False,True,66.93100000000001,"LINESTRING (11.4541288 51.5933798, 11.4541197 51.5937616, 11.4541455 51.5939811)",,,,,,
163110213,Teichstraße,residential,False,True,21.839,"LINESTRING (11.4544358 51.5933329, 11.4541288 51.5933798)",,,,,,
305194892,Teichstraße,primary,False,True,56.967,"LINESTRING (11.4544358 51.5933329, 11.454259 51.5930176, 11.4541645 51.5928491)",2,B 86,50,,,
305195889,Teichstraße,primary,False,False,75.102,"LINESTRING (11.4544358 51.5933329, 11.4545918 51.5936016, 11.4547079 51.5938208, 11.4548224 51.593963)",2,B 86,50,,,
203914040,Friedensallee,primary,False,True,84.605,"LINESTRING (11.4580709 51.5972586, 11.4573315 51.596652)",2,B 86,50,,,
"[203914064, 34570310, 203914039]",Albrechtstraße,residential,False,False,93.285,"LINESTRING (11.4580709 51.5972586, 11.4581292 51.5972112, 11.4581961 51.597157, 11.4582837 51.5970858, 11.4587606 51.5965396)",,,,yes,,
34911930,Rabentorstraße,residential,False,True,11.691,"LINESTRING (11.4541455 51.5939811, 11.4541503 51.5940862)",,,,,,
29202299,Postplatz,residential,False,True,46.817,"LINESTRING (11.4541455 51.5939811, 11.4545499 51.593965, 11.4548224 51.593963)",,,,,,
163110213,Teichstraße,residential,False,False,66.93100000000001,"LINESTRING (11.4541455 51.5939811, 11.4541197 51.5937616, 11.4541288 51.5933798)",,,,,,
34911930,Rabentorstraße,residential,False,False,11.691,"LINESTRING (11.4541503 51.5940862, 11.4541455 51.5939811)",,,,,,
29202300,Lutherstraße,residential,True,False,142.871,"LINESTRING (11.4541503 51.5940862, 11.4540949 51.5940972, 11.4540656 51.5941008, 11.4540429 51.5941009, 11.4540174 51.5940993, 11.4538661 51.5940827, 11.4538226 51.5940771, 11.4537491 51.5940661, 11.4536046 51.5940441, 11.4533916 51.5940078, 11.4532665 51.5939796, 11.453203 51.5939608, 11.4531658 51.5939475, 11.4531012 51.5939208, 11.4530298 51.5938831, 11.4529809 51.5938531, 11.4528421 51.593768, 11.4527094 51.593693, 11.45257 51.5936078, 11.4525028 51.5935621, 11.4524187 51.5934984)",,,,,,
29205540,Rabentorstraße,residential,False,True,76.737,"LINESTRING (11.4541503 51.5940862, 11.4541878 51.5941502, 11.4542095 51.594217, 11.4542051 51.5944449, 11.4541434 51.5946018, 11.4540477 51.5947551)",,,,,,
"[34911931, 362584318]",Lutherstraße,residential,False,False,84.39399999999999,"LINESTRING (11.4524187 51.5934984, 11.4523757 51.5934638, 11.4523394 51.5934317, 11.4523118 51.5934045, 11.4522788 51.5933661, 11.4522505 51.5933307, 11.4521576 51.5931926, 11.4520322 51.5930078, 11.4519625 51.5929066, 11.4518901 51.5928167)",,,,,,
34570303,Brauhausplatz,residential,False,False,55.181,"LINESTRING (11.4518901 51.5928167, 11.4514116 51.5930228, 11.4513036 51.5931394)",,,,,,
362584318,Lutherstraße,residential,False,False,137.00900000000001,"LINESTRING (11.4518901 51.5928167, 11.4517175 51.5925975, 11.4515924 51.5924098, 11.4515811 51.5923906, 11.4514176 51.5921395, 11.4514073 51.5921238, 11.4513627 51.5920525, 11.4512979 51.5919404, 11.4512695 51.5918982, 11.4512192 51.5918349, 11.45109 51.591691)",,,,,,
"[34911931, 362584318]",Lutherstraße,residential,False,True,84.394,"LINESTRING (11.4518901 51.5928167, 11.4519625 51.5929066, 11.4520322 51.5930078, 11.4521576 51.5931926, 11.4522505 51.5933307, 11.4522788 51.5933661, 11.4523118 51.5934045, 11.4523394 51.5934317, 11.4523757 51.5934638, 11.4524187 51.5934984)",,,,,,
29202303,Sangerhäuser Straße,residential,False,False,333.49,"LINESTRING (11.4508279 51.5913941, 11.4505531 51.5910602, 11.4505148 51.5910053, 11.4502824 51.5906781, 11.4500641 51.5902845, 11.4498577 51.5898291, 11.4496181 51.5891569, 11.4494923 51.5887634, 11.4493883 51.5885452)",,,30,,,
30136382,Friedensallee,residential,False,False,62.229,"LINESTRING (11.4573315 51.596652, 11.4566114 51.5969883)",,,,,,
203914040,Friedensallee,primary,False,False,84.605,"LINESTRING (11.4573315 51.596652, 11.4580709 51.5972586)",2,B 86,50,,,
"[203914040, 850229769, 203914043]",Friedensallee,primary,False,True,122.936,"LINESTRING (11.4573315 51.596652, 11.4567454 51.5961463, 11.4567062 51.5961169, 11.4566358 51.5960622, 11.4564394 51.5959464, 11.4563549 51.5959012, 11.4562765 51.5958664, 11.4561695 51.5958277)",2,B 86,"['50', '30']",yes,,
30136382,Friedensallee,residential,False,True,62.229,"LINESTRING (11.4566114 51.5969883, 11.4573315 51.596652)",,,,,,
32843355,Talwandstraße,residential,False,False,9.671,"LINESTRING (11.4527536 51.5911436, 11.4526506 51.5912025)",,,,,destination,3
"[29053064, 305194892]",Teichstraße,primary,False,False,130.526,"LINESTRING (11.4527536 51.5911436, 11.4529829 51.5913382, 11.4534039 51.5915082, 11.4535016 51.591562, 11.4536453 51.5916584, 11.4537565 51.5917903, 11.4538042 51.5919195, 11.4538252 51.5920456)",2,B 86,50,,,
