osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,ref
5084375,2,Heidenheimer Straße,secondary,50,False,False,68.53999999999999,"LINESTRING (9.7612339 48.6826906, 9.7613059 48.6827056, 9.7613809 48.6827092, 9.761455 48.6827012, 9.7615241 48.6826821, 9.7615848 48.682653, 9.7619305 48.6823639)",,,
568977961,2,Heidenheimer Straße,secondary,50,False,True,154.985,"LINESTRING (9.7612339 48.6826906, 9.761178 48.6826693, 9.7611299 48.6826413, 9.761091 48.6826075, 9.7610552 48.6825486, 9.7609963 48.6824587, 9.7609653 48.6824264, 9.7608151 48.6822696, 9.7606215 48.6820674, 9.7605247 48.6819889, 9.7604942 48.6819641, 9.7604136 48.6819041, 9.7603704 48.681872, 9.7602637 48.6818088, 9.7599192 48.6816272)",,,
"[611830944, 611830945, 207342435, 10372310]",,Bahnhofstraße,residential,30,False,True,216.64299999999997,"LINESTRING (9.7612339 48.6826906, 9.7611885 48.6827597, 9.761122 48.682825, 9.7609708 48.6829088, 9.760781 48.6829816, 9.7604783 48.6830981, 9.7600927 48.6832271, 9.7598886 48.6832954, 9.7598717 48.6833011, 9.7596695 48.6833629, 9.7595302 48.6834045, 9.7592841 48.6834784, 9.7586968 48.6836182)",4,,
"[498633232, 498633235, 5084374, 5084375, 418363607]","['2', '3']",Heidenheimer Straße,secondary,50,False,True,256.529,"LINESTRING (9.7638471 48.6831148, 9.7637977 48.6830685, 9.7637566 48.683019, 9.7637243 48.6829668, 9.7637011 48.6829125, 9.7636873 48.6828567, 9.7636755 48.6827863, 9.7636724 48.6827048, 9.7636759 48.6826096, 9.7636807 48.6825133, 9.7636679 48.6824173, 9.7636374 48.6823231, 9.76359 48.682232, 9.7635333 48.6821654, 9.7634628 48.6821049, 9.76338 48.6820516, 9.7632866 48.6820066, 9.7631844 48.6819708, 9.7630756 48.6819449, 9.7629187 48.6819263, 9.7627603 48.6819281, 9.7626058 48.6819499, 9.7624609 48.6819909, 9.7623307 48.6820494, 9.76222 48.6821232, 9.7619305 48.6823639)",,yes,
824815510,,Donzdorfer Straße,secondary,50,False,False,38.506,"LINESTRING (9.7638471 48.6831148, 9.7639352 48.6831765, 9.7639647 48.6831912, 9.7640385 48.6832278, 9.7641468 48.6832732, 9.7642764 48.6833055)",,,K 1403
1126329612,2,Donzdorfer Straße,secondary,50,False,True,40.735,"LINESTRING (9.7638471 48.6831148, 9.7637254 48.683223, 9.763672 48.6832686, 9.7635999 48.683316, 9.7634793 48.6833871)",,,K 1403
10741053,,Bauschstraße,residential,,True,False,21.149,"LINESTRING (9.7575688 48.6787543, 9.7576229 48.6788769, 9.7576494 48.6789369)",,,
62510535,,Johann-Georg-Fischer-Straße,residential,,False,False,25.561999999999998,"LINESTRING (9.7575688 48.6787543, 9.7577703 48.6788333, 9.7578611 48.6788786)",,,
824815519,,Johann-Georg-Fischer-Straße,residential,,False,True,31.969,"LINESTRING (9.7575688 48.6787543, 9.7575416 48.6787141, 9.7573912 48.6784918)",,,
5083585,,Staufenecker Straße,residential,30,False,False,71.706,"LINESTRING (9.7609815 48.6838213, 9.7611764 48.6844532)",,,
