osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,width,junction,access
"[696251149, 109215439]",2,Etapler Platz,unclassified,"['20', '50']",False,True,45.122,"LINESTRING (7.3439918 51.1505753, 7.3440206 51.1506096, 7.3441584 51.1507305, 7.3442198 51.1507844, 7.3442594 51.1508192, 7.344367 51.1509053)",,,,,
"[224055213, 224055214, 24840551]",2,Goethestraße,unclassified,,False,False,255.10100000000003,"LINESTRING (7.3431695 51.1498445, 7.3427485 51.1493715, 7.3426806 51.1493141, 7.3424634 51.1491742, 7.3422828 51.1490698, 7.3420137 51.1489419, 7.3412592 51.1486047, 7.3412572 51.1486015, 7.3407331 51.1483147, 7.3406332 51.1482381)",,,,,
205599134,,Peterstraße,tertiary,50,False,True,50.652,"LINESTRING (7.3431695 51.1498445, 7.3433003 51.1497814, 7.3437565 51.1495764)",,,,,
"[1074754917, 1069139527, 696251147, 78515410, 1056872313, 1056872314, 521910044, 28892415]",,Bahnhofstraße,unclassified,30,False,False,263.216,"LINESTRING (7.3431695 51.1498445, 7.3430646 51.1499291, 7.3428899 51.1500822, 7.3428249 51.1501359, 7.342699 51.1502618, 7.3425282 51.1504498, 7.3422455 51.1507565, 7.3422334 51.1507676, 7.3419751 51.1510489, 7.3419175 51.1511073, 7.3418426 51.1511796, 7.3417253 51.1512999, 7.3416498 51.1513682, 7.3413315 51.1516565, 7.3412053 51.1517707, 7.3411212 51.1518285)",,,,,
34156417,,Am Kamp,residential,30,False,False,59.67,"LINESTRING (7.337831 51.1481139, 7.3379343 51.1479624, 7.3380939 51.1478009, 7.3382274 51.1476395)",,,,,
"[224244987, 1056868189]",,Kölner Straße,unclassified,30,False,False,319.602,"LINESTRING (7.337831 51.1481139, 7.3371259 51.1479871, 7.3367672 51.1478503, 7.3366976 51.1478125, 7.3365329 51.147727, 7.3353686 51.1466059, 7.3350262 51.1463719, 7.3346871 51.1461558)",,,,,
1056868189,,Kölner Straße,unclassified,30,False,True,57.667,"LINESTRING (7.337831 51.1481139, 7.3379806 51.1481392, 7.338596 51.1483082)",,,,,
224055220,,Kölner Straße,unclassified,30,False,False,49.757,"LINESTRING (7.3390618 51.1486471, 7.338596 51.1483082)",,,,,
25583480,,Schmittweg,unclassified,,False,True,77.429,"LINESTRING (7.3390618 51.1486471, 7.3394599 51.1485076, 7.340085 51.1483869)",,,,,
34174054,,Kölner Straße,residential,30,False,True,37.331,"LINESTRING (7.3390618 51.1486471, 7.3391754 51.1488335, 7.3391861 51.1489695)",,,,,
124766469,,Friedrichstraße,residential,,True,False,25.205999999999996,"LINESTRING (7.3371468 51.1488301, 7.3370611 51.148879, 7.3370368 51.1488969, 7.3370149 51.1489195, 7.3370052 51.1489417, 7.3370019 51.1490227)",,,,,
191519410,,Friedrichstraße,residential,,True,False,35.160000000000004,"LINESTRING (7.3371468 51.1488301, 7.3370494 51.1488319, 7.3369887 51.148836, 7.3369156 51.1488455, 7.3368764 51.1488576, 7.3366724 51.1489204)",,,,,
"[1197775265, 1078723106]",2,Rader Straße,primary,50,False,False,69.76,"LINESTRING (7.3459531 51.1530219, 7.3457126 51.1528952, 7.3455668 51.1528175, 7.3454948 51.1527811, 7.3454212 51.1527494, 7.3453667 51.1527306, 7.3453025 51.1527176, 7.3452076 51.1527149, 7.3451209 51.1527257)",B 483,,,,
"[150658529, 28872917, 25874485, 711064631, 711064632]",2,Rader Straße,primary,50,False,False,138.201,"LINESTRING (7.3431874 51.1536776, 7.3430956 51.1536838, 7.3430397 51.1536826, 7.3429948 51.1536807, 7.3429407 51.153677, 7.3428778 51.15367, 7.3428112 51.1536587, 7.3427374 51.1536439, 7.342605 51.1536038, 7.342483 51.153552, 7.3423252 51.153477, 7.3421976 51.153408, 7.342155 51.153385, 7.3420564 51.1533305, 7.3419665 51.1532956, 7.3418936 51.1532722, 7.3417671 51.1532411, 7.3416627 51.1532247, 7.3415675 51.1532098, 7.3414266 51.1531863)",B 483,yes,,,
26579136,,Brücke,tertiary,,False,False,141.45499999999998,"LINESTRING (7.3431874 51.1536776, 7.3431915 51.1537289, 7.3431869 51.1537617, 7.3431768 51.1537861, 7.3431285 51.1538361, 7.3430608 51.1538811, 7.3430159 51.1539185, 7.3429857 51.1539589, 7.342969 51.1540004, 7.3429646 51.1540587, 7.3429628 51.1541971, 7.3429545 51.1543525, 7.3429333 51.154532, 7.3429063 51.1546802, 7.3428541 51.154816, 7.3428066 51.1548977)",K 11,,5,,
