osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,width,junction
4982496,2,Stiftsstraße,tertiary,30,False,False,79.49100000000001,"LINESTRING (7.4306032 51.3992891, 7.4306842 51.3993438, 7.4307348 51.3993769, 7.4308087 51.3994454, 7.4309088 51.3995555, 7.4310828 51.3998954, 7.4310975 51.3999226)",,,,
138206144,,Hauptstraße,residential,20,False,True,45.051,"LINESTRING (7.4306032 51.3992891, 7.4305661 51.3991969, 7.4305503 51.3991592, 7.4305316 51.399073, 7.4305132 51.3989663, 7.4305037 51.3988897)",L 675,,,
"[239041226, 4982492, 1030073447]",,Wetterstraße,residential,30,False,False,66.291,"LINESTRING (7.4306032 51.3992891, 7.4305246 51.3993168, 7.4304111 51.3993463, 7.4302503 51.399388, 7.4301668 51.3994096, 7.4300375 51.3994431, 7.4299011 51.3994785, 7.4297256 51.399524)",L 675,,,
933862086,,Hauptstraße,residential,20,False,True,6.251,"LINESTRING (7.4305037 51.3988897, 7.4304978 51.3988336)",L 675,,,
138206144,,Hauptstraße,residential,20,False,False,45.051,"LINESTRING (7.4305037 51.3988897, 7.4305132 51.3989663, 7.4305316 51.399073, 7.4305503 51.3991592, 7.4305661 51.3991969, 7.4306032 51.3992891)",L 675,,,
4962886,,Steinstraße,residential,,False,False,62.823,"LINESTRING (7.4267908 51.4004873, 7.4268127 51.4005124, 7.4272438 51.4009765)",,,,
"[258625801, 4962885]",2,Wetterstraße,secondary,50,False,True,103.94500000000002,"LINESTRING (7.4267908 51.4004873, 7.4270211 51.400398, 7.4272272 51.4003028, 7.4275136 51.4001366, 7.4277512 51.3999974, 7.4278332 51.3999564, 7.4279173 51.399925, 7.4279639 51.3999127)",L 675,,,
"[263601211, 4962883, 258625117]",2,Poststraße,residential,30,False,False,97.998,"LINESTRING (7.4288481 51.4007236, 7.4284885 51.4003684, 7.4282884 51.400188, 7.428233 51.400121, 7.4281955 51.4000355, 7.4281745 51.3999949, 7.4281592 51.3999611)",,,,
"[304012418, 4982494]",,Goethestraße,residential,,False,False,116.70800000000001,"LINESTRING (7.4288481 51.4007236, 7.4295854 51.4006925, 7.4298059 51.4006804, 7.4298977 51.4006833, 7.4299777 51.400662, 7.4304576 51.4005033)",,,,
145794168,,Goethestraße,residential,30,False,True,60.823,"LINESTRING (7.4288481 51.4007236, 7.4290581 51.4010762, 7.42907 51.4011084, 7.4291195 51.4012427)",,,,
42022815,,Hauptstraße,residential,20,False,False,87.531,"LINESTRING (7.4307638 51.397546, 7.4307711 51.3976024, 7.4307603 51.3976709, 7.4307414 51.397728, 7.4307082 51.3978298, 7.4306482 51.3980124, 7.4305429 51.3983186)",L 675,,,
"[239061149, 154555063]","['2', '3']",Mühlenstraße,secondary,50,False,False,88.14399999999999,"LINESTRING (7.4307638 51.397546, 7.4305723 51.3975667, 7.4302983 51.3975923, 7.4300469 51.3976211, 7.4297812 51.3976589, 7.4295202 51.3977044)",,,,
"[145794169, 316792091]",2,Hauptstraße,secondary,50,False,True,53.892999999999994,"LINESTRING (7.4307638 51.397546, 7.430856 51.3975245, 7.4309353 51.3974959, 7.4310205 51.3974557, 7.431141 51.3973719, 7.4312368 51.3973222, 7.4313525 51.3972829, 7.4313893 51.3972688)",L 675,,,
"[138206143, 504816939, 42022815]",,Hauptstraße,residential,20,False,False,57.763999999999996,"LINESTRING (7.4305429 51.3983186, 7.430506 51.3984034, 7.4304917 51.3984501, 7.4304789 51.3986097, 7.4304846 51.3987225, 7.4304978 51.3988336)",L 675,,,
42022815,,Hauptstraße,residential,20,False,True,87.531,"LINESTRING (7.4305429 51.3983186, 7.4306482 51.3980124, 7.4307082 51.3978298, 7.4307414 51.397728, 7.4307603 51.3976709, 7.4307711 51.3976024, 7.4307638 51.397546)",L 675,,,
4962888,,Harkortstraße,residential,30,True,False,114.79,"LINESTRING (7.4272438 51.4009765, 7.4288481 51.4007236)",,,,
4962886,,Steinstraße,residential,,False,True,62.823,"LINESTRING (7.4272438 51.4009765, 7.4268127 51.4005124, 7.4267908 51.4004873)",,,,
473901237,3,Hagener Straße,primary,50,False,False,19.236,"LINESTRING (7.4326632 51.3960485, 7.4325964 51.3958806)",B 54,,,
239041513,2,Hagener Straße,primary,50,False,True,86.17,"LINESTRING (7.4326632 51.3960485, 7.4327574 51.3962975, 7.4329643 51.3968003)",B 54,,,
4982488,,Kampstraße,living_street,,False,False,118.974,"LINESTRING (7.4295202 51.3977044, 7.4295905 51.3978595, 7.4296343 51.3979579, 7.429725 51.3981357, 7.4297503 51.398192, 7.4297573 51.3982142, 7.4297524 51.3982509, 7.4297109 51.3983676, 7.4296797 51.398478, 7.4296768 51.398509, 7.4296855 51.3985411, 7.4297366 51.3986176, 7.4298365 51.3987248)",,,,
"[154554624, 135417136, 154554622]",,Mühlenstraße,residential,10,False,True,140.38199999999998,"LINESTRING (7.4295202 51.3977044, 7.4295037 51.3976597, 7.4295016 51.3976478, 7.429451 51.3975101, 7.4294368 51.3974726, 7.429392 51.3973341, 7.4293487 51.3972721, 7.4293034 51.3972478, 7.4291143 51.3972168, 7.4287928 51.3971622, 7.4286259 51.3971256, 7.4285807 51.3971157, 7.428526 51.397096, 7.4284788 51.3970549, 7.4284368 51.3970083, 7.4283434 51.3969126, 7.4282972 51.3968681)",,,,
