osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,bridge,lanes,junction
"[26012090, 892015759]",True,WUN 1,Marktplatz,tertiary,False,45.081,"LINESTRING (11.8845539 50.1014096, 11.8847338 50.1013509, 11.8848374 50.1013212, 11.8851274 50.1012395)",,,,
"[28410112, 115117604, 28401651, 28410110, 47661243, 47661244, 490710942]",False,WUN 1,Bayreuther Straße,tertiary,True,319.53800000000007,"LINESTRING (11.8845539 50.1014096, 11.8842736 50.1012588, 11.8841147 50.1011696, 11.8840134 50.1011248, 11.8839355 50.1010858, 11.8838636 50.1010505, 11.8837997 50.101016, 11.8837214 50.1009679, 11.8835635 50.1008721, 11.883434 50.1007736, 11.8833702 50.1007118, 11.8833219 50.1006593, 11.8832567 50.1005866, 11.8831927 50.1005124, 11.8831163 50.1004006, 11.8829968 50.1000727, 11.8828221 50.0995132, 11.8827919 50.0994165, 11.8827251 50.0992025, 11.8827036 50.0990762, 11.8827083 50.0990062, 11.8827265 50.0989426)","['50', '30']",yes,2,
28443437,False,,Wunsiedler Straße,residential,False,5.798,"LINESTRING (11.8851274 50.1012395, 11.8850903 50.1011931)",50,,,
157581385,True,WUN 1,Marktplatz,tertiary,False,23.452,"LINESTRING (11.8851274 50.1012395, 11.8852614 50.1014321)",,,,
28403969,False,,Poststraße,residential,False,109.29299999999999,"LINESTRING (11.8870451 50.1040282, 11.8883403 50.1037453, 11.888376 50.1037375, 11.8884957 50.1037113)",,,,
"[222006339, 42436036]",False,WUN 1,Kirchenlamitzer Straße,tertiary,False,179.98399999999998,"LINESTRING (11.8870451 50.1040282, 11.8872192 50.1041991, 11.8873956 50.104335, 11.8876426 50.104499, 11.8878988 50.1046691, 11.8886089 50.1050743, 11.8887209 50.1051683, 11.8887467 50.1051943, 11.8887642 50.1052033)",50,,,
42436036,False,WUN 1,Kirchenlamitzer Straße,tertiary,True,87.11699999999999,"LINESTRING (11.8870451 50.1040282, 11.8869801 50.1039443, 11.8865015 50.1033266)",50,,,
28404063,False,,Am Bahnhof,residential,False,87.699,"LINESTRING (11.8893594 50.1056034, 11.8904567 50.1052474)",,,,
710522472,False,WUN 1,Kirchenlamitzer Straße,tertiary,True,38.08,"LINESTRING (11.8893594 50.1056034, 11.8892376 50.1055222, 11.8890643 50.1054134, 11.8890258 50.1053934, 11.8889847 50.1053601)",50,,2,
28404228,False,,Am Stadtgraben,residential,False,67.244,"LINESTRING (11.8871863 50.1006424, 11.8871792 50.100816, 11.8872189 50.1010029, 11.8872902 50.101241)",50,,,
28443437,False,,Wunsiedler Straße,residential,False,63.414,"LINESTRING (11.8871863 50.1006424, 11.8874336 50.1006353, 11.8877277 50.1006226, 11.8880715 50.1005935)",50,,,
28443437,False,,Wunsiedler Straße,residential,True,162.41,"LINESTRING (11.8871863 50.1006424, 11.8867552 50.1007014, 11.8863393 50.1007954, 11.8861519 50.100843, 11.8859929 50.1008929, 11.8850903 50.1011931)",50,,,
"[28418664, 160143851, 28443437]",False,,Wunsiedler Straße,residential,False,221.64000000000001,"LINESTRING (11.8880715 50.1005935, 11.8882944 50.1005201, 11.8884953 50.1004315, 11.8886465 50.1003433, 11.8887616 50.1002358, 11.8888915 50.100034, 11.8889784 50.09981, 11.8890258 50.0995949, 11.8890533 50.0995301, 11.8890871 50.0994685, 11.8891884 50.099374, 11.8895108 50.0991588, 11.8896478 50.0991, 11.8897867 50.0990619)",50,,,
28443437,False,,Wunsiedler Straße,residential,True,63.414,"LINESTRING (11.8880715 50.1005935, 11.8877277 50.1006226, 11.8874336 50.1006353, 11.8871863 50.1006424)",50,,,
28535893,False,,Peuntstraße,residential,False,32.905,"LINESTRING (11.8880715 50.1005935, 11.8880711 50.1006484, 11.8882025 50.1007706, 11.8882443 50.1008592)",50,,,
28392454,False,WUN 1,Kirchenlamitzer Straße,tertiary,True,79.08,"LINESTRING (11.8865015 50.1033266, 11.8864366 50.1032269, 11.8863979 50.1031663, 11.8861676 50.1028135, 11.8860744 50.1026703)",50,,,
28488680,False,,Gartenstraße,unclassified,False,90.649,"LINESTRING (11.8865015 50.1033266, 11.88597 50.1035632, 11.8857493 50.1036393, 11.8856153 50.1036704, 11.8855133 50.1037031, 11.8854218 50.1037498)",30,,,
28535893,False,,Peuntstraße,residential,True,87.609,"LINESTRING (11.8865015 50.1033266, 11.8868315 50.1031146, 11.8870953 50.1029328, 11.8873418 50.1027523)",50,,,
