osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,width,geometry,bridge,junction,access
1229899786,2,L 1182,Schafhausener Straße,secondary,50,False,False,9.643,,"LINESTRING (8.8683876 48.747738, 8.868282 48.7477897)",,,
291328877,,,Hermann-Schnaufer-Straße,residential,50,True,False,32.336,4,"LINESTRING (8.8683876 48.747738, 8.8684694 48.74781, 8.8685084 48.7478391, 8.868564 48.7478695, 8.8686311 48.7478923, 8.8687276 48.7479035)",,,
442304500,2,L 1182,Grabenstraße,secondary,50,False,False,136.151,,"LINESTRING (8.8677444 48.7492074, 8.8677409 48.7492403, 8.867645 48.7498911, 8.8676263 48.7500356, 8.8675868 48.7504273)",,,
"[149175349, 589662047]",,,Calwer Gasse,residential,50,False,False,43.966,5,"LINESTRING (8.8677444 48.7492074, 8.867932 48.749228, 8.8683304 48.7492904)",,,
"[1017912164, 29550786, 1058647580, 589662048]","['2', '3']",L 1182,Grabenstraße,secondary,50,False,True,100.42699999999999,,"LINESTRING (8.8677444 48.7492074, 8.8677625 48.7490499, 8.8677808 48.7488469, 8.8677714 48.7486977, 8.8677333 48.7485766, 8.8676552 48.7484395, 8.8676123 48.7483785, 8.8675635 48.7483337)",,,
"[313064892, 149174086]",2,,Paul-Reusch-Straße,secondary,50,False,False,94.50399999999999,,"LINESTRING (8.8691684 48.751837, 8.8695387 48.7518277, 8.8698476 48.7518294, 8.8701713 48.7518427, 8.870456 48.7518541)",,,
149174087,3,L 1182,Merklinger Straße,secondary,50,False,False,26.43,,"LINESTRING (8.8691684 48.751837, 8.8691536 48.7519285, 8.8691231 48.7519907, 8.8690533 48.7520565)",,,
442304500,2,L 1182,Grabenstraße,secondary,50,False,True,207.61100000000002,,"LINESTRING (8.8691684 48.751837, 8.8684228 48.7515269, 8.8681494 48.7513778, 8.8680321 48.751293, 8.8679346 48.7512083, 8.8678631 48.7511374, 8.8677876 48.7510542, 8.8677223 48.7509632, 8.8676754 48.7508804, 8.8676217 48.7507634, 8.8675947 48.7506387, 8.8675868 48.7504273)",,,
1001075889,,,Pforzheimer Straße,residential,20,True,False,83.535,4.2,"LINESTRING (8.8691684 48.751837, 8.8691719 48.751793, 8.8691926 48.7515321, 8.8692051 48.7512768, 8.8692047 48.7510863)",,,
14553541,2,,Bahnhofstraße,unclassified,50,False,False,141.469,,"LINESTRING (8.8690533 48.7520565, 8.8691439 48.7521275, 8.8693625 48.7522817, 8.8695298 48.7524078, 8.8701025 48.7528394, 8.8703311 48.7530097)",,,
"[34424537, 34424547, 30386349]",3,L 1182,Merklinger Straße,secondary,50,False,False,56.827,,"LINESTRING (8.8690533 48.7520565, 8.8688321 48.7521752, 8.8686145 48.7523017, 8.868469 48.752392)",yes,,
149174087,3,L 1182,Merklinger Straße,secondary,50,False,True,26.43,,"LINESTRING (8.8690533 48.7520565, 8.8691231 48.7519907, 8.8691536 48.7519285, 8.8691684 48.751837)",,,
