osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,lanes,tunnel,junction
26508499,Bitzer Steige,residential,30,False,True,406.724,"LINESTRING (9.0310013 48.2113961, 9.0309919 48.2114356, 9.0309771 48.2114708, 9.0305854 48.212105, 9.0303525 48.2125922, 9.0303213 48.2126887, 9.0303154 48.2127786, 9.0302649 48.2135509, 9.0302907 48.2139524, 9.0303452 48.2145615, 9.0303544 48.2146942, 9.0303693 48.2147945, 9.0304232 48.2148479, 9.0304992 48.2148743, 9.0305777 48.2148919)",,,,,
865472895,Bitzer Steige,residential,30,True,False,22.143,"LINESTRING (9.0310013 48.2113961, 9.0309624 48.2113289, 9.0309494 48.2113208, 9.0309037 48.2112923, 9.030801 48.2112654)",,,,,
23973171,Untere Vorstadt,secondary,,False,False,22.213,"LINESTRING (9.030801 48.2112654, 9.0307069 48.2112914, 9.030526 48.2113449)",K 7163,,,,
865472897,Untere Vorstadt,secondary,50,False,True,18.758,"LINESTRING (9.030801 48.2112654, 9.0309327 48.2111883, 9.0309847 48.2111497)",K 7163,,,,
620344432,Schmiechastraße,secondary,,False,False,15.0,"LINESTRING (9.0288478 48.2147073, 9.0288343 48.2148419)",K 7163,7,,,
23722736,Sigmundstraße,residential,,False,False,112.91900000000001,"LINESTRING (9.0288478 48.2147073, 9.0284096 48.2146109, 9.0274007 48.2143888)",,,,,
"[591061816, 23514097, 28292397]",Schmiechastraße,secondary,,False,True,128.438,"LINESTRING (9.0288478 48.2147073, 9.0288841 48.2143783, 9.0289225 48.2140491, 9.02903 48.2137753, 9.0291504 48.2135791)",K 7163,,,,
23483146,Ziegelplatz,residential,30,False,True,47.439,"LINESTRING (9.0240945 48.2141058, 9.0235408 48.2138916)",,,,,
193384212,Schütte,residential,30,False,True,26.667,"LINESTRING (9.0240945 48.2141058, 9.024401 48.2139801)",,,,,
23517052,Sonnenstraße,residential,20,True,False,42.451,"LINESTRING (9.0240218 48.2128321, 9.02345 48.2128559)",,,,,
23560248,Museumstraße,residential,,False,False,73.168,"LINESTRING (9.0252504 48.212363, 9.0251471 48.2117086)",,,,,
23560248,Museumstraße,residential,,False,True,22.723,"LINESTRING (9.0252504 48.212363, 9.0252829 48.2125662)",,,,,
201506407,Kirchengraben,residential,,False,False,33.97,"LINESTRING (9.0252504 48.212363, 9.0257058 48.2123278)",,,,,
"[201506408, 23483901]","['Kirchengraben', 'Martinstraße']",residential,20,True,False,129.22299999999998,"LINESTRING (9.0252504 48.212363, 9.0241692 48.2124356, 9.0240657 48.2124748, 9.0240539 48.2125232, 9.0240452 48.212607, 9.0240218 48.2128321)",,,,,
202269311,Wilhelm-Dodel-Gasse,living_street,,False,True,82.00399999999999,"LINESTRING (9.0271901 48.212845, 9.0272215 48.2133537, 9.0271828 48.2134789, 9.0271614 48.2135784)",,,,,
23019219,Bahnhofstraße,residential,,False,True,70.604,"LINESTRING (9.0277872 48.2121326, 9.0277821 48.2121028, 9.0276637 48.211503)",,,,,
23019219,Bahnhofstraße,residential,,False,False,70.604,"LINESTRING (9.0276637 48.211503, 9.0277821 48.2121028, 9.0277872 48.2121326)",,,,,
29639775,Gartenstraße,residential,30,True,False,131.085,"LINESTRING (9.0276637 48.211503, 9.0271461 48.2115374, 9.0265894 48.2115836, 9.0259073 48.211643)",,,,,
100021775,Poststraße,secondary,50,False,False,55.059,"LINESTRING (9.0249983 48.2108183, 9.0257364 48.2107613)",,,2,,
23249286,Poststraße,secondary,,False,True,182.411,"LINESTRING (9.0249983 48.2108183, 9.0244401 48.2108396, 9.0241639 48.210861, 9.0240136 48.2108735, 9.0235523 48.2109003, 9.023268 48.2109271, 9.0230494 48.2109687, 9.022576 48.2110663)",,,2,,
29639771,Untere Vorstadt,secondary,50,False,True,16.913,"LINESTRING (9.0315812 48.2105712, 9.0317193 48.2104501)",K 7163,,,,
201802706,Poststraße,secondary,,True,False,34.06,"LINESTRING (9.0315812 48.2105712, 9.0315991 48.210511, 9.0316019 48.2104522, 9.031561 48.2104067, 9.0315087 48.2103708, 9.0313992 48.2103312)",,,2,,
202187889,Untere Vorstadt,secondary,50,False,False,78.141,"LINESTRING (9.0315812 48.2105712, 9.0315538 48.2105968, 9.0312859 48.2108558, 9.0311333 48.2110214, 9.0310541 48.2110981, 9.0309847 48.2111497)",K 7163,,2,,
25983484,Gartenstraße,residential,,True,False,168.106,"LINESTRING (9.0299203 48.211348, 9.0297016 48.2113655, 9.0295276 48.2113795, 9.0293421 48.2113944, 9.0276637 48.211503)",,,,,
23019220,Gartenstraße,residential,,True,False,41.707,"LINESTRING (9.0302593 48.2116177, 9.0302288 48.2115261, 9.030158 48.2114455, 9.0300701 48.2113942, 9.0299203 48.211348)",,,,,
24018566,Untere Vorstadt,living_street,,False,True,66.09100000000001,"LINESTRING (9.0302593 48.2116177, 9.0301409 48.2116221, 9.0300189 48.211637, 9.0299295 48.2116666, 9.0294907 48.211887)",,,,,
29639773,Untere Vorstadt,secondary,,False,True,37.331,"LINESTRING (9.0302593 48.2116177, 9.0303346 48.2114801, 9.0304219 48.2113926, 9.030526 48.2113449)",K 7163,,,,
201763169,Bleichestraße,secondary,,False,False,234.349,"LINESTRING (9.0302593 48.2116177, 9.0302122 48.2118131, 9.0301912 48.2119001, 9.0300438 48.2122116, 9.0299267 48.2124654, 9.0298916 48.212516, 9.0298021 48.2126732, 9.0297201 48.21282, 9.0295588 48.2130316, 9.0292926 48.2134017, 9.0291504 48.2135791)",K 7163,,,,
23483146,Ziegelplatz,residential,30,False,False,47.439,"LINESTRING (9.0235408 48.2138916, 9.0240945 48.2141058)",,,,,
23483146,Ziegelplatz,residential,30,False,True,36.618,"LINESTRING (9.0235408 48.2138916, 9.0231138 48.2137258)",,,,,
202207735,Ziegelplatz,residential,30,False,True,62.063,"LINESTRING (9.0235408 48.2138916, 9.0236499 48.2137585, 9.0233754 48.2133955)",,,,,
23483168,Schütte,residential,30,False,True,24.374,"LINESTRING (9.0251868 48.2145403, 9.0254611 48.2146613)",,,,,
201506410,Schütte,residential,30,False,False,85.468,"LINESTRING (9.0251868 48.2145403, 9.0248335 48.2143197, 9.0246062 48.2141592, 9.024401 48.2139801)",,,,,
193384212,Schütte,residential,30,False,False,26.667,"LINESTRING (9.024401 48.2139801, 9.0240945 48.2141058)",,,,,
23483875,Obere Vorstadt,residential,20,True,False,134.097,"LINESTRING (9.024401 48.2139801, 9.0241886 48.2137188, 9.0240792 48.2135523, 9.0240535 48.2134926, 9.0240297 48.2134372, 9.0239896 48.2129984, 9.0240218 48.2128321)",,,,,
201506410,Schütte,residential,30,False,True,85.468,"LINESTRING (9.024401 48.2139801, 9.0246062 48.2141592, 9.0248335 48.2143197, 9.0251868 48.2145403)",,,,,
193384208,Langwatte,secondary,,False,False,24.544,"LINESTRING (9.0248016 48.2145447, 9.0248896 48.2147575)",L 360,,2,,
23483003,Schütte,residential,,True,False,29.040999999999997,"LINESTRING (9.0248016 48.2145447, 9.0249728 48.2145666, 9.0251868 48.2145403)",,,,,
